,fold,feature_name,feature,loss,acc,idx,class
0,noise_0.025,typicality,9199.5986328125,0.28869197,1.0,724.0,0.0
1,noise_0.025,typicality,9808.8984375,0.00472631,1.0,618.0,2.0
2,noise_0.025,typicality,10211.6904296875,0.069501735,1.0,592.0,2.0
3,noise_0.025,typicality,9349.662109375,0.0027801455,1.0,94.0,7.0
4,noise_0.025,typicality,9361.71875,0.031838972,1.0,1049.0,11.0
5,noise_0.025,typicality,9772.2236328125,0.0146311205,1.0,1190.0,8.0
6,noise_0.025,typicality,9558.2236328125,5.3523538e-05,1.0,212.0,7.0
7,noise_0.025,typicality,10446.6552734375,2.0503787e-05,1.0,681.0,14.0
8,noise_0.025,typicality,9048.375,0.016608195,1.0,322.0,6.0
9,noise_0.025,typicality,9762.587890625,0.9705844,0.0,1555.0,3.0
10,noise_0.025,typicality,10506.6015625,0.07260954,1.0,998.0,7.0
11,noise_0.025,typicality,10505.7890625,0.0014129427,1.0,1606.0,8.0
12,noise_0.025,typicality,9146.50390625,0.35147846,1.0,678.0,1.0
13,noise_0.025,typicality,9150.4140625,0.0074339667,1.0,149.0,6.0
14,noise_0.025,typicality,10746.0224609375,0.00025733974,1.0,1327.0,14.0
15,noise_0.025,typicality,9811.806640625,0.008389705,1.0,491.0,7.0
16,noise_0.025,typicality,9021.107421875,8.117823e-05,1.0,1138.0,7.0
17,noise_0.025,typicality,10483.49609375,0.0010146714,1.0,962.0,7.0
18,noise_0.025,typicality,9131.42578125,0.00010632903,1.0,1588.0,1.0
19,noise_0.025,typicality,10892.5419921875,0.30748585,1.0,1639.0,0.0
20,noise_0.025,typicality,10821.490234375,0.015808964,1.0,14.0,7.0
21,noise_0.025,typicality,10511.4296875,0.4775629,1.0,1383.0,0.0
22,noise_0.025,typicality,9048.685546875,2.7694106,0.0,674.0,6.0
23,noise_0.025,typicality,10387.8193359375,0.00012456595,1.0,224.0,2.0
24,noise_0.025,typicality,9826.1875,0.0008625839,1.0,1044.0,7.0
