,fold,feature_name,feature,loss,acc,idx,class
0,saltpepper_0.025,cross_entropy,349.257568359375,27.4633,0.0,700.0,5.0
1,saltpepper_0.025,cross_entropy,204.71099853515625,29.852337,0.0,1310.0,3.0
2,saltpepper_0.025,cross_entropy,503.36968994140625,48.121803,0.0,1628.0,8.0
3,saltpepper_0.025,cross_entropy,208.68504333496094,69.54182,0.0,1190.0,8.0
4,saltpepper_0.025,cross_entropy,284.24029541015625,27.094343,0.0,971.0,11.0
5,saltpepper_0.025,cross_entropy,262.73919677734375,1.8556193,0.0,143.0,9.0
6,saltpepper_0.025,cross_entropy,330.6959533691406,23.281488,0.0,192.0,6.0
7,saltpepper_0.025,cross_entropy,303.4586486816406,22.7465,0.0,675.0,9.0
8,saltpepper_0.025,cross_entropy,584.1634521484375,12.760913,0.0,129.0,0.0
9,saltpepper_0.025,cross_entropy,350.1336975097656,12.01419,0.0,1281.0,0.0
10,saltpepper_0.025,cross_entropy,385.22625732421875,16.50187,0.0,1089.0,1.0
11,saltpepper_0.025,cross_entropy,541.9307861328125,24.459116,0.0,1329.0,8.0
12,saltpepper_0.025,cross_entropy,369.22283935546875,1.9762944,0.0,1501.0,9.0
13,saltpepper_0.025,cross_entropy,473.22235107421875,30.487923,0.0,736.0,5.0
14,saltpepper_0.025,cross_entropy,551.3406982421875,14.93024,0.0,1047.0,2.0
15,saltpepper_0.025,cross_entropy,1007.8599853515625,22.478989,0.0,128.0,8.0
16,saltpepper_0.025,cross_entropy,344.042236328125,39.42406,0.0,815.0,3.0
17,saltpepper_0.025,cross_entropy,375.29656982421875,16.716997,0.0,727.0,8.0
18,saltpepper_0.025,cross_entropy,544.3477783203125,21.876919,0.0,1391.0,3.0
19,saltpepper_0.025,cross_entropy,349.92791748046875,0.00020287363,1.0,387.0,6.0
20,saltpepper_0.025,cross_entropy,273.53094482421875,32.137314,0.0,1140.0,7.0
21,saltpepper_0.025,cross_entropy,1037.322509765625,12.79992,0.0,1255.0,1.0
22,saltpepper_0.025,cross_entropy,322.60888671875,13.006912,0.0,1152.0,0.0
23,saltpepper_0.025,cross_entropy,459.88861083984375,18.267076,0.0,1626.0,0.0
