,fold,feature_name,feature,loss,acc,idx,class
0,contrast_0.025,softmax,0.9999991655349731,0.0005247408,1.0,1572.0,9.0
1,contrast_0.025,softmax,0.9943960905075073,0.65508986,1.0,24.0,4.0
2,contrast_0.025,softmax,0.706916332244873,0.024302205,1.0,864.0,1.0
3,contrast_0.025,softmax,0.9989286065101624,-0.0,1.0,426.0,5.0
4,contrast_0.025,softmax,0.9986162185668945,8.344647e-07,1.0,181.0,6.0
5,contrast_0.025,softmax,0.9655457139015198,-0.0,1.0,368.0,2.0
6,contrast_0.025,softmax,0.9361294507980347,0.0008220869,1.0,979.0,7.0
7,contrast_0.025,softmax,0.9805828928947449,0.0025181035,1.0,748.0,14.0
8,contrast_0.025,softmax,1.0,1.1920928e-07,1.0,466.0,3.0
9,contrast_0.025,softmax,1.0,0.08865116,1.0,352.0,1.0
10,contrast_0.025,softmax,0.9999817609786987,0.012977075,1.0,1370.0,0.0
11,contrast_0.025,softmax,1.0,0.01225831,1.0,1516.0,9.0
12,contrast_0.025,softmax,0.8210171461105347,1.4066597e-05,1.0,200.0,9.0
13,contrast_0.025,softmax,0.9981505274772644,0.13963348,1.0,92.0,0.0
14,contrast_0.025,softmax,0.7986186742782593,0.00019810621,1.0,551.0,0.0
15,contrast_0.025,softmax,0.8937234282493591,0.00011932138,1.0,809.0,0.0
16,contrast_0.025,softmax,0.9809114933013916,0.15530287,1.0,456.0,9.0
17,contrast_0.025,softmax,0.5067096948623657,0.12107457,1.0,711.0,7.0
18,contrast_0.025,softmax,0.999624490737915,0.5385183,1.0,1573.0,2.0
19,contrast_0.025,softmax,0.5660585761070251,0.21757618,1.0,1546.0,0.0
20,contrast_0.025,softmax,0.9996974468231201,0.0001335055,1.0,523.0,7.0
21,contrast_0.025,softmax,0.9996306896209717,1.1222634,0.0,669.0,3.0
22,contrast_0.025,softmax,0.9964132905006409,0.0002022777,1.0,1232.0,2.0
23,contrast_0.025,softmax,0.9994626641273499,0.30545968,1.0,1611.0,0.0
24,contrast_0.025,softmax,1.0,0.01756177,1.0,967.0,1.0
25,contrast_0.025,softmax,0.5808346271514893,0.0030973814,1.0,275.0,11.0
26,contrast_0.025,softmax,0.9954051971435547,3.0517112e-05,1.0,1594.0,7.0
27,contrast_0.025,softmax,0.5839371085166931,0.02185091,1.0,327.0,2.0
28,contrast_0.025,softmax,0.9990610480308533,2.2422569,0.0,1522.0,6.0
29,contrast_0.025,softmax,0.9967915415763855,1.5128808,0.0,422.0,1.0
30,contrast_0.025,softmax,0.9999996423721313,8.821448e-06,1.0,290.0,1.0
31,contrast_0.025,softmax,0.9990057349205017,0.026163422,1.0,1553.0,2.0
32,contrast_0.025,softmax,0.9924243688583374,4.3409195,0.0,390.0,5.0
33,contrast_0.025,softmax,1.0,2.0146166e-05,1.0,539.0,1.0
34,contrast_0.025,softmax,0.9999523162841797,-0.0,1.0,64.0,11.0
35,contrast_0.025,softmax,0.9914235472679138,0.057463642,1.0,264.0,6.0
36,contrast_0.025,softmax,0.9999970197677612,2.2411095e-05,1.0,1466.0,1.0
37,contrast_0.025,softmax,0.8707486391067505,2.4245577,0.0,1554.0,1.0
38,contrast_0.025,softmax,0.9998341798782349,0.0015742303,1.0,406.0,6.0
39,contrast_0.025,softmax,0.8316982984542847,0.20921607,1.0,82.0,9.0
40,contrast_0.025,softmax,0.9999814033508301,0.009611757,1.0,588.0,2.0
41,contrast_0.025,softmax,0.9999998807907104,-0.0,1.0,140.0,11.0
42,contrast_0.025,softmax,0.9967043995857239,5.0305054e-05,1.0,182.0,6.0
43,contrast_0.025,softmax,0.5092928409576416,-0.0,1.0,952.0,7.0
44,contrast_0.025,softmax,1.0,0.0012218637,1.0,1441.0,7.0
45,contrast_0.025,softmax,0.7196081280708313,1.085925,0.0,750.0,2.0
46,contrast_0.025,softmax,0.8965811729431152,0.0018511555,1.0,1485.0,0.0
47,contrast_0.025,softmax,0.999922513961792,-0.0,1.0,1655.0,5.0
48,contrast_0.025,softmax,1.0,0.0009236837,1.0,1040.0,3.0
49,contrast_0.025,softmax,0.9067462682723999,0.00048530244,1.0,867.0,5.0
50,contrast_0.025,softmax,0.5279538035392761,-0.0,1.0,1618.0,11.0
51,contrast_0.025,softmax,0.814538300037384,-0.0,1.0,1628.0,8.0
52,contrast_0.025,softmax,0.9133512377738953,8.475421e-05,1.0,1457.0,14.0
53,contrast_0.025,softmax,0.9465354681015015,8.225407e-06,1.0,842.0,2.0
54,contrast_0.025,softmax,0.8915303349494934,0.002462571,1.0,204.0,7.0
55,contrast_0.025,softmax,0.9999998807907104,0.00013279033,1.0,453.0,9.0
56,contrast_0.025,softmax,0.9877134561538696,2.321555,0.0,1321.0,4.0
57,contrast_0.025,softmax,1.0,0.083612755,1.0,567.0,7.0
58,contrast_0.025,softmax,0.9636272192001343,1.1920928e-07,1.0,1626.0,0.0
59,contrast_0.025,softmax,0.7392172813415527,1.4751,0.0,1264.0,6.0
60,contrast_0.025,softmax,0.7549607157707214,0.035394542,1.0,706.0,0.0
61,contrast_0.025,softmax,0.9815948009490967,0.0031838936,1.0,997.0,8.0
62,contrast_0.025,softmax,0.9999933242797852,2.384183e-06,1.0,1061.0,5.0
63,contrast_0.025,softmax,0.9931958913803101,0.032779872,1.0,339.0,7.0
64,contrast_0.025,softmax,0.9988688826560974,18.852634,0.0,1101.0,13.0
65,contrast_0.025,softmax,0.9737059473991394,3.198387,0.0,932.0,14.0
66,contrast_0.025,softmax,0.9999827146530151,0.00017343447,1.0,461.0,0.0
67,contrast_0.025,softmax,0.998150646686554,9.5367386e-07,1.0,1597.0,14.0
68,contrast_0.025,softmax,0.9989272952079773,0.009340043,1.0,107.0,8.0
69,contrast_0.025,softmax,0.8561558127403259,0.004605401,1.0,786.0,7.0
70,contrast_0.025,softmax,0.9842978119850159,0.0028619305,1.0,1439.0,6.0
71,contrast_0.025,softmax,0.9999996423721313,-0.0,1.0,586.0,1.0
72,contrast_0.025,softmax,0.9999970197677612,0.0002662781,1.0,544.0,6.0
73,contrast_0.025,softmax,0.9390509724617004,0.00038711683,1.0,30.0,9.0
74,contrast_0.025,softmax,0.9999346733093262,-0.0,1.0,142.0,7.0
75,contrast_0.025,softmax,0.8834918141365051,0.013169333,1.0,1325.0,14.0
76,contrast_0.025,softmax,0.9999567270278931,0.07224829,1.0,1448.0,0.0
77,contrast_0.025,softmax,0.9996271133422852,3.8623064e-05,1.0,1221.0,5.0
78,contrast_0.025,softmax,0.9100813865661621,2.7418098e-06,1.0,1257.0,7.0
79,contrast_0.025,softmax,0.9999995231628418,0.115061045,1.0,769.0,9.0
80,contrast_0.025,softmax,0.9999996423721313,8.70224e-06,1.0,939.0,7.0
81,contrast_0.025,softmax,0.9999991655349731,3.0755524e-05,1.0,1253.0,7.0
82,contrast_0.025,softmax,0.9233571290969849,0.00011765265,1.0,745.0,7.0
83,contrast_0.025,softmax,0.9967341423034668,5.4390893,0.0,1177.0,9.0
84,contrast_0.025,softmax,0.8949908018112183,0.039379418,1.0,934.0,0.0
85,contrast_0.025,softmax,0.9999375343322754,0.8437936,1.0,1651.0,1.0
86,contrast_0.025,softmax,0.756923496723175,0.012606692,1.0,1656.0,7.0
87,contrast_0.025,softmax,0.9998236298561096,3.218599e-05,1.0,1585.0,2.0
88,contrast_0.025,softmax,0.873362123966217,0.012546772,1.0,579.0,7.0
89,contrast_0.025,softmax,0.9758957028388977,0.75314486,1.0,1089.0,1.0
90,contrast_0.025,softmax,0.9990341663360596,-0.0,1.0,347.0,7.0
91,contrast_0.025,softmax,0.9998182654380798,1.7762026e-05,1.0,722.0,14.0
92,contrast_0.025,softmax,0.9709680080413818,1.1920928e-07,1.0,1386.0,2.0
93,contrast_0.025,softmax,0.9968211650848389,0.008099804,1.0,1530.0,6.0
94,contrast_0.025,softmax,0.6944200992584229,0.010035534,1.0,187.0,2.0
95,contrast_0.025,softmax,0.9929378628730774,0.0001869027,1.0,583.0,7.0
96,contrast_0.025,softmax,0.9999840259552002,0.15822257,1.0,257.0,0.0
97,contrast_0.025,softmax,0.9915750622749329,0.0047374624,1.0,1544.0,9.0
98,contrast_0.025,softmax,0.9984956979751587,1.3557626,0.0,37.0,9.0
99,contrast_0.025,softmax,0.999908447265625,9.5367386e-07,1.0,125.0,5.0
100,contrast_0.025,softmax,0.5905536413192749,0.008101933,1.0,1004.0,6.0
101,contrast_0.025,softmax,0.8004353642463684,0.011969764,1.0,192.0,6.0
102,contrast_0.025,softmax,0.5415204167366028,-0.0,1.0,1649.0,7.0
103,contrast_0.025,softmax,0.9999752044677734,0.0043389704,1.0,923.0,6.0
104,contrast_0.025,softmax,0.9968963861465454,7.176142e-05,1.0,1393.0,0.0
105,contrast_0.025,softmax,0.9931730628013611,-0.0,1.0,190.0,3.0
106,contrast_0.025,softmax,0.9997337460517883,0.03087072,1.0,899.0,6.0
107,contrast_0.025,softmax,0.9832732677459717,3.576278e-07,1.0,335.0,0.0
108,contrast_0.025,softmax,0.9999423027038574,0.010938915,1.0,1545.0,14.0
109,contrast_0.025,softmax,1.0,0.03493073,1.0,1378.0,5.0
110,contrast_0.025,softmax,0.9995960593223572,0.057513613,1.0,162.0,7.0
