,fold,feature_name,feature,loss,acc,idx,class
0,brightness_0.025,softmax,0.2539389729499817,8.376132,0.0,49.0,26.0
1,brightness_0.025,softmax,0.41485852003097534,2.0329835,0.0,10.0,12.0
2,brightness_0.025,softmax,0.37220048904418945,9.388879,0.0,3.0,8.0
3,brightness_0.025,softmax,0.9757410883903503,2.167543,0.0,279.0,9.0
4,brightness_0.025,softmax,0.7796053290367126,8.73964,0.0,270.0,27.0
5,brightness_0.025,softmax,0.34655702114105225,1.0048561,1.0,261.0,24.0
6,brightness_0.025,softmax,0.35222506523132324,0.016063558,1.0,277.0,26.0
7,brightness_0.025,softmax,0.2478010356426239,2.0164785,0.0,155.0,28.0
8,brightness_0.025,softmax,0.6247999668121338,0.023476962,1.0,65.0,6.0
9,brightness_0.025,softmax,0.7911465167999268,0.009473961,1.0,141.0,0.0
10,brightness_0.025,softmax,0.9482001066207886,1.4469273,0.0,114.0,9.0
11,brightness_0.025,softmax,0.9881991147994995,0.010923705,1.0,13.0,16.0
12,brightness_0.025,softmax,0.2639778256416321,4.1565065,0.0,170.0,13.0
13,brightness_0.025,softmax,0.8381564021110535,0.029135434,1.0,34.0,9.0
14,brightness_0.025,softmax,0.9977769255638123,2.467602e-05,1.0,121.0,15.0
15,brightness_0.025,softmax,0.9185836911201477,0.36847955,1.0,20.0,6.0
16,brightness_0.025,softmax,0.4217827320098877,16.051668,0.0,179.0,11.0
17,brightness_0.025,softmax,0.835821807384491,2.1348991,0.0,31.0,30.0
18,brightness_0.025,softmax,0.5927188992500305,2.1560874,0.0,89.0,21.0
19,brightness_0.025,softmax,0.9033648371696472,1.3992267,0.0,79.0,3.0
20,brightness_0.025,softmax,0.9999819993972778,0.039246123,1.0,112.0,12.0
21,brightness_0.025,softmax,0.938007652759552,0.19052178,1.0,93.0,14.0
22,brightness_0.025,softmax,0.27612200379371643,0.014308591,1.0,1.0,19.0
23,brightness_0.025,softmax,0.4630032777786255,0.72260016,1.0,139.0,0.0
24,brightness_0.025,softmax,0.9996851682662964,1.5294878,0.0,222.0,9.0
25,brightness_0.025,softmax,0.6377118825912476,7.546797,0.0,4.0,12.0
26,brightness_0.025,softmax,0.9905707836151123,0.07503278,1.0,254.0,6.0
27,brightness_0.025,softmax,0.3983598053455353,1.6258006,0.0,194.0,13.0
28,brightness_0.025,softmax,0.9857932925224304,1.3159992,0.0,198.0,18.0
29,brightness_0.025,softmax,0.40487244725227356,0.0020488955,1.0,181.0,1.0
30,brightness_0.025,softmax,0.973602831363678,2.126639,0.0,163.0,4.0
31,brightness_0.025,softmax,0.34632423520088196,0.008951652,1.0,159.0,6.0
32,brightness_0.025,softmax,0.8586639761924744,0.006705047,1.0,57.0,3.0
33,brightness_0.025,softmax,0.8588343858718872,0.14427462,1.0,128.0,6.0
34,brightness_0.025,softmax,0.999975323677063,2.6984925,0.0,68.0,9.0
35,brightness_0.025,softmax,0.3797410726547241,0.09067818,1.0,265.0,12.0
36,brightness_0.025,softmax,0.9712849259376526,5.8322935,0.0,184.0,5.0
37,brightness_0.025,softmax,0.9997387528419495,3.030705,0.0,252.0,23.0
38,brightness_0.025,softmax,0.7996371388435364,0.08926169,1.0,250.0,6.0
39,brightness_0.025,softmax,0.8405810594558716,2.391695,0.0,125.0,30.0
40,brightness_0.025,softmax,0.23395517468452454,1.3355569,0.0,5.0,9.0
41,brightness_0.025,softmax,0.5906543731689453,0.0025947972,1.0,109.0,10.0
42,brightness_0.025,softmax,0.979684591293335,5.9535565,0.0,130.0,26.0
43,brightness_0.025,softmax,0.5778232216835022,2.829146,0.0,271.0,25.0
44,brightness_0.025,softmax,0.294504314661026,1.0286005,0.0,182.0,9.0
45,brightness_0.025,softmax,0.8655195832252502,0.34388056,1.0,225.0,5.0
46,brightness_0.025,softmax,0.9917407035827637,1.955451,0.0,102.0,25.0
47,brightness_0.025,softmax,0.9332101941108704,4.379649,0.0,204.0,13.0
48,brightness_0.025,softmax,0.351133793592453,0.9836653,1.0,158.0,7.0
49,brightness_0.025,softmax,0.2845180332660675,4.632717,0.0,72.0,25.0
50,brightness_0.025,softmax,0.4533614218235016,0.018738508,1.0,281.0,0.0
51,brightness_0.025,softmax,0.8004055023193359,0.09905459,1.0,27.0,27.0
52,brightness_0.025,softmax,0.5561267137527466,0.053189695,1.0,172.0,0.0
53,brightness_0.025,softmax,0.7405242323875427,0.7594461,1.0,110.0,24.0
54,brightness_0.025,softmax,0.9209108948707581,4.691287,0.0,268.0,18.0
55,brightness_0.025,softmax,0.5628648400306702,0.94207513,0.0,253.0,11.0
56,brightness_0.025,softmax,0.4174425005912781,0.59891725,1.0,12.0,17.0
57,brightness_0.025,softmax,0.8027999401092529,0.50837433,1.0,33.0,16.0
58,brightness_0.025,softmax,0.9525893926620483,0.14870419,1.0,185.0,21.0
59,brightness_0.025,softmax,0.6624346375465393,0.29462746,1.0,214.0,0.0
60,brightness_0.025,softmax,0.38410714268684387,0.5421275,1.0,88.0,12.0
61,brightness_0.025,softmax,0.5063025951385498,2.7923818,0.0,274.0,23.0
62,brightness_0.025,softmax,0.3291248083114624,0.051883973,1.0,235.0,16.0
63,brightness_0.025,softmax,0.24103136360645294,0.92039967,1.0,171.0,9.0
64,brightness_0.025,softmax,0.2957756519317627,9.053709,0.0,212.0,13.0
65,brightness_0.025,softmax,0.3986310362815857,0.15237759,1.0,59.0,7.0
66,brightness_0.025,softmax,0.8126473426818848,1.4021244,0.0,54.0,29.0
67,brightness_0.025,softmax,0.9983518123626709,1.8693597,0.0,35.0,15.0
68,brightness_0.025,softmax,0.9684360027313232,8.534962,0.0,176.0,29.0
69,brightness_0.025,softmax,0.8544410467147827,0.046687216,1.0,248.0,26.0
70,brightness_0.025,softmax,0.32015174627304077,1.0942475,0.0,91.0,26.0
71,brightness_0.025,softmax,0.6723568439483643,4.567989,0.0,107.0,23.0
72,brightness_0.025,softmax,0.539249837398529,0.115008235,1.0,262.0,6.0
73,brightness_0.025,softmax,0.9417046308517456,0.87360847,1.0,120.0,22.0
74,brightness_0.025,softmax,0.9698600769042969,5.4614725,0.0,41.0,29.0
75,brightness_0.025,softmax,0.7198846936225891,0.031340234,1.0,14.0,9.0
76,brightness_0.025,softmax,0.987321138381958,5.0232935,0.0,30.0,6.0
77,brightness_0.025,softmax,0.7212502360343933,0.04857132,1.0,149.0,19.0
78,brightness_0.025,softmax,0.8887526988983154,0.6495876,1.0,145.0,11.0
79,brightness_0.025,softmax,0.5486375689506531,0.17644383,1.0,180.0,3.0
80,brightness_0.025,softmax,0.9494390487670898,1.9274807,1.0,92.0,7.0
81,brightness_0.025,softmax,0.9981074333190918,3.0423996,0.0,242.0,17.0
82,brightness_0.025,softmax,0.3813064396381378,2.1570435,0.0,106.0,30.0
83,brightness_0.025,softmax,0.7931661605834961,0.523035,1.0,147.0,8.0
84,brightness_0.025,softmax,0.9968520998954773,1.1905012,0.0,173.0,20.0
85,brightness_0.025,softmax,0.7342495918273926,7.725255,0.0,221.0,17.0
86,brightness_0.025,softmax,0.7991918921470642,4.835436,0.0,74.0,19.0
87,brightness_0.025,softmax,0.9691457748413086,6.412141,0.0,167.0,19.0
88,brightness_0.025,softmax,0.6111095547676086,0.0018943476,1.0,21.0,16.0
89,brightness_0.025,softmax,0.7242262959480286,0.03908839,1.0,246.0,22.0
90,brightness_0.025,softmax,0.24078162014484406,0.16224444,1.0,232.0,5.0
91,brightness_0.025,softmax,0.9943775534629822,0.014124897,1.0,86.0,5.0
92,brightness_0.025,softmax,0.8859111070632935,0.05684678,1.0,174.0,5.0
93,brightness_0.025,softmax,0.4208153784275055,0.33611956,1.0,66.0,22.0
94,brightness_0.025,softmax,0.7145376801490784,1.6404912,0.0,15.0,9.0
95,brightness_0.025,softmax,0.3903330862522125,0.032072894,1.0,216.0,27.0
96,brightness_0.025,softmax,0.9824969172477722,0.3274187,1.0,37.0,11.0
97,brightness_0.025,softmax,0.286258339881897,1.7121034,0.0,258.0,21.0
98,brightness_0.025,softmax,0.8455159664154053,2.5849233,0.0,151.0,28.0
99,brightness_0.025,softmax,0.9974954128265381,0.39696604,1.0,123.0,29.0
100,brightness_0.025,softmax,0.6014725565910339,2.3701067,0.0,137.0,13.0
101,brightness_0.025,softmax,0.23734425008296967,0.17655055,1.0,78.0,11.0
102,brightness_0.025,softmax,0.9133116006851196,0.41183338,1.0,134.0,14.0
103,brightness_0.025,softmax,0.8176099061965942,0.6458459,1.0,131.0,7.0
104,brightness_0.025,softmax,0.7303357720375061,1.4886932,0.0,190.0,28.0
105,brightness_0.025,softmax,0.9591841101646423,0.22415422,1.0,24.0,22.0
106,brightness_0.025,softmax,0.9146062135696411,2.8216162,0.0,105.0,23.0
107,brightness_0.025,softmax,0.2535533607006073,1.0581269,1.0,126.0,17.0
108,brightness_0.025,softmax,0.8382458686828613,0.22935914,1.0,17.0,28.0
109,brightness_0.025,softmax,0.8502333760261536,1.5023713,0.0,97.0,12.0
110,brightness_0.025,softmax,0.9974085688591003,0.65461606,1.0,206.0,14.0
111,brightness_0.025,softmax,0.6065372824668884,7.281522,0.0,127.0,24.0
112,brightness_0.025,softmax,0.6805292963981628,0.12113868,1.0,267.0,19.0
113,brightness_0.025,softmax,0.9814359545707703,0.06960359,1.0,273.0,14.0
114,brightness_0.025,softmax,0.4660565257072449,0.009285715,1.0,75.0,5.0
115,brightness_0.025,softmax,0.9447388052940369,10.559156,0.0,228.0,3.0
116,brightness_0.025,softmax,0.48922812938690186,0.67453814,1.0,233.0,12.0
117,brightness_0.025,softmax,0.92426997423172,4.8481507,0.0,278.0,17.0
118,brightness_0.025,softmax,0.4030227065086365,3.3893104,0.0,189.0,23.0
119,brightness_0.025,softmax,0.1677076816558838,2.5390425,0.0,142.0,12.0
120,brightness_0.025,softmax,0.35245051980018616,0.7940473,1.0,165.0,21.0
121,brightness_0.025,softmax,0.4814935326576233,2.2162535,0.0,44.0,30.0
122,brightness_0.025,softmax,0.7950429320335388,0.08239196,1.0,244.0,26.0
123,brightness_0.025,softmax,0.6514672636985779,0.0013483014,1.0,144.0,0.0
124,brightness_0.025,softmax,0.8656499981880188,0.49464238,1.0,230.0,14.0
125,brightness_0.025,softmax,0.3789098858833313,0.101970516,1.0,249.0,11.0
126,brightness_0.025,softmax,0.3674217164516449,0.035412837,1.0,53.0,16.0
127,brightness_0.025,softmax,0.748416543006897,0.06260104,1.0,266.0,6.0
128,brightness_0.025,softmax,0.28853315114974976,2.941896,0.0,205.0,15.0
129,brightness_0.025,softmax,0.5222611427307129,1.8833011,0.0,129.0,19.0
130,brightness_0.025,softmax,0.5947030782699585,0.6192436,1.0,69.0,29.0
131,brightness_0.025,softmax,0.9666998982429504,0.06399718,1.0,245.0,17.0
132,brightness_0.025,softmax,0.5242189168930054,0.60031724,1.0,152.0,11.0
133,brightness_0.025,softmax,0.741609513759613,1.507873,0.0,23.0,17.0
134,brightness_0.025,softmax,0.961665689945221,0.21964978,1.0,52.0,20.0
135,brightness_0.025,softmax,0.8979044556617737,0.1573078,1.0,224.0,8.0
