,fold,feature_name,feature,loss,acc,idx,class
0,smear_0.025,softmax,0.47719305753707886,0.79931927,1.0,238.0,9.0
1,smear_0.025,softmax,0.31474074721336365,1.3870115,1.0,220.0,7.0
2,smear_0.025,softmax,0.9929366707801819,0.8059587,0.0,229.0,29.0
3,smear_0.025,softmax,0.5036509037017822,0.021217393,1.0,216.0,27.0
4,smear_0.025,softmax,0.9772325158119202,0.24474736,1.0,37.0,11.0
5,smear_0.025,softmax,0.4075968861579895,1.5486445,0.0,164.0,12.0
6,smear_0.025,softmax,0.9867554306983948,0.032590076,1.0,249.0,11.0
7,smear_0.025,softmax,0.518995463848114,2.6179628,0.0,168.0,5.0
8,smear_0.025,softmax,0.25591787695884705,0.00038950008,1.0,56.0,15.0
9,smear_0.025,softmax,0.7059992551803589,2.4907477,0.0,137.0,13.0
10,smear_0.025,softmax,0.48033055663108826,0.009271896,1.0,71.0,16.0
11,smear_0.025,softmax,0.3938601613044739,0.04996336,1.0,172.0,0.0
12,smear_0.025,softmax,0.8800699710845947,12.449972,0.0,276.0,26.0
13,smear_0.025,softmax,0.8902902007102966,0.20383449,1.0,58.0,22.0
14,smear_0.025,softmax,0.7603868842124939,0.16610199,1.0,265.0,12.0
15,smear_0.025,softmax,0.37114569544792175,0.042563602,1.0,254.0,6.0
16,smear_0.025,softmax,0.9453808069229126,0.8901527,1.0,146.0,29.0
17,smear_0.025,softmax,0.4240523874759674,2.032284,0.0,31.0,30.0
18,smear_0.025,softmax,0.970960795879364,0.19683225,1.0,59.0,7.0
19,smear_0.025,softmax,0.9790061116218567,0.16537729,1.0,219.0,0.0
20,smear_0.025,softmax,0.9885440468788147,4.708656e-05,1.0,121.0,15.0
21,smear_0.025,softmax,0.9606391191482544,0.010752597,1.0,13.0,16.0
22,smear_0.025,softmax,0.9905881881713867,0.40217906,1.0,24.0,22.0
23,smear_0.025,softmax,0.8637811541557312,0.0028318563,1.0,109.0,10.0
24,smear_0.025,softmax,0.19586734473705292,0.35440615,1.0,123.0,29.0
25,smear_0.025,softmax,0.6430463790893555,0.5473497,1.0,169.0,5.0
26,smear_0.025,softmax,0.9956867098808289,1.1086402e-05,1.0,45.0,1.0
27,smear_0.025,softmax,0.8146447539329529,0.0008248264,1.0,144.0,0.0
28,smear_0.025,softmax,0.3891194462776184,0.1406676,1.0,193.0,27.0
29,smear_0.025,softmax,0.4622447192668915,0.035310887,1.0,53.0,16.0
30,smear_0.025,softmax,0.6355109214782715,1.7856368,0.0,155.0,28.0
31,smear_0.025,softmax,0.9123926162719727,7.519827,0.0,4.0,12.0
32,smear_0.025,softmax,0.38837361335754395,0.25990677,1.0,213.0,3.0
33,smear_0.025,softmax,0.9893050193786621,2.757502,0.0,46.0,4.0
34,smear_0.025,softmax,0.7069801688194275,4.631736,0.0,74.0,19.0
35,smear_0.025,softmax,0.9234758615493774,4.802472,0.0,22.0,3.0
36,smear_0.025,softmax,0.31920111179351807,0.5177883,1.0,88.0,12.0
37,smear_0.025,softmax,0.26572513580322266,2.4390001,0.0,242.0,17.0
38,smear_0.025,softmax,0.6267256140708923,1.5290117,0.0,190.0,28.0
39,smear_0.025,softmax,0.9975869655609131,1.5407097,0.0,222.0,9.0
40,smear_0.025,softmax,0.8475738763809204,0.32885328,1.0,38.0,27.0
41,smear_0.025,softmax,0.8637811541557312,9.291404,0.0,212.0,13.0
42,smear_0.025,softmax,0.8270348906517029,0.009456366,1.0,277.0,26.0
43,smear_0.025,softmax,0.5048779249191284,0.62835383,1.0,217.0,26.0
44,smear_0.025,softmax,0.38157814741134644,0.14643584,1.0,196.0,8.0
45,smear_0.025,softmax,0.6102935671806335,0.21996707,1.0,52.0,20.0
46,smear_0.025,softmax,0.6924958229064941,0.07961064,1.0,62.0,29.0
47,smear_0.025,softmax,0.9856284856796265,5.8277617,0.0,197.0,26.0
48,smear_0.025,softmax,0.767634391784668,0.5679273,1.0,202.0,28.0
49,smear_0.025,softmax,0.9616332650184631,0.1073006,1.0,240.0,11.0
50,smear_0.025,softmax,0.6273892521858215,3.4981654,0.0,247.0,18.0
51,smear_0.025,softmax,0.8858481049537659,6.8682027,0.0,127.0,24.0
52,smear_0.025,softmax,0.7015899419784546,0.8053959,1.0,147.0,8.0
53,smear_0.025,softmax,0.4100828170776367,4.7017374,0.0,268.0,18.0
54,smear_0.025,softmax,0.9706144332885742,1.3065112,0.0,183.0,2.0
55,smear_0.025,softmax,0.9975476861000061,6.685955,0.0,132.0,9.0
56,smear_0.025,softmax,0.9692877531051636,0.89139616,1.0,7.0,29.0
57,smear_0.025,softmax,0.7833019495010376,0.21698152,1.0,67.0,25.0
58,smear_0.025,softmax,0.9435155391693115,2.0241113,0.0,129.0,19.0
59,smear_0.025,softmax,0.713637113571167,0.056503225,1.0,157.0,8.0
60,smear_0.025,softmax,0.8620892763137817,2.1559458,1.0,44.0,30.0
61,smear_0.025,softmax,0.3854852616786957,0.6558602,1.0,139.0,0.0
62,smear_0.025,softmax,0.42405951023101807,0.024748296,1.0,86.0,5.0
63,smear_0.025,softmax,0.2888534367084503,1.8926344,0.0,194.0,13.0
64,smear_0.025,softmax,0.3389475643634796,1.7501829,0.0,207.0,22.0
65,smear_0.025,softmax,0.9583294987678528,7.3119783,0.0,255.0,27.0
66,smear_0.025,softmax,0.6883854866027832,5.141894,0.0,61.0,10.0
67,smear_0.025,softmax,0.9962193369865417,5.7190275,0.0,259.0,9.0
68,smear_0.025,softmax,0.4451838731765747,0.34211233,1.0,84.0,22.0
69,smear_0.025,softmax,0.7829023003578186,4.579548,0.0,264.0,11.0
70,smear_0.025,softmax,0.5334692597389221,2.2305343,0.0,89.0,21.0
71,smear_0.025,softmax,0.9517163634300232,0.3217877,1.0,225.0,5.0
72,smear_0.025,softmax,0.9733683466911316,1.287827,0.0,103.0,5.0
73,smear_0.025,softmax,0.9679352641105652,0.16571794,1.0,186.0,16.0
74,smear_0.025,softmax,0.2720271050930023,0.39988488,1.0,87.0,20.0
75,smear_0.025,softmax,0.6066951751708984,0.18990843,1.0,17.0,28.0
76,smear_0.025,softmax,0.2528655529022217,2.5056272,0.0,256.0,21.0
77,smear_0.025,softmax,0.29879283905029297,0.9634396,1.0,97.0,12.0
78,smear_0.025,softmax,0.9525498151779175,0.36745304,1.0,148.0,0.0
79,smear_0.025,softmax,0.8869340419769287,2.4192743,0.0,125.0,30.0
80,smear_0.025,softmax,0.999175488948822,2.9341588,0.0,252.0,23.0
81,smear_0.025,softmax,0.5784808993339539,0.010381153,1.0,75.0,5.0
82,smear_0.025,softmax,0.9699850082397461,0.029825976,1.0,149.0,19.0
83,smear_0.025,softmax,0.9931027889251709,0.066656165,1.0,174.0,5.0
84,smear_0.025,softmax,0.9996490478515625,0.81711966,1.0,131.0,7.0
85,smear_0.025,softmax,0.5344190001487732,0.0024480633,1.0,18.0,14.0
86,smear_0.025,softmax,0.44195061922073364,0.2739279,1.0,156.0,15.0
87,smear_0.025,softmax,0.9512642621994019,1.6020274,0.0,241.0,21.0
88,smear_0.025,softmax,0.3680320084095001,0.03762888,1.0,266.0,6.0
89,smear_0.025,softmax,0.8213284015655518,1.9672816,0.0,163.0,4.0
90,smear_0.025,softmax,0.8155973553657532,2.5630133,0.0,6.0,14.0
91,smear_0.025,softmax,0.7815111875534058,0.048612878,1.0,257.0,29.0
92,smear_0.025,softmax,0.6392782330513,0.00035100974,1.0,64.0,15.0
93,smear_0.025,softmax,0.5278147459030151,2.215858,0.0,10.0,12.0
94,smear_0.025,softmax,0.37461885809898376,0.03352635,1.0,73.0,6.0
95,smear_0.025,softmax,0.43643462657928467,4.794575,0.0,278.0,17.0
96,smear_0.025,softmax,0.95787513256073,0.31114945,1.0,135.0,14.0
97,smear_0.025,softmax,0.776280403137207,0.11998466,1.0,262.0,6.0
98,smear_0.025,softmax,0.4558154046535492,3.421623,0.0,55.0,29.0
99,smear_0.025,softmax,0.9355168342590332,0.71604306,1.0,230.0,14.0
100,smear_0.025,softmax,0.8469598293304443,2.4399261,0.0,92.0,7.0
101,smear_0.025,softmax,0.9816238284111023,0.0037878447,1.0,85.0,0.0
102,smear_0.025,softmax,0.3775281608104706,5.962966,0.0,47.0,26.0
103,smear_0.025,softmax,0.9752755165100098,0.017943203,1.0,34.0,9.0
104,smear_0.025,softmax,0.9853512048721313,0.048288975,1.0,273.0,14.0
105,smear_0.025,softmax,0.3655901551246643,0.4360823,1.0,66.0,22.0
106,smear_0.025,softmax,0.7102684378623962,3.9846125,0.0,227.0,7.0
107,smear_0.025,softmax,0.3089996874332428,3.6718228,0.0,205.0,15.0
108,smear_0.025,softmax,0.343853235244751,0.12775384,1.0,191.0,27.0
109,smear_0.025,softmax,0.9629794359207153,1.0932882,0.0,166.0,9.0
110,smear_0.025,softmax,0.9738702774047852,3.826151,0.0,189.0,23.0
111,smear_0.025,softmax,0.9507591724395752,2.535,0.0,105.0,23.0
112,smear_0.025,softmax,0.8203964829444885,0.10630275,1.0,48.0,16.0
113,smear_0.025,softmax,0.5769375562667847,3.296246,0.0,231.0,23.0
114,smear_0.025,softmax,0.45787400007247925,0.9818461,1.0,120.0,22.0
115,smear_0.025,softmax,0.8738921880722046,1.8733625,0.0,102.0,25.0
116,smear_0.025,softmax,0.8130330443382263,8.108505,0.0,49.0,26.0
117,smear_0.025,softmax,0.3257499933242798,0.030474646,1.0,83.0,0.0
118,smear_0.025,softmax,0.980204164981842,0.2600463,1.0,232.0,5.0
119,smear_0.025,softmax,0.38380080461502075,0.0024553172,1.0,181.0,1.0
120,smear_0.025,softmax,0.7360795140266418,0.20500314,1.0,29.0,18.0
121,smear_0.025,softmax,0.5958369374275208,0.0024159548,1.0,39.0,2.0
122,smear_0.025,softmax,0.44170206785202026,2.7981958,0.0,178.0,8.0
123,smear_0.025,softmax,0.690399706363678,0.014757166,1.0,223.0,19.0
124,smear_0.025,softmax,0.5240442156791687,0.6834386,1.0,19.0,6.0
125,smear_0.025,softmax,0.9528583884239197,9.871082,0.0,228.0,3.0
126,smear_0.025,softmax,0.9938281178474426,1.1772816,1.0,158.0,7.0
127,smear_0.025,softmax,0.8049448728561401,3.529432,0.0,237.0,1.0
128,smear_0.025,softmax,0.9896725416183472,3.3751369,0.0,70.0,23.0
129,smear_0.025,softmax,0.9864509105682373,2.1216938,0.0,106.0,30.0
130,smear_0.025,softmax,0.9999889135360718,4.370028,0.0,113.0,8.0
131,smear_0.025,softmax,0.44963493943214417,0.4337508,1.0,152.0,11.0
132,smear_0.025,softmax,0.9230015277862549,0.95518064,0.0,115.0,8.0
133,smear_0.025,softmax,0.36570245027542114,0.7488222,0.0,35.0,15.0
134,smear_0.025,softmax,0.8472852110862732,4.160018,0.0,204.0,13.0
135,smear_0.025,softmax,0.4135340750217438,15.357726,0.0,179.0,11.0
136,smear_0.025,softmax,0.8687780499458313,0.033142053,1.0,14.0,9.0
137,smear_0.025,softmax,0.5077135562896729,0.78116125,1.0,133.0,8.0
