,fold,feature_name,feature,loss,acc,idx,class
0,hue_0.025,typicality,9955.8671875,1.4543428e-05,1.0,207.0,29.0
1,hue_0.025,typicality,10324.712890625,2.808463,0.0,191.0,24.0
2,hue_0.025,typicality,9352.4921875,6.074226,0.0,104.0,13.0
3,hue_0.025,typicality,9255.7001953125,20.861633,0.0,235.0,25.0
4,hue_0.025,typicality,9817.6923828125,0.051599056,1.0,369.0,23.0
5,hue_0.025,typicality,11205.509765625,-0.0,1.0,194.0,22.0
6,hue_0.025,typicality,9638.056640625,0.0034732039,1.0,236.0,18.0
7,hue_0.025,typicality,10496.19140625,0.004209705,1.0,309.0,34.0
8,hue_0.025,typicality,10165.02734375,0.2813479,1.0,338.0,4.0
9,hue_0.025,typicality,10774.4599609375,7.9350467,0.0,356.0,50.0
10,hue_0.025,typicality,8945.943359375,6.24673,0.0,99.0,28.0
11,hue_0.025,typicality,9673.9765625,28.770657,0.0,139.0,0.0
12,hue_0.025,typicality,11663.3134765625,12.668185,0.0,184.0,9.0
13,hue_0.025,typicality,11252.1748046875,3.224973,0.0,424.0,27.0
14,hue_0.025,typicality,9934.9072265625,29.717047,0.0,404.0,52.0
15,hue_0.025,typicality,10424.7666015625,0.50945145,1.0,294.0,46.0
16,hue_0.025,typicality,9594.5185546875,1.7019223,0.0,7.0,63.0
17,hue_0.025,typicality,9240.498046875,0.00021097818,1.0,148.0,8.0
18,hue_0.025,typicality,10721.279296875,0.36241925,1.0,177.0,45.0
19,hue_0.025,typicality,7536.9755859375,9.188609,0.0,308.0,21.0
20,hue_0.025,typicality,9693.279296875,11.367001,0.0,384.0,21.0
21,hue_0.025,typicality,9395.0400390625,1.106204,1.0,279.0,5.0
22,hue_0.025,typicality,9956.47265625,3.072193,0.0,357.0,33.0
23,hue_0.025,typicality,10999.57421875,0.00084960123,1.0,46.0,8.0
24,hue_0.025,typicality,11401.83203125,4.617051,0.0,130.0,54.0
25,hue_0.025,typicality,9670.166015625,0.10572742,1.0,41.0,58.0
26,hue_0.025,typicality,11058.873046875,7.3317986,0.0,367.0,53.0
27,hue_0.025,typicality,11417.26953125,0.2983026,1.0,225.0,55.0
28,hue_0.025,typicality,8752.970703125,-0.0,1.0,21.0,22.0
29,hue_0.025,typicality,9414.6494140625,6.803896,0.0,232.0,51.0
30,hue_0.025,typicality,11251.470703125,-0.0,1.0,79.0,22.0
31,hue_0.025,typicality,11587.79296875,29.692617,0.0,149.0,50.0
32,hue_0.025,typicality,12679.5244140625,0.32339185,1.0,267.0,39.0
33,hue_0.025,typicality,10576.3505859375,0.0035659792,1.0,233.0,28.0
34,hue_0.025,typicality,10014.97265625,3.036495,0.0,142.0,41.0
35,hue_0.025,typicality,8723.7685546875,1.2259406,1.0,163.0,64.0
36,hue_0.025,typicality,8254.8330078125,0.15984856,1.0,168.0,9.0
37,hue_0.025,typicality,8328.58984375,0.2340195,1.0,435.0,61.0
38,hue_0.025,typicality,11972.712890625,0.10843939,1.0,288.0,29.0
39,hue_0.025,typicality,11484.01953125,6.4372807e-06,1.0,113.0,22.0
40,hue_0.025,typicality,9905.98046875,7.447682,0.0,250.0,31.0
41,hue_0.025,typicality,9532.9453125,0.099087305,1.0,253.0,11.0
42,hue_0.025,typicality,10065.533203125,-0.0,1.0,320.0,18.0
43,hue_0.025,typicality,8515.822265625,0.0036170552,1.0,425.0,18.0
44,hue_0.025,typicality,10598.998046875,2.467602e-05,1.0,348.0,55.0
45,hue_0.025,typicality,11584.736328125,6.570945,0.0,133.0,55.0
46,hue_0.025,typicality,11343.09765625,3.1546197,0.0,51.0,30.0
47,hue_0.025,typicality,9091.09765625,27.488976,0.0,319.0,57.0
48,hue_0.025,typicality,11330.2763671875,13.93277,0.0,314.0,63.0
49,hue_0.025,typicality,7959.25927734375,2.7359273,0.0,143.0,61.0
50,hue_0.025,typicality,10291.369140625,5.138636,0.0,419.0,39.0
51,hue_0.025,typicality,9632.873046875,3.399095,0.0,100.0,64.0
52,hue_0.025,typicality,9820.423828125,7.3342113,0.0,178.0,12.0
53,hue_0.025,typicality,12472.306640625,5.6699286,0.0,243.0,45.0
54,hue_0.025,typicality,10892.3564453125,2.7409453,0.0,197.0,52.0
55,hue_0.025,typicality,8607.072265625,12.171041,0.0,140.0,0.0
56,hue_0.025,typicality,10862.75390625,8.70224e-06,1.0,307.0,8.0
57,hue_0.025,typicality,9442.603515625,5.501228,0.0,373.0,19.0
58,hue_0.025,typicality,11503.8505859375,8.301301,0.0,192.0,58.0
59,hue_0.025,typicality,9638.736328125,2.9626698,0.0,285.0,37.0
60,hue_0.025,typicality,10442.986328125,0.113855414,1.0,306.0,12.0
61,hue_0.025,typicality,11443.103515625,0.7791771,1.0,245.0,4.0
62,hue_0.025,typicality,12270.4541015625,0.0029771077,1.0,208.0,4.0
63,hue_0.025,typicality,9792.6328125,0.59579265,1.0,318.0,1.0
64,hue_0.025,typicality,9423.2734375,12.356557,0.0,347.0,44.0
65,hue_0.025,typicality,10998.9619140625,1.5016816,0.0,218.0,41.0
66,hue_0.025,typicality,11274.7822265625,8.464394,0.0,114.0,25.0
67,hue_0.025,typicality,9885.3828125,3.4219878,0.0,26.0,47.0
68,hue_0.025,typicality,11172.478515625,0.01055775,1.0,171.0,21.0
69,hue_0.025,typicality,9667.115234375,0.19858311,1.0,251.0,62.0
70,hue_0.025,typicality,9539.1328125,5.7353373,0.0,92.0,4.0
71,hue_0.025,typicality,9231.9638671875,3.186087,0.0,66.0,60.0
72,hue_0.025,typicality,11336.83203125,1.1920928e-07,1.0,43.0,29.0
73,hue_0.025,typicality,11347.048828125,0.2078086,1.0,239.0,20.0
74,hue_0.025,typicality,9833.400390625,11.591162,0.0,120.0,19.0
75,hue_0.025,typicality,11620.4951171875,14.969972,0.0,210.0,14.0
76,hue_0.025,typicality,11029.349609375,2.9323542,0.0,407.0,33.0
77,hue_0.025,typicality,9517.66015625,0.045153648,1.0,406.0,56.0
78,hue_0.025,typicality,11590.88671875,8.279335,0.0,227.0,5.0
79,hue_0.025,typicality,8315.6474609375,1.8785794,0.0,150.0,3.0
80,hue_0.025,typicality,11533.126953125,4.456373,0.0,354.0,26.0
81,hue_0.025,typicality,11108.541015625,1.2150863,1.0,40.0,54.0
82,hue_0.025,typicality,10204.8994140625,3.847591,0.0,153.0,46.0
83,hue_0.025,typicality,11098.669921875,8.844938e-05,1.0,221.0,18.0
84,hue_0.025,typicality,10875.541015625,8.277551,0.0,321.0,10.0
85,hue_0.025,typicality,9799.34375,15.0350685,0.0,262.0,62.0
86,hue_0.025,typicality,10939.599609375,0.02111165,1.0,75.0,7.0
87,hue_0.025,typicality,10779.806640625,5.0525665,0.0,399.0,31.0
88,hue_0.025,typicality,10204.8642578125,16.374672,0.0,141.0,43.0
89,hue_0.025,typicality,12434.8115234375,12.1943445,0.0,122.0,6.0
90,hue_0.025,typicality,9381.48046875,49.50759,0.0,297.0,21.0
91,hue_0.025,typicality,8993.48828125,0.03538787,1.0,237.0,38.0
92,hue_0.025,typicality,9910.421875,14.3788,0.0,422.0,26.0
93,hue_0.025,typicality,10993.759765625,6.0129576,0.0,14.0,3.0
94,hue_0.025,typicality,10582.88671875,15.004956,0.0,204.0,34.0
95,hue_0.025,typicality,10387.49609375,4.978013,0.0,426.0,15.0
96,hue_0.025,typicality,9194.8544921875,-0.0,1.0,33.0,8.0
97,hue_0.025,typicality,10241.103515625,23.867313,0.0,62.0,57.0
98,hue_0.025,typicality,11611.521484375,57.244423,0.0,395.0,21.0
99,hue_0.025,typicality,8807.6669921875,0.2842201,1.0,333.0,30.0
100,hue_0.025,typicality,9237.71484375,9.199386,0.0,95.0,15.0
101,hue_0.025,typicality,9491.833984375,10.383569,0.0,411.0,63.0
102,hue_0.025,typicality,10845.423828125,7.229286,0.0,96.0,40.0
103,hue_0.025,typicality,11577.3798828125,0.0014906734,1.0,52.0,55.0
104,hue_0.025,typicality,10679.4658203125,0.0369776,1.0,123.0,57.0
105,hue_0.025,typicality,11369.544921875,14.915752,0.0,189.0,41.0
106,hue_0.025,typicality,12148.17578125,11.023789,0.0,18.0,52.0
107,hue_0.025,typicality,9934.791015625,7.1673136,0.0,101.0,6.0
108,hue_0.025,typicality,10780.337890625,0.0005474976,1.0,372.0,30.0
109,hue_0.025,typicality,11436.3369140625,0.82322747,1.0,324.0,61.0
110,hue_0.025,typicality,9856.828125,3.4636092,0.0,155.0,52.0
111,hue_0.025,typicality,10897.51171875,6.13435,0.0,374.0,20.0
112,hue_0.025,typicality,9839.546875,0.006853881,1.0,298.0,61.0
113,hue_0.025,typicality,9117.974609375,0.37281156,1.0,286.0,63.0
114,hue_0.025,typicality,9005.85546875,1.5798734,0.0,94.0,34.0
115,hue_0.025,typicality,11541.1396484375,0.00523909,1.0,255.0,5.0
116,hue_0.025,typicality,10051.369140625,7.1005793,0.0,50.0,38.0
117,hue_0.025,typicality,11531.6796875,10.204669,0.0,59.0,12.0
118,hue_0.025,typicality,10353.154296875,0.10042893,1.0,432.0,1.0
119,hue_0.025,typicality,9993.8466796875,2.468364,0.0,169.0,62.0
120,hue_0.025,typicality,10258.537109375,1.1631587,0.0,57.0,29.0
121,hue_0.025,typicality,9435.560546875,5.9686117,0.0,106.0,59.0
122,hue_0.025,typicality,9990.18359375,11.214652,0.0,138.0,23.0
123,hue_0.025,typicality,9280.892578125,5.860055,0.0,63.0,62.0
124,hue_0.025,typicality,8885.5595703125,0.0010779053,1.0,34.0,4.0
125,hue_0.025,typicality,8609.1630859375,0.8069378,1.0,160.0,54.0
126,hue_0.025,typicality,11855.544921875,6.3510017,0.0,215.0,39.0
127,hue_0.025,typicality,10986.646484375,2.8826344,0.0,128.0,26.0
128,hue_0.025,typicality,8249.1435546875,0.08444967,1.0,408.0,37.0
129,hue_0.025,typicality,9882.9296875,2.1993036,0.0,91.0,15.0
130,hue_0.025,typicality,10207.9951171875,6.4977846,0.0,292.0,15.0
131,hue_0.025,typicality,11469.98046875,5.960463e-07,1.0,80.0,29.0
132,hue_0.025,typicality,8823.7255859375,2.077371,0.0,206.0,2.0
133,hue_0.025,typicality,9903.921875,13.156169,0.0,278.0,46.0
134,hue_0.025,typicality,10976.974609375,11.364421,0.0,222.0,21.0
135,hue_0.025,typicality,9783.9853515625,0.73524725,0.0,48.0,28.0
136,hue_0.025,typicality,9865.4775390625,3.0743546,0.0,30.0,8.0
137,hue_0.025,typicality,10084.396484375,9.835062,0.0,72.0,43.0
138,hue_0.025,typicality,11682.2265625,10.920062,0.0,365.0,6.0
139,hue_0.025,typicality,10056.287109375,9.644871,0.0,228.0,3.0
140,hue_0.025,typicality,11713.115234375,18.729342,0.0,254.0,31.0
141,hue_0.025,typicality,10479.3017578125,1.270775,0.0,315.0,6.0
142,hue_0.025,typicality,9414.0205078125,6.555478,0.0,223.0,54.0
143,hue_0.025,typicality,9690.9765625,11.220053,0.0,132.0,57.0
144,hue_0.025,typicality,10917.6884765625,4.6878567,0.0,287.0,16.0
145,hue_0.025,typicality,11056.203125,0.00017486473,1.0,2.0,7.0
146,hue_0.025,typicality,12089.287109375,3.1588767,0.0,56.0,26.0
147,hue_0.025,typicality,11177.2861328125,6.9242005,0.0,396.0,33.0
148,hue_0.025,typicality,8535.2529296875,0.444885,1.0,36.0,51.0
149,hue_0.025,typicality,10706.19140625,13.168672,0.0,343.0,55.0
150,hue_0.025,typicality,8805.91015625,2.2353444,0.0,329.0,18.0
151,hue_0.025,typicality,9573.912109375,1.6839612,0.0,276.0,14.0
152,hue_0.025,typicality,9106.2236328125,11.443204,0.0,39.0,60.0
153,hue_0.025,typicality,10883.6015625,5.991066,0.0,193.0,32.0
154,hue_0.025,typicality,10535.2177734375,1.5080752,0.0,295.0,62.0
155,hue_0.025,typicality,8815.3232421875,0.026379285,1.0,112.0,56.0
156,hue_0.025,typicality,11150.9736328125,1.9157073,0.0,151.0,44.0
157,hue_0.025,typicality,11691.193359375,0.00010013079,1.0,429.0,34.0
158,hue_0.025,typicality,10699.880859375,2.2534885,0.0,154.0,42.0
159,hue_0.025,typicality,10678.4365234375,0.09943057,1.0,327.0,49.0
160,hue_0.025,typicality,11424.837890625,4.668273,0.0,201.0,19.0
161,hue_0.025,typicality,10434.900390625,16.80965,0.0,175.0,10.0
162,hue_0.025,typicality,11615.5361328125,0.19467396,1.0,249.0,3.0
163,hue_0.025,typicality,10771.61328125,0.4712983,1.0,391.0,26.0
164,hue_0.025,typicality,8564.4150390625,2.3357391,0.0,20.0,17.0
165,hue_0.025,typicality,10132.193359375,0.22667363,1.0,73.0,54.0
166,hue_0.025,typicality,10997.89453125,1.845179,0.0,259.0,64.0
167,hue_0.025,typicality,8754.5615234375,1.5050416,0.0,183.0,16.0
168,hue_0.025,typicality,10746.2275390625,9.229408,0.0,389.0,51.0
169,hue_0.025,typicality,9717.6806640625,5.901574,0.0,241.0,10.0
170,hue_0.025,typicality,11366.671875,2.7405968,0.0,1.0,9.0
171,hue_0.025,typicality,12208.3212890625,6.218919,0.0,90.0,58.0
