,fold,feature_name,feature,loss,acc,idx,class
0,saltpepper_0.025,typicality,8241.564453125,1.0,0.0,67.0,
1,saltpepper_0.025,typicality,10020.62109375,1.0,0.0,25.0,
2,saltpepper_0.025,typicality,9265.78515625,1.0,0.0,84.0,
3,saltpepper_0.025,typicality,8816.37109375,1.0,0.0,21.0,
4,saltpepper_0.025,typicality,9155.439453125,1.0,0.0,69.0,
5,saltpepper_0.025,typicality,8461.91015625,1.0,0.0,71.0,
6,saltpepper_0.025,typicality,8727.5517578125,1.0,0.0,20.0,
7,saltpepper_0.025,typicality,9221.6796875,1.0,0.0,66.0,
8,saltpepper_0.025,typicality,8275.189453125,1.0,0.0,98.0,
9,saltpepper_0.025,typicality,8254.248046875,1.0,0.0,31.0,
10,saltpepper_0.025,typicality,8069.10546875,1.0,0.0,53.0,
11,saltpepper_0.025,typicality,8965.916015625,1.0,0.0,90.0,
12,saltpepper_0.025,typicality,8766.142578125,1.0,0.0,70.0,
13,saltpepper_0.025,typicality,8078.2587890625,1.0,0.0,46.0,
14,saltpepper_0.025,typicality,8768.63671875,1.0,0.0,92.0,
15,saltpepper_0.025,typicality,10266.22265625,1.0,0.0,16.0,
16,saltpepper_0.025,typicality,8481.189453125,1.0,0.0,23.0,
17,saltpepper_0.025,typicality,9296.1728515625,1.0,0.0,22.0,
18,saltpepper_0.025,typicality,7677.8369140625,1.0,0.0,36.0,
19,saltpepper_0.025,typicality,9099.951171875,1.0,0.0,91.0,
20,saltpepper_0.025,typicality,9122.9677734375,1.0,0.0,73.0,
21,saltpepper_0.025,typicality,8848.3349609375,1.0,0.0,99.0,
22,saltpepper_0.025,typicality,8490.1923828125,1.0,0.0,45.0,
23,saltpepper_0.025,typicality,8570.146484375,1.0,0.0,11.0,
24,saltpepper_0.025,typicality,7962.91748046875,1.0,0.0,30.0,
25,saltpepper_0.025,typicality,8850.1376953125,1.0,0.0,38.0,
26,saltpepper_0.025,typicality,9616.943359375,1.0,0.0,6.0,
27,saltpepper_0.025,typicality,7546.5185546875,1.0,0.0,32.0,
28,saltpepper_0.025,typicality,8745.5546875,1.0,0.0,89.0,
29,saltpepper_0.025,typicality,10155.5390625,1.0,0.0,37.0,
30,saltpepper_0.025,typicality,9585.9375,1.0,0.0,81.0,
31,saltpepper_0.025,typicality,8869.60546875,1.0,0.0,63.0,
32,saltpepper_0.025,typicality,9665.1826171875,1.0,0.0,3.0,
33,saltpepper_0.025,typicality,8405.474609375,1.0,0.0,56.0,
34,saltpepper_0.025,typicality,10049.9736328125,1.0,0.0,76.0,
35,saltpepper_0.025,typicality,8935.873046875,1.0,0.0,43.0,
36,saltpepper_0.025,typicality,8239.9765625,1.0,0.0,93.0,
37,saltpepper_0.025,typicality,9375.708984375,1.0,0.0,14.0,
38,saltpepper_0.025,typicality,8425.3349609375,1.0,0.0,80.0,
39,saltpepper_0.025,typicality,8636.0859375,1.0,0.0,1.0,
40,saltpepper_0.025,typicality,8996.19140625,1.0,0.0,59.0,
41,saltpepper_0.025,typicality,8621.3505859375,1.0,0.0,26.0,
42,saltpepper_0.025,typicality,9295.193359375,1.0,0.0,39.0,
43,saltpepper_0.025,typicality,9784.4375,1.0,0.0,50.0,
44,saltpepper_0.025,typicality,7768.6962890625,1.0,0.0,44.0,
45,saltpepper_0.025,typicality,8335.1416015625,1.0,0.0,12.0,
46,saltpepper_0.025,typicality,8709.4013671875,1.0,0.0,24.0,
47,saltpepper_0.025,typicality,9613.5,1.0,0.0,78.0,
48,saltpepper_0.025,typicality,10018.08984375,1.0,0.0,2.0,
49,saltpepper_0.025,typicality,9311.7314453125,1.0,0.0,28.0,
50,saltpepper_0.025,typicality,9723.818359375,1.0,0.0,65.0,
51,saltpepper_0.025,typicality,8508.4150390625,1.0,0.0,72.0,
52,saltpepper_0.025,typicality,9116.1318359375,1.0,0.0,55.0,
53,saltpepper_0.025,typicality,9113.9296875,1.0,0.0,52.0,
54,saltpepper_0.025,typicality,9596.65234375,1.0,0.0,15.0,
55,saltpepper_0.025,typicality,8957.001953125,1.0,0.0,85.0,
56,saltpepper_0.025,typicality,9854.201171875,1.0,0.0,10.0,
57,saltpepper_0.025,typicality,9972.80078125,1.0,0.0,51.0,
58,saltpepper_0.025,typicality,8564.56640625,1.0,0.0,19.0,
59,saltpepper_0.025,typicality,9100.9482421875,1.0,0.0,62.0,
60,saltpepper_0.025,typicality,8220.59375,1.0,0.0,0.0,
61,saltpepper_0.025,typicality,9051.6923828125,1.0,0.0,86.0,
62,saltpepper_0.025,typicality,9164.818359375,1.0,0.0,27.0,
63,saltpepper_0.025,typicality,8716.1259765625,1.0,0.0,5.0,
64,saltpepper_0.025,typicality,8476.322265625,1.0,0.0,18.0,
65,saltpepper_0.025,typicality,8377.1318359375,1.0,0.0,17.0,
66,saltpepper_0.025,typicality,9575.1513671875,1.0,0.0,97.0,
67,saltpepper_0.025,typicality,9845.626953125,1.0,0.0,34.0,
68,saltpepper_0.025,typicality,9626.728515625,1.0,0.0,49.0,
69,saltpepper_0.025,typicality,9543.095703125,1.0,0.0,74.0,
70,saltpepper_0.025,typicality,7993.6962890625,1.0,0.0,87.0,
71,saltpepper_0.025,typicality,8215.396484375,1.0,0.0,94.0,
72,saltpepper_0.025,typicality,9267.724609375,1.0,0.0,60.0,
73,saltpepper_0.025,typicality,9260.115234375,1.0,0.0,4.0,
74,saltpepper_0.025,typicality,8904.84375,1.0,0.0,35.0,
75,saltpepper_0.025,typicality,9748.466796875,1.0,0.0,57.0,
76,saltpepper_0.025,typicality,8871.8623046875,1.0,0.0,13.0,
77,saltpepper_0.025,typicality,8865.8076171875,1.0,0.0,9.0,
78,saltpepper_0.025,typicality,8355.9716796875,1.0,0.0,96.0,
79,saltpepper_0.025,typicality,8904.4775390625,1.0,0.0,7.0,
80,saltpepper_0.025,typicality,8682.0146484375,1.0,0.0,40.0,
81,saltpepper_0.025,typicality,8608.8310546875,1.0,0.0,61.0,
82,saltpepper_0.025,typicality,9720.9560546875,1.0,0.0,82.0,
83,saltpepper_0.025,typicality,8904.1484375,1.0,0.0,88.0,
84,saltpepper_0.025,typicality,9703.904296875,1.0,0.0,58.0,
85,saltpepper_0.025,typicality,8861.044921875,1.0,0.0,41.0,
86,saltpepper_0.025,typicality,9539.466796875,1.0,0.0,77.0,
87,saltpepper_0.025,typicality,8722.69140625,1.0,0.0,8.0,
88,saltpepper_0.025,typicality,9896.5615234375,1.0,0.0,68.0,
89,saltpepper_0.025,typicality,8607.03125,1.0,0.0,54.0,
90,saltpepper_0.025,typicality,7359.49853515625,1.0,0.0,75.0,
91,saltpepper_0.025,typicality,8864.076171875,1.0,0.0,79.0,
92,saltpepper_0.025,typicality,9881.7578125,1.0,0.0,29.0,
93,saltpepper_0.025,typicality,8236.7724609375,1.0,0.0,83.0,
94,saltpepper_0.025,typicality,8710.873046875,1.0,0.0,48.0,
95,saltpepper_0.025,typicality,8331.95703125,1.0,0.0,47.0,
96,saltpepper_0.05,typicality,8216.384765625,1.0,0.0,88.0,
97,saltpepper_0.05,typicality,8842.509765625,1.0,0.0,36.0,
98,saltpepper_0.05,typicality,9157.76171875,1.0,0.0,45.0,
99,saltpepper_0.05,typicality,8985.916015625,1.0,0.0,48.0,
100,saltpepper_0.05,typicality,7283.86669921875,1.0,0.0,92.0,
101,saltpepper_0.05,typicality,7415.2841796875,1.0,0.0,4.0,
102,saltpepper_0.05,typicality,8243.1650390625,1.0,0.0,5.0,
103,saltpepper_0.05,typicality,8720.7197265625,1.0,0.0,55.0,
104,saltpepper_0.05,typicality,9286.0634765625,1.0,0.0,30.0,
105,saltpepper_0.05,typicality,8443.7275390625,1.0,0.0,95.0,
106,saltpepper_0.05,typicality,8923.107421875,1.0,0.0,84.0,
107,saltpepper_0.05,typicality,9328.083984375,1.0,0.0,35.0,
108,saltpepper_0.05,typicality,8068.8310546875,1.0,0.0,83.0,
109,saltpepper_0.05,typicality,8719.4619140625,1.0,0.0,46.0,
110,saltpepper_0.05,typicality,8051.2177734375,1.0,0.0,59.0,
111,saltpepper_0.05,typicality,9308.8564453125,1.0,0.0,69.0,
112,saltpepper_0.05,typicality,9524.900390625,1.0,0.0,0.0,
113,saltpepper_0.05,typicality,9490.982421875,1.0,0.0,76.0,
114,saltpepper_0.05,typicality,9496.4912109375,1.0,0.0,42.0,
115,saltpepper_0.05,typicality,8756.544921875,1.0,0.0,91.0,
116,saltpepper_0.05,typicality,8123.0361328125,1.0,0.0,27.0,
117,saltpepper_0.05,typicality,8411.45703125,1.0,0.0,21.0,
118,saltpepper_0.05,typicality,8772.978515625,1.0,0.0,50.0,
119,saltpepper_0.05,typicality,8433.0732421875,1.0,0.0,34.0,
120,saltpepper_0.05,typicality,8218.3447265625,1.0,0.0,31.0,
121,saltpepper_0.05,typicality,8198.994140625,1.0,0.0,47.0,
