,fold,feature_name,feature,loss,acc,idx,class
0,ind_val,rabanser,0.16370886076486377,0.06814875,0.96875,741.84375,4.9375
1,ind_val,rabanser,0.2611869530250748,0.0102821905,1.0,771.6875,7.4375
2,ind_val,rabanser,0.07122101737900592,0.0023809306,1.0,500.625,1.46875
3,ind_val,rabanser,0.020784657869341337,0.015567332,1.0,906.0,0.375
4,ind_val,rabanser,0.17680534383487329,0.20040387,0.9375,636.96875,5.40625
5,ind_val,rabanser,0.22694792903238745,0.32724005,0.875,1076.4688,4.625
6,ind_val,rabanser,0.05897343335087311,0.90449566,0.96875,486.8125,6.28125
7,ind_val,rabanser,0.12885581355709622,3.4920382,0.875,924.8125,7.6875
8,ind_val,rabanser,0.05714285714285715,27.194614,0.375,427.625,7.40625
9,ind_val,rabanser,0.12344978614258235,34.097443,0.21875,1121.9062,8.53125
10,ind_val,rabanser,0.2300656000346403,10.605894,0.8125,860.5625,7.28125
11,ind_val,rabanser,0.04640210151046064,6.880335,0.875,801.90625,5.46875
12,ind_val,rabanser,0.028343810743072316,0.1799641,0.9375,810.28125,6.1875
13,ind_val,rabanser,0.1256295864587694,0.1001198,0.96875,744.53125,5.875
14,ind_val,rabanser,0.19138879086463867,0.31562635,0.875,1027.875,4.59375
15,ind_val,rabanser,0.04701737292933956,0.49727997,0.84375,966.875,1.0
16,ind_val,rabanser,0.22857142857142862,0.15665665,0.9375,793.8125,3.4375
17,ind_val,rabanser,0.05714285714285715,2.8829358,0.65625,794.0,4.6875
18,ind_val,rabanser,0.22857142857142862,0.5014823,0.9375,673.1875,0.875
19,ind_val,rabanser,0.07404820140436254,0.04816875,1.0,615.96875,0.65625
20,ind_val,rabanser,0.028571428571428577,0.13213943,0.96875,620.4375,0.8125
21,ind_val,rabanser,0.019314019314019316,0.1714958,0.9375,1201.25,1.0625
22,ind_val,rabanser,0.09999999999999999,0.07368574,1.0,996.09375,3.90625
23,ind_val,rabanser,0.14016720928822154,0.41503915,0.84375,579.59375,4.8125
24,ind_val,rabanser,0.03775334943134645,0.40265802,0.90625,946.125,5.28125
25,ind_val,rabanser,0.045512624568687356,0.54329985,0.90625,1067.3125,5.3125
26,ind_val,rabanser,0.088881980174664,0.07906596,0.96875,1013.78125,7.34375
27,ind_val,rabanser,0.05344769646829143,0.5669743,0.78125,441.15625,0.90625
28,ind_val,rabanser,0.11337223148368661,0.69185716,0.71875,1139.375,1.4375
29,ind_val,rabanser,0.18095238095238098,0.24170072,0.84375,837.375,4.0
30,ind_val,rabanser,0.09257409257409258,0.30864933,0.9375,863.8125,5.65625
31,ind_val,rabanser,0.040168483970196664,0.4401324,0.84375,1103.1875,2.78125
32,ind_val,rabanser,0.10024724533636872,1.5125847,0.9375,708.375,7.78125
33,ind_val,rabanser,0.08925934746368183,0.21737204,0.90625,806.53125,5.34375
34,ind_val,rabanser,0.16666666666666666,0.2352733,0.875,534.21875,3.21875
35,ind_val,rabanser,0.007906644439152179,0.63627476,0.8125,492.40625,4.28125
36,ind_val,rabanser,0.05714285714285715,0.19338742,0.96875,1017.96875,4.46875
37,ind_val,rabanser,0.03356643356643356,0.38646954,0.84375,1462.8125,4.125
38,ind_val,rabanser,0.03472594259060608,0.35929918,0.875,451.71875,2.625
39,ind_val,rabanser,0.020939162341773728,1.1146108,0.6875,1082.1875,4.25
40,ind_val,rabanser,0.3781509824334811,0.5296516,0.78125,742.34375,6.46875
41,ind_val,rabanser,0.029142975201703045,0.37657148,0.875,1080.4062,7.84375
42,ind_val,rabanser,0.12121212121212123,0.0061702384,1.0,870.84375,3.28125
43,ind_val,rabanser,0.3162393162393163,0.055928588,0.96875,689.6875,5.5
44,ind_val,rabanser,0.14168970349267296,0.05978758,0.96875,810.125,6.0625
45,ind_val,rabanser,0.14528476099445622,0.23552988,0.9375,880.75,5.9375
46,ind_val,rabanser,0.14285714285714285,0.2689702,0.9375,861.65625,6.40625
47,ind_val,rabanser,0.08150088645444682,8.007807,0.75,543.0,6.6875
48,ind_val,rabanser,0.07537087761104784,4.023876,0.78125,1026.3125,3.90625
49,ind_val,rabanser,0.12674825174825174,4.426174,0.8125,988.71875,4.0
50,ind_val,rabanser,0.08925934746368183,0.18209253,0.9375,642.125,5.5625
51,ind_val,rabanser,0.06329924095437624,11.504784,0.84375,1052.5625,7.625
52,ind_test,rabanser,0.05860326239919725,0.53126967,0.78125,526.3125,1.34375
53,ind_test,rabanser,0.24888856728355127,0.37921223,0.90625,713.5,5.09375
54,ind_test,rabanser,0.0904343564800666,0.044321593,1.0,466.28125,6.4375
