,fold,feature_name,feature,loss,acc,idx,class
0,train,softmax,0.8955404758453369,0.00032491173,1.0,11578.0,9.0
1,train,softmax,0.39727455377578735,3.0000873,0.0,11059.0,7.0
2,train,softmax,0.9997546076774597,0.0052820174,1.0,8451.0,7.0
3,train,softmax,1.0,0.22318484,1.0,4383.0,0.0
4,train,softmax,0.9999995231628418,0.0003052484,1.0,4575.0,7.0
5,train,softmax,0.7114290595054626,0.07372262,1.0,7798.0,2.0
6,train,softmax,0.9999568462371826,0.23002347,1.0,1466.0,9.0
7,train,softmax,0.8728288412094116,-0.0,1.0,6218.0,7.0
8,train,softmax,0.8245075941085815,1.3427545,0.0,5366.0,3.0
9,train,softmax,0.976516842842102,5.960463e-07,1.0,13260.0,1.0
10,train,softmax,1.0,-0.0,1.0,11271.0,11.0
11,train,softmax,0.6564463376998901,0.015300285,1.0,3114.0,7.0
12,train,softmax,0.9944629073143005,0.00020835613,1.0,9707.0,7.0
13,train,softmax,0.6262970566749573,0.004902841,1.0,5021.0,2.0
14,train,softmax,0.9998540878295898,0.013332382,1.0,5723.0,7.0
15,train,softmax,0.9084620475769043,6.532456e-05,1.0,6017.0,12.0
16,train,softmax,0.9999523162841797,8.6184606e-05,1.0,12013.0,9.0
17,train,softmax,0.9996744394302368,0.002947631,1.0,10575.0,1.0
18,train,softmax,0.9702824354171753,0.0010852882,1.0,1047.0,0.0
19,train,softmax,0.9858897924423218,5.0185852e-05,1.0,2305.0,11.0
20,train,softmax,0.4370225667953491,0.0012730598,1.0,11082.0,5.0
21,train,softmax,0.9999997615814209,-0.0,1.0,8410.0,6.0
22,train,softmax,0.7258889675140381,0.0033618857,1.0,7372.0,3.0
23,train,softmax,0.9986366629600525,0.0026234516,1.0,1708.0,9.0
24,train,softmax,0.4894958436489105,0.93277717,0.0,8575.0,2.0
25,train,softmax,0.6883253455162048,0.0014349651,1.0,416.0,7.0
26,train,softmax,0.9999018907546997,0.6698941,1.0,11357.0,9.0
