,fold,feature_name,feature,loss,acc,idx,class
0,ind_val,rabanser,0.1403202677451117,0.06385726,1.0,693.1875,4.125
1,ind_val,rabanser,0.012188996399522714,5.2098465,0.8125,995.1875,2.875
2,ind_val,rabanser,0.016483516483516484,0.16762301,0.9375,746.8125,4.9375
3,ind_val,rabanser,0.16666666666666666,4.350601,0.8125,756.6875,5.5625
4,ind_val,rabanser,0.1586557489762565,4.8499756,0.8125,956.8125,5.4375
5,ind_val,rabanser,0.08840615428446874,3.8945115,0.875,755.75,5.125
6,ind_val,rabanser,0.014705882352941176,0.8043094,0.875,970.0625,4.1875
7,ind_val,rabanser,0.0380041011619959,0.1709531,0.9375,850.75,5.0
8,ind_val,rabanser,0.11058711251120207,11.140877,0.8125,873.4375,5.25
9,ind_val,rabanser,0.038978412891456364,4.074424,0.6875,896.875,4.125
10,ind_val,rabanser,0.05814536340852131,5.042981,0.8125,703.25,4.0
11,ind_val,rabanser,0.07616766309912808,3.596859,0.9375,708.8125,5.375
12,ind_val,rabanser,0.007893885512648097,0.65846366,0.875,829.9375,4.6875
13,ind_val,rabanser,0.1126494788051837,0.7878015,0.8125,756.4375,3.625
14,ind_val,rabanser,0.16861093331681568,0.2261606,0.9375,745.125,4.0
15,ind_val,rabanser,0.03636363636363637,1.3361032,0.875,897.6875,4.6875
16,ind_val,rabanser,0.12791154538378846,1.4411632,0.9375,760.125,5.125
17,ind_val,rabanser,0.06332096378577724,5.379917,0.8125,816.8125,4.1875
18,ind_val,rabanser,0.17609901706233308,0.76787186,0.8125,986.625,4.375
19,ind_val,rabanser,0.05448403617740003,6.7469826,0.75,659.25,5.1875
20,ind_val,rabanser,0.10989010989010986,0.21558677,0.9375,769.1875,2.9375
21,ind_val,rabanser,0.048484223524724514,0.3608424,0.8125,789.6875,4.5625
22,ind_val,rabanser,0.09087607653176179,0.36258262,0.875,714.8125,3.9375
23,ind_val,rabanser,0.046710743669068994,12.982966,0.8125,861.625,4.375
24,ind_val,rabanser,0.06857437379079999,0.041828204,1.0,939.75,6.75
25,ind_val,rabanser,0.09677709506221079,0.09089878,1.0,974.1875,4.25
26,ind_val,rabanser,0.09746589153700239,0.071157426,1.0,1032.0625,3.75
27,ind_val,rabanser,0.020639834881320946,0.1065266,1.0,837.9375,3.6875
28,ind_val,rabanser,0.15384615384615388,2.2038183,0.8125,938.8125,3.3125
29,ind_val,rabanser,0.010921572706469734,0.31084642,0.9375,822.9375,4.0
30,ind_val,rabanser,0.0415502369774466,4.9957547,0.875,751.0,4.1875
31,ind_val,rabanser,0.029304029304029304,0.25173703,0.9375,840.625,4.25
32,ind_val,rabanser,0.17310924369747896,3.1925662,0.875,1065.3125,6.125
33,ind_val,rabanser,0.07304347826086957,0.51083314,0.8125,1002.375,4.125
34,ind_val,rabanser,0.10843534406838583,3.4926178,0.75,856.9375,5.125
35,ind_val,rabanser,0.10422909456484032,3.1449318,0.875,889.0625,5.25
36,ind_val,rabanser,0.047508980109513384,8.396349,0.875,920.375,5.875
37,ind_val,rabanser,0.09951617924549164,2.5589051,0.875,889.875,4.5
38,ind_val,rabanser,0.04043511162059092,4.2032228,0.6875,829.3125,3.375
