,fold,feature_name,feature,loss,acc,idx,class
0,ind_val,rabanser,0.00021429780480111644,4.5348554,0.84375,15.5,4.3125
1,ind_val,rabanser,0.0012075320409323798,3.3811269,0.875,47.5,4.5
2,ind_val,rabanser,0.00439136572861051,0.21855061,0.90625,79.5,4.09375
3,ind_val,rabanser,0.00023001349773227553,3.6119606,0.84375,111.5,4.84375
4,ind_val,rabanser,0.0016793331013654348,2.046823,0.90625,143.5,4.3125
5,ind_val,rabanser,0.0041663113003192545,7.7022004,0.875,175.5,3.625
6,ind_val,rabanser,0.005828578924084156,1.871992,0.9375,207.5,4.90625
7,ind_val,rabanser,0.003510109594238142,2.3140771,0.84375,239.5,3.875
8,ind_val,rabanser,0.0003217671586905099,3.4605317,0.875,271.5,4.71875
9,ind_val,rabanser,0.0003720484363790856,1.6195319,0.90625,303.5,3.59375
10,ind_val,rabanser,0.0016487307343724794,2.9975994,0.90625,335.5,3.8125
11,ind_val,rabanser,0.0005322768824163049,0.35957116,0.84375,367.5,3.21875
12,ind_val,rabanser,0.002149908373707654,0.5251117,0.8125,399.5,5.34375
13,ind_val,rabanser,0.0035002333488899262,3.0947473,0.90625,431.5,4.71875
14,ind_val,rabanser,0.004801064030490921,1.08723,0.90625,463.5,5.25
15,ind_val,rabanser,0.02194223847920429,3.225664,0.8125,495.5,5.21875
16,ind_val,rabanser,0.006427042928982637,1.6907904,0.875,527.5,4.75
17,ind_val,rabanser,0.002989683784786923,0.12530224,0.96875,559.5,3.1875
18,ind_val,rabanser,0.0053168398491065805,4.846332,0.84375,591.5,5.21875
19,ind_val,rabanser,0.001652464635732731,0.1628281,0.90625,623.5,4.46875
20,ind_val,rabanser,0.014695442804172522,0.61674774,0.90625,655.5,4.125
21,ind_val,rabanser,6.982672247631181e-05,2.018435,0.9375,687.5,5.4375
22,ind_val,rabanser,0.0051108205655538965,0.15746064,0.9375,719.5,4.3125
23,ind_val,rabanser,0.0063745594197135436,2.1872673,0.90625,751.5,5.15625
24,ind_val,rabanser,0.003958713624012724,2.1962025,0.90625,783.5,4.46875
25,ind_val,rabanser,0.007948988508448381,0.75561774,0.90625,815.5,4.0
26,ind_val,rabanser,0.00011752025563335671,0.07876278,1.0,847.5,4.375
27,ind_val,rabanser,0.00015309778351334406,7.851593,0.75,879.5,6.40625
28,ind_val,rabanser,0.0020040290177662573,2.6832623,0.875,911.5,4.40625
29,ind_val,rabanser,0.005750938317730629,0.18131894,0.9375,943.5,5.375
30,ind_val,rabanser,0.0023503914032720996,4.143189,0.8125,975.5,4.6875
31,ind_val,rabanser,0.002035871969959837,0.19321427,0.90625,1007.5,5.8125
32,ind_val,rabanser,0.0016665888195861456,2.8082886,0.875,1039.5,5.15625
33,ind_val,rabanser,0.001502573863065904,1.672348,0.875,1071.5,5.53125
34,ind_val,rabanser,0.005324042687973027,3.048045,0.84375,1103.5,4.875
35,ind_val,rabanser,0.00615215537749531,1.7914937,0.9375,1135.5,4.125
36,ind_val,rabanser,0.002068367293432627,0.55462,0.84375,1167.5,5.5625
37,ind_val,rabanser,0.006582279824516283,0.42777112,0.875,1199.5,4.1875
38,ind_val,rabanser,0.012041074965295384,0.25057635,0.875,1231.5,4.9375
39,ind_val,rabanser,0.0016215605262711594,1.9347696,0.78125,1263.5,4.75
40,ind_val,rabanser,0.006125574272588054,0.80756444,0.90625,1295.5,5.09375
41,ind_val,rabanser,7.0688107757192e-05,0.46689203,0.90625,1327.5,4.125
42,ind_val,rabanser,0.005761032736250156,0.3565186,0.875,1359.5,4.28125
43,ind_val,rabanser,0.0034861825425276383,0.20309822,0.90625,1391.5,4.65625
44,ind_val,rabanser,0.0003464109340117071,2.8370056,0.75,1423.5,4.5
45,ind_val,rabanser,0.000299280122562955,4.6391506,0.84375,1455.5,4.78125
46,ind_val,rabanser,0.0022338485517276433,13.297383,0.65625,1487.5,4.875
47,ind_val,rabanser,0.004513907883123449,5.319606,0.8125,1519.5,5.0
48,ind_val,rabanser,0.000298387326716513,7.2809134,0.6875,1551.5,5.03125
49,ind_val,rabanser,0.0015989341978802213,5.242954,0.75,1583.5,4.125
50,ind_val,rabanser,0.004302585616489293,1.6503983,0.96875,1615.5,5.53125
51,ind_val,rabanser,0.0028970758637065336,0.351091,0.875,1647.5,5.25
52,ind_test,rabanser,0.005707306673265272,0.41568223,0.9375,15.5,5.40625
53,ind_test,rabanser,0.020153222819206174,0.21948734,0.875,47.5,4.46875
54,ind_test,rabanser,0.011349642275735383,0.6498231,0.9375,79.5,5.4375
55,ind_test,rabanser,2.901852120614745e-05,0.16827562,0.9375,111.5,3.5625
