,fold,feature_name,feature,loss,acc,idx,class
0,ind_val,rabanser,0.7164116566837258,0.4403381,0.875,409.125,0.0
1,ind_val,rabanser,0.42629346134549484,0.029939355,1.0,657.125,0.375
2,ind_val,rabanser,0.9047842302757539,0.89117444,0.75,482.4375,1.0
3,ind_val,rabanser,0.9205155471799703,0.92664737,0.9375,495.4375,2.0625
4,ind_val,rabanser,0.9383310279844598,0.2133528,0.9375,271.0625,3.0
5,ind_val,rabanser,0.21453463154903454,0.00873062,1.0,773.3125,3.1875
6,ind_val,rabanser,0.7164116566837258,0.5265167,0.9375,638.6875,4.375
7,ind_val,rabanser,0.8884457102318708,0.07524559,0.9375,824.0625,5.0
8,ind_val,rabanser,0.7164116566837258,1.483911,0.8125,355.3125,6.3125
9,ind_val,rabanser,0.21453463154903454,0.0021826462,1.0,569.5625,7.125
10,ind_val,rabanser,0.9383310279844598,0.12232742,0.9375,435.4375,8.0
11,ind_val,rabanser,0.7164116566837258,0.17571428,0.9375,731.875,8.5
12,ind_val,rabanser,0.7164116566837258,0.9042513,0.875,787.125,9.25
13,ind_val,rabanser,0.42629346134549484,0.4541219,0.875,741.875,10.25
14,ind_val,rabanser,0.9957701365037046,0.4346248,0.9375,608.375,11.25
15,ind_val,rabanser,0.9383310279844598,0.37307233,0.9375,374.4375,12.0
16,ind_val,rabanser,0.42629346134549484,0.018675065,1.0,824.875,12.1875
17,ind_val,rabanser,0.3855465198257425,0.5760544,0.875,509.9375,13.0
18,ind_val,rabanser,0.679920351419217,0.28571412,0.9375,784.0625,13.3125
19,ind_val,rabanser,0.9205155471799705,0.00093566976,1.0,741.25,14.0
20,ind_val,rabanser,0.9047842302757539,0.0012299559,1.0,553.5,14.625
21,ind_val,rabanser,0.9998909696588173,0.55342335,0.875,688.0625,15.0
22,ind_val,rabanser,0.7164116566837258,0.00025175812,1.0,394.875,15.8125
23,ind_val,rabanser,0.9522562797299043,0.0017296703,1.0,548.5625,16.0
24,ind_val,rabanser,0.7164116566837258,1.014035,0.875,830.5625,16.25
25,ind_val,rabanser,0.6781382270680966,1.0591071,0.8125,417.875,18.5625
26,ind_val,rabanser,0.9992123531334729,0.72473174,0.8125,858.9375,19.0625
27,ind_val,rabanser,0.10412735640901542,0.11400733,0.9375,440.3125,20.0
28,ind_val,rabanser,0.7164116566837258,0.3591448,0.875,642.3125,20.4375
29,ind_val,rabanser,0.7164116566837258,0.84927696,0.875,554.1875,21.5625
30,ind_val,rabanser,0.09332629866697198,0.36074817,0.9375,745.6875,22.3125
31,ind_val,rabanser,0.9522562797299043,0.4946686,0.875,604.4375,23.9375
32,ind_val,rabanser,0.9522562797299043,0.039230943,1.0,734.25,24.875
33,ind_val,rabanser,0.9383310279844598,0.51127416,0.8125,565.0625,25.75
34,ind_val,rabanser,0.7164116566837258,0.34640107,0.75,920.9375,26.0
35,ind_val,rabanser,0.9383310279844598,0.08533102,1.0,507.9375,26.8125
36,ind_val,rabanser,0.7164116566837258,0.111605264,1.0,507.75,27.625
37,ind_val,rabanser,0.9995915905136527,0.0018470866,1.0,734.8125,28.0
38,ind_val,rabanser,0.3781509824334811,0.6548388,0.9375,394.375,29.1875
39,ind_val,rabanser,0.6781382270680966,0.0023392756,1.0,367.3125,30.0
40,ind_val,rabanser,0.42629346134549484,0.00025918888,1.0,771.875,30.0
41,ind_val,rabanser,0.9047842302757539,0.38756233,0.9375,730.625,30.5625
42,ind_val,rabanser,0.42629346134549484,1.2960674,0.8125,675.75,31.5
43,ind_val,rabanser,0.7164116566837258,0.4472776,0.875,710.375,32.5
44,ind_val,rabanser,0.7164116566837258,0.00086073583,1.0,815.9375,33.1875
45,ind_val,rabanser,0.21453463154903454,0.552161,0.875,346.25,34.0
