,fold,feature_name,feature,loss,acc,idx,class
0,train,cross_entropy,1529.027587890625,6.9141147e-06,1.0,196.0,25.0
1,train,cross_entropy,1317.42333984375,3.3378547e-06,1.0,908.0,23.0
2,train,cross_entropy,1170.12744140625,7.748574e-06,1.0,5479.0,16.0
3,train,cross_entropy,1452.370849609375,1.1920928e-07,1.0,129.0,19.0
4,train,cross_entropy,978.5223388671875,7.986991e-06,1.0,1709.0,57.0
5,train,cross_entropy,1254.6326904296875,5.0067774e-06,1.0,3734.0,57.0
6,train,cross_entropy,1345.989013671875,9.5367386e-07,1.0,4171.0,57.0
7,train,cross_entropy,1244.692138671875,3.6149666,0.0,4181.0,3.0
8,train,cross_entropy,1103.2821044921875,1.8596476e-05,1.0,5518.0,39.0
9,train,cross_entropy,1088.459716796875,2.145765e-06,1.0,5586.0,15.0
10,train,cross_entropy,999.019287109375,7.3191826e-05,1.0,6435.0,57.0
11,train,cross_entropy,1315.309814453125,0.0038714474,1.0,6977.0,52.0
12,train,cross_entropy,663.8897705078125,5.7220295e-06,1.0,7134.0,57.0
13,train,cross_entropy,1076.6805419921875,2.3007127e-05,1.0,7585.0,57.0
14,train,cross_entropy,1056.986572265625,5.6028207e-06,1.0,8278.0,52.0
15,train,cross_entropy,982.3309326171875,0.8019434,1.0,9460.0,42.0
16,train,cross_entropy,1094.51904296875,8.940657e-06,1.0,856.0,28.0
17,train,cross_entropy,1230.9937744140625,4.410734e-06,1.0,889.0,28.0
18,train,cross_entropy,1283.585693359375,8.773419e-05,1.0,2274.0,28.0
19,train,cross_entropy,556.0414428710938,2.5868081e-05,1.0,4066.0,28.0
20,train,cross_entropy,1377.0224609375,3.6000558e-05,1.0,9556.0,28.0
21,train,cross_entropy,857.5942993164062,0.00020454222,1.0,1778.0,24.0
22,train,cross_entropy,1243.0284423828125,0.00018916724,1.0,2737.0,50.0
23,train,cross_entropy,1065.4693603515625,-0.0,1.0,3494.0,50.0
24,train,cross_entropy,1162.936767578125,0.00044907976,1.0,3703.0,50.0
25,train,cross_entropy,1155.6732177734375,0.17015761,1.0,4810.0,50.0
26,train,cross_entropy,837.054931640625,0.00038485273,1.0,5828.0,21.0
27,train,cross_entropy,580.4349975585938,1.1920928e-07,1.0,6121.0,50.0
28,train,cross_entropy,1042.416015625,0.00021634146,1.0,7734.0,50.0
29,train,cross_entropy,1034.999755859375,0.0070906426,1.0,8951.0,1.0
30,train,cross_entropy,862.6787109375,0.0030787233,1.0,781.0,1.0
31,train,cross_entropy,1044.7908935546875,0.00028141352,1.0,964.0,16.0
32,train,cross_entropy,1345.2794189453125,0.003002542,1.0,1022.0,16.0
33,train,cross_entropy,606.408935546875,1.8477269e-05,1.0,1041.0,52.0
34,train,cross_entropy,1383.525390625,0.102794476,1.0,1230.0,16.0
35,train,cross_entropy,895.7735595703125,7.6293654e-06,1.0,1422.0,52.0
36,train,cross_entropy,737.3974609375,1.9907753e-05,1.0,1530.0,0.0
37,train,cross_entropy,954.8456420898438,0.022602325,1.0,1821.0,0.0
38,train,cross_entropy,1591.8382568359375,0.00029273517,1.0,1997.0,16.0
39,train,cross_entropy,1627.8671875,0.0034639377,1.0,2328.0,26.0
40,train,cross_entropy,1003.978271484375,5.960463e-07,1.0,2367.0,47.0
41,train,cross_entropy,1501.88037109375,5.7338024e-05,1.0,2512.0,52.0
42,train,cross_entropy,994.044189453125,0.00016687908,1.0,2758.0,42.0
43,train,cross_entropy,874.3021240234375,2.4079987e-05,1.0,2910.0,0.0
44,train,cross_entropy,1192.136962890625,2.0146166e-05,1.0,3046.0,59.0
45,train,cross_entropy,1401.0665283203125,0.0020584126,1.0,3699.0,57.0
46,train,cross_entropy,829.7111206054688,0.024521727,1.0,3914.0,16.0
47,train,cross_entropy,1225.8759765625,1.4869645,0.0,4216.0,30.0
48,train,cross_entropy,1349.46875,0.0004564674,1.0,4256.0,30.0
49,train,cross_entropy,1417.36181640625,0.010956367,1.0,4499.0,8.0
50,train,cross_entropy,1182.34033203125,0.0009822788,1.0,4523.0,16.0
51,train,cross_entropy,1155.2747802734375,0.00028177106,1.0,4541.0,42.0
52,train,cross_entropy,1140.1983642578125,0.024521727,1.0,4688.0,16.0
53,train,cross_entropy,1094.27880859375,0.0027309288,1.0,5200.0,16.0
54,train,cross_entropy,1016.0736694335938,0.0019344443,1.0,5973.0,30.0
55,train,cross_entropy,1242.6251220703125,4.458328e-05,1.0,6174.0,2.0
56,train,cross_entropy,1022.4754638671875,8.6899796e-05,1.0,6262.0,20.0
57,train,cross_entropy,1052.138427734375,0.011409629,1.0,6320.0,31.0
58,train,cross_entropy,1050.7420654296875,1.4869645,0.0,6358.0,30.0
59,train,cross_entropy,1613.0203857421875,0.018064266,1.0,6612.0,30.0
60,train,cross_entropy,1264.9075927734375,0.00016830936,1.0,6940.0,42.0
61,train,cross_entropy,854.4075927734375,0.00015507927,1.0,7068.0,16.0
62,train,cross_entropy,1242.9429931640625,0.00030798936,1.0,7089.0,42.0
63,train,cross_entropy,571.432861328125,0.000295357,1.0,7090.0,42.0
64,train,cross_entropy,554.3196411132812,0.00038258862,1.0,7105.0,52.0
65,train,cross_entropy,1137.703857421875,5.906352,0.0,7759.0,46.0
66,train,cross_entropy,580.707763671875,0.04126051,1.0,8362.0,30.0
67,train,cross_entropy,425.92913818359375,0.00014613991,1.0,8960.0,7.0
68,train,cross_entropy,643.2889404296875,8.266676,0.0,640.0,38.0
69,train,cross_entropy,700.409912109375,3.1470758e-05,1.0,726.0,39.0
70,train,cross_entropy,1484.89697265625,1.1682442e-05,1.0,911.0,39.0
71,train,cross_entropy,1191.434326171875,5.960463e-07,1.0,1985.0,39.0
72,train,cross_entropy,896.15625,3.7669426e-05,1.0,3174.0,10.0
73,train,cross_entropy,1115.7891845703125,1.072883e-06,1.0,4089.0,42.0
74,train,cross_entropy,1531.3660888671875,0.00029583368,1.0,4333.0,10.0
75,train,cross_entropy,878.2926025390625,-0.0,1.0,4653.0,40.0
76,train,cross_entropy,653.4464721679688,2.384183e-06,1.0,5029.0,10.0
77,train,cross_entropy,1016.7848510742188,8.8687775e-05,1.0,5605.0,10.0
78,train,cross_entropy,1289.14208984375,1.2516897e-05,1.0,6141.0,10.0
79,train,cross_entropy,542.32421875,-0.0,1.0,6170.0,40.0
80,train,cross_entropy,1647.8243408203125,7.998623e-05,1.0,6289.0,10.0
81,train,cross_entropy,1001.3062744140625,3.576278e-07,1.0,6359.0,10.0
82,train,cross_entropy,467.2186279296875,1.1920922e-06,1.0,6476.0,39.0
83,train,cross_entropy,979.5194091796875,-0.0,1.0,8049.0,40.0
84,train,cross_entropy,1531.9486083984375,0.00022063205,1.0,8287.0,39.0
85,train,cross_entropy,1078.716796875,7.784064e-05,1.0,8437.0,39.0
86,train,cross_entropy,934.319091796875,3.5762723e-06,1.0,8485.0,10.0
87,train,cross_entropy,1512.0439453125,0.0001333863,1.0,85.0,7.0
88,train,cross_entropy,1169.357177734375,0.006459784,1.0,532.0,1.0
89,train,cross_entropy,1418.6650390625,0.03088829,1.0,804.0,7.0
90,train,cross_entropy,1020.4340209960938,9.655906e-06,1.0,869.0,7.0
91,train,cross_entropy,1076.970947265625,1.6689287e-06,1.0,890.0,45.0
92,train,cross_entropy,1094.6142578125,3.1589963e-05,1.0,1010.0,48.0
93,train,cross_entropy,1399.0421142578125,1.180165e-05,1.0,1061.0,31.0
94,train,cross_entropy,1102.126953125,0.012524993,1.0,1067.0,7.0
95,train,cross_entropy,904.7633056640625,0.0030087226,1.0,1281.0,28.0
96,train,cross_entropy,1080.140380859375,7.080781e-05,1.0,1335.0,28.0
97,train,cross_entropy,1381.356689453125,0.041502304,1.0,1366.0,34.0
98,train,cross_entropy,1176.16845703125,0.0020013081,1.0,1815.0,34.0
99,train,cross_entropy,927.4544067382812,0.0028950942,1.0,1971.0,34.0
100,train,cross_entropy,1195.0010986328125,0.0014236564,1.0,2016.0,23.0
101,train,cross_entropy,1179.9462890625,1.1324818e-05,1.0,2082.0,7.0
102,train,cross_entropy,1322.9471435546875,2.4199193e-05,1.0,2212.0,54.0
103,train,cross_entropy,1374.6357421875,1.2345576,0.0,2341.0,28.0
104,train,cross_entropy,1271.283935546875,0.0036672975,1.0,2458.0,8.0
105,train,cross_entropy,1107.805908203125,0.00015341058,1.0,2810.0,48.0
106,train,cross_entropy,1335.64404296875,1.9073468e-06,1.0,2935.0,25.0
107,train,cross_entropy,1060.2880859375,3.349725e-05,1.0,2994.0,32.0
108,train,cross_entropy,910.7953491210938,0.00011503035,1.0,3809.0,55.0
109,train,cross_entropy,1176.141357421875,3.921909e-05,1.0,3833.0,8.0
110,train,cross_entropy,929.292236328125,0.00016080041,1.0,3977.0,13.0
111,train,cross_entropy,799.9073486328125,0.0044746273,1.0,4029.0,34.0
112,train,cross_entropy,722.5690307617188,0.08508467,1.0,4074.0,34.0
113,train,cross_entropy,1286.991943359375,0.00012218206,1.0,4246.0,34.0
114,train,cross_entropy,1114.286865234375,0.10419237,1.0,4589.0,7.0
115,train,cross_entropy,609.779052734375,0.00013243275,1.0,4686.0,34.0
116,train,cross_entropy,1068.2598876953125,3.802704e-05,1.0,4894.0,7.0
117,train,cross_entropy,883.4864501953125,0.00017450718,1.0,5232.0,45.0
118,train,cross_entropy,1311.9422607421875,4.8993817e-05,1.0,5311.0,19.0
119,train,cross_entropy,1378.516357421875,1.716599e-05,1.0,5516.0,36.0
120,train,cross_entropy,493.5731506347656,8.344616e-06,1.0,5974.0,45.0
121,train,cross_entropy,1526.054443359375,0.00018928644,1.0,5976.0,28.0
122,train,cross_entropy,1266.507568359375,2.8146617,0.0,6027.0,34.0
123,train,cross_entropy,1318.4267578125,0.18733467,1.0,6599.0,34.0
124,train,cross_entropy,1080.1802978515625,6.079489e-05,1.0,6620.0,34.0
125,train,cross_entropy,673.5256958007812,5.3046726e-05,1.0,6794.0,7.0
126,train,cross_entropy,609.1339111328125,2.9086643e-05,1.0,6884.0,24.0
127,train,cross_entropy,1029.0343017578125,3.886147e-05,1.0,7392.0,34.0
128,train,cross_entropy,1445.3199462890625,9.8700424e-05,1.0,7764.0,13.0
129,train,cross_entropy,968.7378540039062,0.00014423284,1.0,7871.0,34.0
130,train,cross_entropy,1004.6771240234375,0.059396658,1.0,8074.0,7.0
131,train,cross_entropy,710.9317016601562,0.00016902448,1.0,8153.0,7.0
132,train,cross_entropy,734.42578125,8.284702e-05,1.0,8187.0,55.0
133,train,cross_entropy,1257.213623046875,8.129743e-05,1.0,8198.0,28.0
134,train,cross_entropy,1300.956298828125,4.758604,0.0,8744.0,28.0
135,train,cross_entropy,1370.44580078125,0.00073251117,1.0,8751.0,7.0
136,train,cross_entropy,1627.043701171875,3.70734e-05,1.0,8804.0,7.0
137,train,cross_entropy,1233.813232421875,0.0058300686,1.0,9012.0,24.0
138,train,cross_entropy,1205.4791259765625,2.62257e-05,1.0,9093.0,54.0
139,train,cross_entropy,657.74267578125,0.14294833,1.0,9376.0,34.0
140,train,cross_entropy,612.4759521484375,6.556296e-05,1.0,9573.0,28.0
141,train,cross_entropy,654.7311401367188,0.0006084975,1.0,9726.0,34.0
142,train,cross_entropy,1371.365234375,0.00015913174,1.0,9762.0,34.0
143,train,cross_entropy,1238.8197021484375,0.00015865498,1.0,9796.0,8.0
144,train,cross_entropy,1512.6612548828125,0.00032443504,1.0,9802.0,34.0
145,train,cross_entropy,1050.366455078125,0.00014852374,1.0,9889.0,34.0
146,train,cross_entropy,625.7890625,0.00017820201,1.0,9897.0,28.0
147,train,cross_entropy,1279.58251953125,4.938262,0.0,385.0,55.0
148,train,cross_entropy,1474.2244873046875,1.1920858e-05,1.0,4103.0,7.0
149,train,cross_entropy,864.5673828125,1.12056105e-05,1.0,5670.0,7.0
150,train,cross_entropy,1184.281982421875,9.532144,0.0,5883.0,56.0
151,train,cross_entropy,675.294677734375,3.2782016e-05,1.0,7220.0,55.0
152,train,cross_entropy,1192.76806640625,5.6028207e-06,1.0,254.0,39.0
153,train,cross_entropy,1176.141357421875,1.263187,0.0,335.0,0.0
154,train,cross_entropy,1471.6240234375,2.3603161e-05,1.0,1074.0,24.0
155,train,cross_entropy,1064.494873046875,0.0006713997,1.0,1090.0,59.0
156,train,cross_entropy,1477.162109375,4.722522,0.0,1235.0,10.0
157,train,cross_entropy,754.5773315429688,8.106199e-06,1.0,1862.0,42.0
158,train,cross_entropy,828.9961547851562,0.00070070504,1.0,1959.0,10.0
159,train,cross_entropy,902.1694946289062,5.6108103,0.0,2290.0,0.0
160,train,cross_entropy,808.2411499023438,0.6198331,1.0,3082.0,38.0
161,train,cross_entropy,1155.8441162109375,0.0003109687,1.0,3207.0,53.0
162,train,cross_entropy,763.3922729492188,0.010385518,1.0,3464.0,38.0
163,train,cross_entropy,1556.505859375,0.010494287,1.0,4718.0,38.0
164,train,cross_entropy,1650.569091796875,7.283422e-05,1.0,4975.0,39.0
165,train,cross_entropy,1333.925048828125,0.00070070504,1.0,5239.0,10.0
166,train,cross_entropy,1431.89892578125,1.2755313e-05,1.0,5750.0,39.0
167,train,cross_entropy,1287.8251953125,2.145765e-06,1.0,6449.0,5.0
168,train,cross_entropy,812.467041015625,0.00076443533,1.0,6604.0,26.0
169,train,cross_entropy,1269.67236328125,0.00046933602,1.0,7278.0,39.0
170,train,cross_entropy,1639.104248046875,0.0013433013,1.0,7500.0,15.0
171,train,cross_entropy,632.9449462890625,8.189343e-05,1.0,7648.0,5.0
172,train,cross_entropy,878.3989868164062,0.0001294529,1.0,7715.0,3.0
173,train,cross_entropy,1003.809814453125,5.9960475e-05,1.0,8081.0,54.0
174,train,cross_entropy,1263.3958740234375,1.9311718e-05,1.0,8312.0,24.0
175,train,cross_entropy,1099.596923828125,6.3985243,0.0,8531.0,27.0
176,train,cross_entropy,1672.235107421875,4.398726e-05,1.0,9611.0,38.0
177,train,cross_entropy,1264.0919189453125,-0.0,1.0,8480.0,22.0
178,train,cross_entropy,921.0664672851562,0.00020454222,1.0,8555.0,0.0
179,train,cross_entropy,1204.0048828125,1.28745205e-05,1.0,9742.0,0.0
180,train,cross_entropy,1008.75537109375,1.9073468e-06,1.0,191.0,30.0
181,train,cross_entropy,1483.460693359375,0.00043537674,1.0,391.0,48.0
182,train,cross_entropy,1213.97021484375,7.3909487e-06,1.0,1192.0,57.0
183,train,cross_entropy,1292.7867431640625,7.521823e-05,1.0,1374.0,20.0
184,train,cross_entropy,793.3712158203125,1.2993728e-05,1.0,1452.0,19.0
185,train,cross_entropy,800.0648193359375,3.7669426e-05,1.0,1829.0,40.0
186,train,cross_entropy,943.2459106445312,1.8596476e-05,1.0,3317.0,51.0
187,train,cross_entropy,966.94140625,0.00046111442,1.0,3555.0,48.0
188,train,cross_entropy,890.4832763671875,0.025395153,1.0,3607.0,36.0
189,train,cross_entropy,1195.138671875,0.004112122,1.0,4257.0,19.0
190,train,cross_entropy,1091.6322021484375,7.510157e-06,1.0,4270.0,57.0
191,train,cross_entropy,1366.128173828125,0.00012694983,1.0,4332.0,27.0
192,train,cross_entropy,1162.019287109375,6.5564896e-06,1.0,4445.0,34.0
193,train,cross_entropy,1310.7257080078125,0.0018577,1.0,4776.0,11.0
194,train,cross_entropy,1474.2244873046875,0.0005082984,1.0,4989.0,57.0
195,train,cross_entropy,580.3887329101562,0.000518426,1.0,5211.0,29.0
196,train,cross_entropy,1137.0150146484375,0.00012694983,1.0,5369.0,27.0
197,train,cross_entropy,1182.34033203125,0.02149885,1.0,5777.0,36.0
198,train,cross_entropy,789.41064453125,1.9550132e-05,1.0,5798.0,37.0
199,train,cross_entropy,1439.9127197265625,4.887569e-06,1.0,6158.0,30.0
200,train,cross_entropy,1031.8123779296875,0.00042191186,1.0,6576.0,36.0
201,train,cross_entropy,1398.178466796875,0.0007341789,1.0,6704.0,48.0
202,train,cross_entropy,1036.1484375,0.00070999685,1.0,7176.0,57.0
203,train,cross_entropy,653.7506103515625,1.1077492,1.0,8500.0,34.0
204,train,cross_entropy,1432.001220703125,5.4788117,0.0,9755.0,41.0
205,train,cross_entropy,1159.0277099609375,7.867782e-06,1.0,9879.0,7.0
206,train,cross_entropy,1018.2379150390625,0.00012933371,1.0,128.0,2.0
207,train,cross_entropy,1142.353271484375,0.0004090426,1.0,144.0,42.0
208,train,cross_entropy,743.129638671875,0.0010262228,1.0,299.0,42.0
209,train,cross_entropy,982.55615234375,-0.0,1.0,1126.0,42.0
210,train,cross_entropy,885.3780517578125,1.8358061e-05,1.0,1361.0,42.0
211,train,cross_entropy,1083.023193359375,4.2199197e-05,1.0,1555.0,12.0
212,train,cross_entropy,561.6595458984375,3.1237817,0.0,1583.0,10.0
213,train,cross_entropy,1103.132080078125,3.7311813e-05,1.0,1677.0,3.0
214,train,cross_entropy,1213.3291015625,0.14014114,1.0,2197.0,42.0
215,train,cross_entropy,1505.312255859375,0.000121109304,1.0,2248.0,42.0
216,train,cross_entropy,1475.0780029296875,3.3616456e-05,1.0,2579.0,42.0
217,train,cross_entropy,1285.8157958984375,0.0006784283,1.0,2626.0,42.0
218,train,cross_entropy,1088.783447265625,0.0002673507,1.0,2645.0,42.0
219,train,cross_entropy,1466.75341796875,1.4671841,0.0,2771.0,42.0
220,train,cross_entropy,1275.0115966796875,0.0005131835,1.0,2918.0,42.0
221,train,cross_entropy,1448.7728271484375,6.317893e-05,1.0,3118.0,42.0
222,train,cross_entropy,1075.6806640625,0.00017867876,1.0,3331.0,42.0
223,train,cross_entropy,1375.625732421875,0.4353458,1.0,3789.0,41.0
224,train,cross_entropy,1493.822998046875,0.000613382,1.0,3946.0,42.0
225,train,cross_entropy,1465.4764404296875,6.377493e-05,1.0,4079.0,12.0
226,train,cross_entropy,587.359375,0.0002406546,1.0,4503.0,46.0
227,train,cross_entropy,1672.7530517578125,0.00016413772,1.0,4532.0,42.0
228,train,cross_entropy,1168.9287109375,4.0530336e-05,1.0,4821.0,42.0
229,train,cross_entropy,1375.324951171875,4.51793e-05,1.0,5046.0,42.0
230,train,cross_entropy,1146.68359375,0.00068843504,1.0,6418.0,42.0
231,train,cross_entropy,1176.27099609375,5.4953973e-05,1.0,6634.0,42.0
232,train,cross_entropy,1140.5611572265625,0.008360861,1.0,6761.0,42.0
233,train,cross_entropy,1039.0762939453125,0.0013813963,1.0,7623.0,26.0
234,train,cross_entropy,912.4280395507812,3.7311813e-05,1.0,8080.0,26.0
235,train,cross_entropy,1556.8270263671875,5.3644035e-06,1.0,8264.0,42.0
236,train,cross_entropy,1223.002685546875,0.00018666433,1.0,8386.0,42.0
237,train,cross_entropy,1105.572509765625,1.1086402e-05,1.0,8408.0,42.0
238,train,cross_entropy,1440.01171875,3.5046916e-05,1.0,8736.0,3.0
239,train,cross_entropy,697.4348754882812,0.0038940094,1.0,9335.0,10.0
240,train,cross_entropy,823.8910522460938,1.6569955e-05,1.0,9531.0,12.0
241,train,cross_entropy,1285.49169921875,0.61837333,1.0,9736.0,42.0
242,train,cross_entropy,1152.46240234375,0.00033516035,1.0,9794.0,42.0
243,train,cross_entropy,1405.3515625,0.00019524575,1.0,9945.0,42.0
244,train,cross_entropy,1715.5728759765625,4.5299425e-06,1.0,717.0,0.0
245,train,cross_entropy,1089.437255859375,3.5166122e-05,1.0,1154.0,0.0
246,train,cross_entropy,769.8002319335938,5.7220295e-06,1.0,1175.0,0.0
247,train,cross_entropy,1010.6982421875,0.016512519,1.0,1225.0,0.0
248,train,cross_entropy,979.9962158203125,5.960463e-07,1.0,1307.0,0.0
249,train,cross_entropy,701.9202880859375,0.00041392818,1.0,1902.0,0.0
250,train,cross_entropy,1181.382568359375,1.1920922e-06,1.0,3693.0,0.0
251,train,cross_entropy,1531.899658203125,6.7949063e-06,1.0,3822.0,0.0
252,train,cross_entropy,1821.835693359375,-0.0,1.0,4710.0,0.0
253,train,cross_entropy,897.6644287109375,1.1920928e-07,1.0,5415.0,0.0
254,train,cross_entropy,1504.9791259765625,3.5762723e-06,1.0,7280.0,0.0
255,train,cross_entropy,1117.597412109375,-0.0,1.0,9288.0,0.0
256,train,cross_entropy,1066.6405029296875,0.0011180347,1.0,199.0,14.0
257,train,cross_entropy,1080.40185546875,5.8410846e-05,1.0,504.0,14.0
258,train,cross_entropy,1301.8671875,0.0012437712,1.0,789.0,14.0
259,train,cross_entropy,1088.839599609375,0.0002766465,1.0,1450.0,14.0
260,train,cross_entropy,1293.1234130859375,0.0012972282,1.0,3101.0,1.0
261,train,cross_entropy,1344.3125,0.0008272087,1.0,3387.0,14.0
262,train,cross_entropy,1895.6275634765625,0.0029336058,1.0,3443.0,14.0
263,train,cross_entropy,398.7999572753906,0.0002472095,1.0,3924.0,14.0
264,train,cross_entropy,1028.9166259765625,0.00048280027,1.0,4395.0,14.0
265,train,cross_entropy,1159.9425048828125,0.00010561385,1.0,4463.0,14.0
266,train,cross_entropy,1312.35009765625,0.005680727,1.0,5071.0,14.0
267,train,cross_entropy,1701.2271728515625,0.00035100974,1.0,5584.0,14.0
268,train,cross_entropy,1201.52490234375,0.001747035,1.0,6070.0,14.0
269,train,cross_entropy,1253.361328125,5.6503606e-05,1.0,6473.0,14.0
270,train,cross_entropy,1236.377197265625,0.0012567488,1.0,6745.0,14.0
271,train,cross_entropy,1620.472412109375,0.001286156,1.0,6869.0,14.0
272,train,cross_entropy,1157.9588623046875,1.2159274e-05,1.0,7133.0,14.0
273,train,cross_entropy,1360.4388427734375,0.001233889,1.0,7255.0,14.0
274,train,cross_entropy,1621.0816650390625,0.0014035384,1.0,7387.0,14.0
275,train,cross_entropy,1049.470947265625,6.5086155e-05,1.0,8409.0,14.0
276,train,cross_entropy,1275.899169921875,0.0003376629,1.0,8706.0,14.0
277,train,cross_entropy,1222.744873046875,2.8490615e-05,1.0,8713.0,14.0
278,train,cross_entropy,1114.2529296875,0.000472434,1.0,8895.0,14.0
279,train,cross_entropy,1215.1475830078125,1.4498827,0.0,9955.0,1.0
280,train,cross_entropy,1226.440185546875,1.7285198e-05,1.0,305.0,20.0
281,train,cross_entropy,1642.27392578125,3.1232346e-05,1.0,1514.0,17.0
282,train,cross_entropy,845.503173828125,10.33445,0.0,1575.0,55.0
283,train,cross_entropy,820.7200927734375,3.8985763,0.0,2217.0,40.0
284,train,cross_entropy,1026.022705078125,3.3616456e-05,1.0,4094.0,10.0
285,train,cross_entropy,1535.64892578125,8.344647e-07,1.0,4167.0,26.0
286,train,cross_entropy,944.2890625,5.1259863e-06,1.0,4242.0,56.0
287,train,cross_entropy,1176.77978515625,5.1259863e-06,1.0,4606.0,56.0
288,train,cross_entropy,1625.33544921875,1.7881378e-06,1.0,4963.0,26.0
