,fold,feature_name,feature,loss,acc,idx,class
0,train,softmax,0.9999997615814209,5.960463e-07,1.0,1110.0,45.0
1,train,softmax,0.999992847442627,7.152555e-07,1.0,5479.0,26.0
2,train,softmax,0.9999828338623047,3.576278e-07,1.0,34.0,12.0
3,train,softmax,0.9999994039535522,0.000105494655,1.0,86.0,34.0
4,train,softmax,0.9998942613601685,1.3113013e-06,1.0,172.0,12.0
5,train,softmax,0.9999963045120239,2.1099822e-05,1.0,204.0,21.0
6,train,softmax,0.9999979734420776,3.4808505e-05,1.0,214.0,1.0
7,train,softmax,0.9999946355819702,0.000135055,1.0,607.0,17.0
8,train,softmax,0.9999905824661255,4.887569e-06,1.0,859.0,31.0
9,train,softmax,0.9998589754104614,9.5367386e-07,1.0,1109.0,26.0
10,train,softmax,0.9997455477714539,1.2278481e-05,1.0,1159.0,46.0
11,train,softmax,0.9999977350234985,1.0251946e-05,1.0,1169.0,41.0
12,train,softmax,0.7490209937095642,1.5973917e-05,1.0,1203.0,25.0
13,train,softmax,0.9999094009399414,1.8596476e-05,1.0,1307.0,15.0
14,train,softmax,0.9996687173843384,0.0005554802,1.0,1343.0,31.0
15,train,softmax,0.9998165965080261,7.056941e-05,1.0,1360.0,25.0
16,train,softmax,0.9999088048934937,0.0003558956,1.0,1573.0,37.0
17,train,softmax,0.9999815225601196,9.894322e-06,1.0,1600.0,46.0
18,train,softmax,0.9999603033065796,-0.0,1.0,1695.0,41.0
19,train,softmax,0.6478281021118164,-0.0,1.0,1960.0,13.0
20,train,softmax,0.9999994039535522,0.57548875,1.0,2045.0,15.0
21,train,softmax,0.9967445135116577,4.2879753,0.0,2103.0,28.0
22,train,softmax,0.9999822378158569,7.950944e-05,1.0,2203.0,31.0
23,train,softmax,0.9999499320983887,1.5497195e-06,1.0,2232.0,43.0
24,train,softmax,0.999984622001648,3.6119764e-05,1.0,2360.0,31.0
25,train,softmax,0.9999923706054688,0.000101561156,1.0,2390.0,15.0
26,train,softmax,0.983623743057251,-0.0,1.0,2935.0,41.0
27,train,softmax,0.6139512658119202,3.81469e-06,1.0,3110.0,48.0
28,train,softmax,0.9998971223831177,2.622601e-06,1.0,3336.0,30.0
29,train,softmax,0.999954104423523,5.19739e-05,1.0,3777.0,31.0
30,train,softmax,0.9992075562477112,0.00044526675,1.0,3818.0,2.0
31,train,softmax,0.9999586343765259,9.035656e-05,1.0,3869.0,15.0
32,train,softmax,0.999997615814209,8.821448e-06,1.0,3876.0,41.0
33,train,softmax,0.2664344310760498,8.344616e-06,1.0,4223.0,43.0
34,train,softmax,0.9999953508377075,3.3378547e-06,1.0,4680.0,25.0
35,train,softmax,0.9995430707931519,0.0004817279,1.0,4701.0,34.0
36,train,softmax,0.9557275176048279,1.4305105e-06,1.0,5003.0,46.0
37,train,softmax,0.9993197917938232,0.00010978573,1.0,5051.0,34.0
38,train,softmax,0.9999991655349731,0.0001914318,1.0,5054.0,32.0
39,train,softmax,1.0,4.5299425e-06,1.0,5087.0,48.0
40,train,softmax,0.9999310970306396,5.5192377e-05,1.0,5242.0,37.0
41,train,softmax,0.999996542930603,4.6491514e-06,1.0,5277.0,12.0
42,train,softmax,0.9999167919158936,9.5367386e-07,1.0,5321.0,0.0
43,train,softmax,0.6792861223220825,0.0025999097,1.0,5372.0,46.0
44,train,softmax,0.9999606609344482,0.00012134769,1.0,5420.0,32.0
45,train,softmax,0.999985933303833,7.998623e-05,1.0,5437.0,28.0
46,train,softmax,0.997462272644043,4.0531077e-06,1.0,5477.0,43.0
47,train,softmax,0.9999911785125732,0.00034314467,1.0,5606.0,25.0
48,train,softmax,0.9999891519546509,1.5860277,1.0,5941.0,26.0
49,train,softmax,0.9999942779541016,3.8225093,0.0,6497.0,20.0
50,train,softmax,0.9999959468841553,4.887569e-06,1.0,6816.0,31.0
51,train,softmax,0.999993085861206,2.6474938,0.0,6834.0,34.0
52,train,softmax,0.9999245405197144,6.251687,0.0,6924.0,28.0
53,train,softmax,0.9999542236328125,0.00025686302,1.0,6929.0,15.0
54,train,softmax,0.9999690055847168,6.675698e-06,1.0,6967.0,44.0
