,fold,feature_name,feature,loss,acc,idx,class
0,train,grad_magnitude,79.55526733398438,0.00013803483,1.0,356.0,58.0
1,train,grad_magnitude,133.1906280517578,1.001353e-05,1.0,3874.0,58.0
2,train,grad_magnitude,88.7799072265625,1.03711545e-05,1.0,5479.0,58.0
3,train,grad_magnitude,118.64762878417969,8.106199e-06,1.0,5601.0,58.0
4,train,grad_magnitude,75.91166687011719,5.1259863e-06,1.0,6938.0,58.0
5,train,grad_magnitude,71.9727554321289,0.0030646997,1.0,6966.0,58.0
6,train,grad_magnitude,58.416748046875,1.7642818e-05,1.0,7532.0,58.0
7,train,grad_magnitude,69.00153350830078,1.5735503e-05,1.0,7880.0,58.0
8,train,grad_magnitude,54.298648834228516,5.5549986e-05,1.0,8758.0,13.0
9,train,grad_magnitude,94.75065612792969,2.2530301e-05,1.0,2321.0,40.0
10,train,grad_magnitude,149.86988830566406,2.3841855e-07,1.0,4905.0,40.0
11,train,grad_magnitude,38.07202911376953,1.800044e-05,1.0,5156.0,40.0
12,train,grad_magnitude,99.82027435302734,7.7602235e-05,1.0,6509.0,40.0
13,train,grad_magnitude,109.03739166259766,1.072883e-06,1.0,7046.0,28.0
14,train,grad_magnitude,56.62446212768555,9.5367386e-07,1.0,8317.0,28.0
15,train,grad_magnitude,97.85091400146484,4.0531077e-06,1.0,8906.0,40.0
16,train,grad_magnitude,103.7314453125,1.239769e-05,1.0,334.0,59.0
17,train,grad_magnitude,109.66991424560547,5.3046726e-05,1.0,1187.0,2.0
18,train,grad_magnitude,98.01319885253906,0.0003514864,1.0,1492.0,2.0
19,train,grad_magnitude,63.33225631713867,3.576278e-07,1.0,1524.0,22.0
20,train,grad_magnitude,56.74073028564453,3.576278e-07,1.0,1774.0,2.0
21,train,grad_magnitude,33.978187561035156,0.0002948803,1.0,5297.0,2.0
22,train,grad_magnitude,137.21243286132812,1.1324818e-05,1.0,5314.0,2.0
23,train,grad_magnitude,53.17977523803711,4.7683704e-07,1.0,5692.0,2.0
24,train,grad_magnitude,86.04446411132812,7.831743e-05,1.0,5920.0,59.0
25,train,grad_magnitude,94.47675323486328,8.106199e-06,1.0,6912.0,2.0
26,train,grad_magnitude,64.11260986328125,0.00046135273,1.0,920.0,51.0
27,train,grad_magnitude,116.80496978759766,0.0003380204,1.0,1434.0,7.0
28,train,grad_magnitude,75.01224517822266,7.152532e-06,1.0,1799.0,36.0
29,train,grad_magnitude,95.46075439453125,3.1735225,0.0,1830.0,39.0
30,train,grad_magnitude,83.20088958740234,3.349725e-05,1.0,2518.0,32.0
31,train,grad_magnitude,74.59696197509766,0.0012972282,1.0,4016.0,21.0
32,train,grad_magnitude,148.439208984375,0.002043423,1.0,4029.0,36.0
33,train,grad_magnitude,56.401817321777344,7.152555e-07,1.0,4366.0,42.0
34,train,grad_magnitude,103.10638427734375,0.0017583399,1.0,4597.0,48.0
35,train,grad_magnitude,74.61238861083984,0.1768096,1.0,4640.0,21.0
36,train,grad_magnitude,96.20268249511719,0.0010625437,1.0,4833.0,57.0
37,train,grad_magnitude,59.686038970947266,4.2199197e-05,1.0,4903.0,16.0
38,train,grad_magnitude,64.44137573242188,4.5894525e-05,1.0,5222.0,0.0
