,fold,feature_name,feature,loss,acc,idx,class
0,train,rabanser,[],1.7762026e-05,1.0,5479.0,39.0
1,train,rabanser,[],6.7112574e-05,1.0,585.0,16.0
2,train,rabanser,[],2.396078e-05,1.0,1096.0,25.0
3,train,rabanser,[],0.0011224406,1.0,1239.0,58.0
4,train,rabanser,[],7.390703e-05,1.0,1357.0,25.0
5,train,rabanser,[],0.00046933602,1.0,3842.0,25.0
6,train,rabanser,[],1.20400655e-05,1.0,3934.0,25.0
7,train,rabanser,[],1.4305105e-06,1.0,3983.0,12.0
8,train,rabanser,[],0.00010632903,1.0,4166.0,20.0
9,train,rabanser,[],0.00652836,1.0,4263.0,1.0
10,train,rabanser,[],0.0011194637,1.0,4349.0,37.0
11,train,rabanser,[],0.0012263882,1.0,6195.0,25.0
12,train,rabanser,[],1.4305105e-06,1.0,6606.0,12.0
13,train,rabanser,[],0.00047326807,1.0,6762.0,13.0
14,train,rabanser,[],0.0002436341,1.0,6799.0,25.0
15,train,rabanser,[],7.867782e-06,1.0,6868.0,56.0
16,train,rabanser,[],0.00052998326,1.0,7139.0,18.0
17,train,rabanser,[],2.145765e-06,1.0,7568.0,12.0
18,train,rabanser,[],0.06563354,1.0,7783.0,56.0
19,train,rabanser,[],0.0015298341,1.0,7953.0,22.0
20,train,rabanser,[],5.709962e-05,1.0,7987.0,0.0
21,train,rabanser,[],0.00019178935,1.0,8382.0,19.0
22,train,rabanser,[],1.2387823,1.0,8394.0,58.0
23,train,rabanser,[],2.145765e-06,1.0,8457.0,25.0
24,train,rabanser,[],0.00010442189,1.0,8473.0,13.0
25,train,rabanser,[],0.010556807,1.0,8578.0,25.0
26,train,rabanser,[],0.00048720886,1.0,9109.0,13.0
27,train,rabanser,[],0.00041488145,1.0,9290.0,25.0
28,train,rabanser,[],0.005376285,1.0,9907.0,22.0
29,train,rabanser,[],-0.0,1.0,226.0,37.0
30,train,rabanser,[],6.675698e-06,1.0,1672.0,37.0
31,train,rabanser,[],1.28745205e-05,1.0,2110.0,28.0
32,train,rabanser,[],0.000906295,1.0,2537.0,37.0
33,train,rabanser,[],0.00032729513,1.0,3312.0,37.0
34,train,rabanser,[],1.9907753e-05,1.0,5678.0,37.0
35,train,rabanser,[],-0.0,1.0,6111.0,37.0
36,train,rabanser,[],0.00021371941,1.0,7578.0,37.0
37,train,rabanser,[],4.7683704e-07,1.0,7957.0,53.0
38,train,rabanser,[],2.3841855e-07,1.0,9441.0,53.0
39,train,rabanser,[],6.675698e-06,1.0,9869.0,37.0
40,train,rabanser,[],8.6184606e-05,1.0,196.0,28.0
41,train,rabanser,[],0.0002124084,1.0,1311.0,39.0
42,train,rabanser,[],2.5780995,0.0,2539.0,48.0
43,train,rabanser,[],9.7985234e-05,1.0,3918.0,3.0
44,train,rabanser,[],1.434304,0.0,4824.0,0.0
45,train,rabanser,[],0.0018256917,1.0,7494.0,34.0
46,train,rabanser,[],0.00026067672,1.0,8689.0,57.0
47,train,rabanser,[],8.821448e-06,1.0,158.0,59.0
48,train,rabanser,[],7.152555e-07,1.0,3116.0,59.0
49,train,rabanser,[],0.6054364,1.0,3840.0,35.0
50,train,rabanser,[],4.3675785,0.0,4558.0,12.0
51,train,rabanser,[],4.4464075e-05,1.0,5216.0,35.0
52,train,rabanser,[],7.2717403e-06,1.0,7488.0,35.0
53,train,rabanser,[],5.1259863e-06,1.0,7576.0,19.0
54,train,rabanser,[],4.357876,0.0,9220.0,35.0
55,train,rabanser,[],3.224292,0.0,9649.0,59.0
56,train,rabanser,[],5.841238e-06,1.0,604.0,39.0
57,train,rabanser,[],5.841238e-06,1.0,4886.0,39.0
58,train,rabanser,[],1.072883e-06,1.0,5271.0,39.0
59,train,rabanser,[],3.576278e-07,1.0,9148.0,39.0
60,train,rabanser,[],2.3841855e-07,1.0,9416.0,39.0
61,train,rabanser,[],4.6490542e-05,1.0,145.0,15.0
62,train,rabanser,[],2.5987287e-05,1.0,864.0,30.0
63,train,rabanser,[],2.6940936e-05,1.0,2291.0,51.0
64,train,rabanser,[],3.0994368e-06,1.0,2887.0,15.0
65,train,rabanser,[],0.14133745,1.0,3431.0,48.0
66,train,rabanser,[],2.8848232e-05,1.0,3508.0,42.0
67,train,rabanser,[],2.0384581e-05,1.0,3627.0,57.0
68,train,rabanser,[],2.622601e-06,1.0,7364.0,15.0
69,train,rabanser,[],2.7418098e-06,1.0,8036.0,15.0
70,train,rabanser,[],0.000101203565,1.0,9866.0,15.0
71,train,rabanser,[],3.2457957,0.0,9971.0,55.0
72,train,rabanser,[],7.152555e-07,1.0,539.0,33.0
73,train,rabanser,[],1.5020258e-05,1.0,946.0,35.0
74,train,rabanser,[],2.3964877,0.0,1076.0,12.0
75,train,rabanser,[],7.9390236e-05,1.0,1157.0,24.0
76,train,rabanser,[],8.940657e-06,1.0,1253.0,28.0
77,train,rabanser,[],4.088795e-05,1.0,1381.0,28.0
78,train,rabanser,[],4.1723165e-06,1.0,1723.0,35.0
79,train,rabanser,[],4.0411134e-05,1.0,2373.0,59.0
80,train,rabanser,[],0.00017605662,1.0,2777.0,28.0
81,train,rabanser,[],3.0755524e-05,1.0,3921.0,46.0
82,train,rabanser,[],1.5020258e-05,1.0,4033.0,35.0
83,train,rabanser,[],2.8967437e-05,1.0,4363.0,2.0
84,train,rabanser,[],8.940657e-06,1.0,4472.0,59.0
85,train,rabanser,[],2.264974e-06,1.0,5574.0,12.0
86,train,rabanser,[],4.8517002e-05,1.0,6842.0,2.0
87,train,rabanser,[],4.7683704e-07,1.0,7295.0,45.0
88,train,rabanser,[],8.70224e-06,1.0,7660.0,45.0
89,train,rabanser,[],9.941561e-05,1.0,8716.0,28.0
90,train,rabanser,[],0.00039510074,1.0,8833.0,41.0
91,train,rabanser,[],2.801379e-05,1.0,8924.0,28.0
92,train,rabanser,[],2.9921084e-05,1.0,9149.0,27.0
93,train,rabanser,[],0.6635152,1.0,9313.0,12.0
94,train,rabanser,[],0.0007290566,1.0,9461.0,51.0
95,train,rabanser,[],8.427742e-05,1.0,2800.0,37.0
96,train,rabanser,[],1.1458273,1.0,3295.0,53.0
97,train,rabanser,[],0.00029905137,1.0,4173.0,39.0
98,train,rabanser,[],0.00014792779,1.0,5965.0,39.0
99,train,rabanser,[],0.0001596085,1.0,8199.0,39.0
100,train,rabanser,[],0.29765642,1.0,390.0,34.0
101,train,rabanser,[],1.1086402e-05,1.0,732.0,54.0
102,train,rabanser,[],2.1908255,0.0,2070.0,32.0
