,fold,feature_name,feature,loss,acc,idx,class
0,train,typicality,16601.7265625,0.00039367078,1.0,2463.0,21.0
1,train,typicality,20249.18359375,1.5020258e-05,1.0,6539.0,41.0
2,train,typicality,24332.98828125,0.010494287,1.0,5053.0,38.0
3,train,typicality,10063.5810546875,0.00022504182,1.0,9690.0,36.0
4,train,typicality,9851.2265625,1.898778,0.0,3785.0,37.0
5,train,typicality,16745.4453125,2.503392e-06,1.0,5609.0,27.0
6,train,typicality,15232.3837890625,6.5564896e-06,1.0,418.0,42.0
7,train,typicality,19334.353515625,-0.0,1.0,9407.0,22.0
8,train,typicality,16953.7734375,2.0980615e-05,1.0,6043.0,57.0
9,train,typicality,16072.77734375,1.490105e-05,1.0,7384.0,56.0
10,train,typicality,19752.294921875,8.344647e-07,1.0,286.0,44.0
11,train,typicality,15795.681640625,8.6780594e-05,1.0,4761.0,22.0
12,train,typicality,14751.193359375,6.699338e-05,1.0,499.0,41.0
13,train,typicality,18095.708984375,1.1920928e-07,1.0,9612.0,16.0
14,train,typicality,17494.435546875,2.1695856e-05,1.0,6709.0,43.0
15,train,typicality,12521.349609375,0.022311268,1.0,348.0,11.0
16,train,typicality,13795.4404296875,10.410721,0.0,1390.0,40.0
17,train,typicality,19984.37890625,0.00024518344,1.0,636.0,12.0
18,train,typicality,13612.0126953125,2.123288,0.0,5336.0,36.0
19,train,typicality,14626.923828125,1.1324818e-05,1.0,9843.0,7.0
20,train,typicality,17274.7421875,4.4268045,0.0,1120.0,47.0
21,train,typicality,16703.740234375,6.4372807e-06,1.0,6109.0,48.0
22,train,typicality,11475.591796875,0.0018522264,1.0,9876.0,42.0
23,train,typicality,16103.19140625,-0.0,1.0,635.0,40.0
24,train,typicality,11235.6630859375,5.245195e-06,1.0,7633.0,36.0
25,train,typicality,12321.9453125,0.17022036,1.0,5574.0,42.0
26,train,typicality,22509.853515625,2.3841855e-07,1.0,4564.0,43.0
27,train,typicality,10512.7919921875,3.6834994e-05,1.0,4902.0,4.0
28,train,typicality,13548.93359375,0.00013398226,1.0,4319.0,15.0
29,train,typicality,23086.58203125,1.1920922e-06,1.0,6544.0,43.0
30,train,typicality,11780.583984375,1.0132739e-05,1.0,3928.0,16.0
31,train,typicality,23415.40234375,0.0021073057,1.0,9875.0,57.0
32,train,typicality,17948.818359375,0.0010387269,1.0,5825.0,5.0
33,train,typicality,13648.01171875,7.641024e-05,1.0,2374.0,7.0
34,train,typicality,16261.701171875,1.2993728e-05,1.0,6608.0,1.0
35,train,typicality,11689.19921875,0.04126257,1.0,1227.0,30.0
36,train,typicality,17313.759765625,2.8610189e-06,1.0,2669.0,13.0
37,train,typicality,12554.017578125,0.34571525,1.0,8986.0,34.0
38,train,typicality,24292.14453125,6.2940526e-05,1.0,6213.0,39.0
39,train,typicality,14882.525390625,4.2914424e-05,1.0,981.0,27.0
40,train,typicality,22425.35546875,9.536698e-06,1.0,3402.0,41.0
41,train,typicality,14146.7646484375,2.9444262e-05,1.0,6717.0,2.0
42,train,typicality,15348.16796875,1.7881378e-06,1.0,1683.0,12.0
43,train,typicality,20830.703125,0.0044548083,1.0,114.0,21.0
44,train,typicality,18208.78515625,1.6212332e-05,1.0,4055.0,51.0
45,train,typicality,17287.37109375,12.061155,0.0,1371.0,31.0
46,train,typicality,14996.84375,1.3113013e-06,1.0,7077.0,16.0
47,train,typicality,13923.78515625,9.512449e-05,1.0,1193.0,41.0
48,train,typicality,20571.517578125,0.005702537,1.0,3582.0,3.0
49,train,typicality,11269.025390625,3.170917e-05,1.0,2043.0,29.0
50,train,typicality,23813.126953125,8.439662e-05,1.0,7027.0,20.0
51,train,typicality,11967.4404296875,7.6767836e-05,1.0,1721.0,30.0
52,train,typicality,12626.06640625,0.3309528,1.0,2652.0,39.0
