,fold,feature_name,feature,loss,acc,idx,class
0,train,energy,6.939573287963867,0.0059952666,1.0,54.0,23.0
1,train,energy,5.200928688049316,0.22395013,1.0,131.0,7.0
2,train,energy,9.236345291137695,1.0700963,0.0,150.0,25.0
3,train,energy,1.907589316368103,0.43180135,1.0,156.0,25.0
4,train,energy,3.8261494636535645,0.033142284,1.0,497.0,23.0
5,train,energy,3.144584894180298,0.4783991,1.0,553.0,17.0
6,train,energy,2.2853546142578125,0.769501,1.0,559.0,17.0
7,train,energy,3.3398501873016357,0.082986034,1.0,572.0,9.0
8,train,energy,8.956585884094238,0.04500699,1.0,664.0,23.0
9,train,energy,3.039801597595215,1.3661547,0.0,670.0,26.0
10,train,energy,10.004066467285156,4.027628,0.0,757.0,7.0
11,train,energy,3.202986478805542,2.282816,0.0,769.0,23.0
12,train,energy,0.9590526819229126,1.7940059,0.0,803.0,17.0
13,train,energy,2.0753490924835205,0.71010506,1.0,841.0,3.0
14,train,energy,3.083845615386963,0.048186284,1.0,952.0,23.0
15,train,energy,2.159547805786133,0.0036397418,1.0,973.0,23.0
16,train,energy,10.52827262878418,0.012366052,1.0,1021.0,23.0
17,train,energy,3.9150614738464355,0.09357214,1.0,1216.0,23.0
18,train,energy,5.196149826049805,0.17291188,1.0,1258.0,13.0
19,train,energy,3.7262187004089355,0.0042786724,1.0,1264.0,23.0
20,train,energy,2.5320868492126465,1.9378549,0.0,1310.0,6.0
21,train,energy,0.596788763999939,1.6249399,0.0,1312.0,18.0
22,train,energy,7.181843280792236,1.275207,0.0,1334.0,26.0
23,train,energy,2.922333002090454,0.11983578,1.0,1382.0,23.0
24,train,energy,9.172131538391113,0.19012235,1.0,1406.0,3.0
25,train,energy,0.23567360639572144,0.22001576,1.0,1431.0,26.0
26,train,energy,6.9866485595703125,1.4438586,0.0,1454.0,19.0
27,train,energy,3.6075520515441895,0.6864578,1.0,1508.0,23.0
28,train,energy,1.2088072299957275,5.487326,0.0,1557.0,4.0
29,train,energy,3.888101100921631,1.520299,0.0,1649.0,18.0
30,train,energy,3.368389844894409,0.4994955,1.0,1663.0,13.0
31,train,energy,3.805464267730713,0.0037984143,1.0,1689.0,23.0
32,train,energy,2.7113561630249023,0.20367736,1.0,1914.0,20.0
33,train,energy,2.0400023460388184,0.16664664,1.0,1958.0,9.0
34,train,energy,2.048898458480835,0.045545887,1.0,2000.0,23.0
35,train,energy,9.32874584197998,2.442984,0.0,2191.0,13.0
