,fold,feature_name,feature,loss,acc,idx,class
0,ind_val,rabanser,0.007260453861806588,1.5382113,0.59375,144.09375,14.1875
1,ind_val,rabanser,0.005188353181027167,1.3289104,0.5625,160.96875,13.875
2,ind_val,rabanser,0.02952960311715115,1.0479184,0.71875,136.03125,18.4375
3,ind_val,rabanser,0.006750947972704755,2.619622,0.4375,138.5,15.96875
4,ind_val,rabanser,0.040662953048278244,2.1748354,0.53125,116.21875,13.84375
5,ind_val,rabanser,0.04206482891457874,1.5952225,0.5,141.59375,15.40625
6,ind_val,rabanser,0.011309290057731219,1.5644029,0.53125,168.8125,14.9375
7,ind_val,rabanser,0.013297667332560409,2.1383905,0.5,115.75,14.8125
8,ind_test,rabanser,0.017725964769722227,1.4755081,0.53125,129.40625,14.9375
9,ind_test,rabanser,0.007472079126328581,2.414766,0.46875,158.5,12.6875
10,ind_test,rabanser,0.009253810597515585,0.9112468,0.75,140.90625,15.0
11,ind_test,rabanser,0.018348695579222883,1.0150669,0.75,135.0,14.625
12,ind_test,rabanser,0.002888585296160695,2.4529533,0.46875,140.09375,17.46875
13,ind_test,rabanser,0.01191454220308278,1.3925667,0.59375,137.15625,13.125
14,ind_test,rabanser,0.0426522455291757,2.056807,0.53125,143.96875,15.75
15,ind_test,rabanser,0.002579581517112453,2.2249649,0.5625,154.84375,13.46875
16,dslr,rabanser,2.850029809497511e-13,7.105341,0.15625,225.84375,14.0625
17,dslr,rabanser,2.0270553425586723e-22,9.065235,0.09375,271.21875,16.53125
18,dslr,rabanser,1.0061969349600329e-17,9.2243805,0.03125,247.375,15.34375
19,dslr,rabanser,2.1388830926339483e-20,7.5242066,0.09375,205.90625,12.59375
20,dslr,rabanser,1.0153679505094063e-17,8.216904,0.125,291.3125,18.0625
21,dslr,rabanser,5.656254352394178e-19,8.631731,0.125,237.65625,14.71875
22,dslr,rabanser,1.3646531473914433e-15,8.543462,0.0625,267.0,16.46875
23,dslr,rabanser,1.6203773323728853e-20,7.833577,0.0625,250.0625,15.34375
24,dslr,rabanser,4.871046228945106e-17,7.7309403,0.125,263.15625,16.1875
25,dslr,rabanser,9.542399746305905e-16,8.793179,0.15625,245.03125,15.21875
26,dslr,rabanser,4.623318388909796e-16,10.520723,0.09375,244.28125,14.90625
27,dslr,rabanser,2.6962280323628757e-17,8.164575,0.03125,249.65625,15.21875
28,dslr,rabanser,2.2121932445062043e-16,9.031856,0.03125,242.71875,14.875
29,dslr,rabanser,1.510741032255633e-17,8.841992,0.09375,237.21875,14.53125
30,dslr,rabanser,2.4432012443911814e-21,8.574501,0.15625,246.3125,15.15625
31,webcam,rabanser,9.888871390475282e-11,8.673533,0.0625,358.65625,13.75
32,webcam,rabanser,1.7833247877015278e-12,7.2204056,0.1875,334.8125,12.65625
33,webcam,rabanser,2.6948268174595347e-10,8.923462,0.125,360.84375,13.71875
34,webcam,rabanser,1.5862875711211762e-09,8.475706,0.09375,329.6875,12.5
35,webcam,rabanser,1.3059309960056988e-13,7.9898033,0.09375,380.96875,14.5
36,webcam,rabanser,1.3634745239558373e-11,7.5416546,0.21875,360.5,13.875
37,webcam,rabanser,1.0264621648113483e-11,8.084987,0.1875,354.125,13.3125
38,webcam,rabanser,3.4917044866784225e-10,6.7927094,0.125,444.78125,16.8125
39,webcam,rabanser,2.0817846354233814e-13,8.703068,0.03125,474.125,18.03125
40,webcam,rabanser,1.3634745239558373e-11,8.669701,0.0625,470.09375,17.8125
41,webcam,rabanser,1.8072093751432264e-11,7.71082,0.1875,409.875,15.65625
42,webcam,rabanser,5.827704042271639e-10,7.155471,0.125,380.5625,14.5
43,webcam,rabanser,2.390207667364075e-11,7.715091,0.09375,409.6875,15.65625
44,webcam,rabanser,4.5153441759234595e-10,8.983325,0.0625,412.53125,15.71875
45,webcam,rabanser,7.50695358869832e-10,6.52293,0.25,408.75,15.5625
46,webcam,rabanser,8.454749380764747e-09,8.965565,0.03125,411.9375,15.5625
47,webcam,rabanser,1.623577220032776e-12,8.551737,0.125,418.96875,15.8125
48,webcam,rabanser,2.6948268174595347e-10,9.717056,0.09375,411.75,15.71875
49,webcam,rabanser,1.2241217645103888e-10,10.432714,0.0,402.375,15.40625
50,webcam,rabanser,1.3634745239558373e-11,8.147433,0.125,405.1875,15.28125
51,webcam,rabanser,4.3220363680098476e-12,6.9162464,0.125,396.09375,15.15625
52,webcam,rabanser,3.154544790053124e-11,7.4727983,0.03125,453.65625,17.3125
53,webcam,rabanser,5.809516434458767e-12,7.8872185,0.125,393.9375,15.1875
54,webcam,rabanser,5.302434964226951e-13,7.0310416,0.1875,350.625,13.375
