,fold,feature_name,feature,loss,acc,idx,class
0,hue_0.025,softmax,0.5316184759140015,9.7751135e-06,1.0,1268.0,5.0
1,hue_0.025,softmax,0.9748775959014893,-0.0,1.0,142.0,7.0
2,hue_0.025,softmax,0.9999991655349731,0.004521148,1.0,1100.0,7.0
3,hue_0.025,softmax,0.9999997615814209,0.012941655,1.0,1065.0,0.0
4,hue_0.025,softmax,0.9706407189369202,4.6848152e-05,1.0,982.0,8.0
5,hue_0.025,softmax,0.9999996423721313,11.352508,0.0,1402.0,0.0
6,hue_0.025,softmax,0.9138365387916565,0.41889933,1.0,656.0,0.0
7,hue_0.025,softmax,0.9999994039535522,0.0030361768,1.0,341.0,7.0
8,hue_0.025,softmax,0.5839136242866516,0.0041153273,1.0,658.0,0.0
9,hue_0.025,softmax,0.94047611951828,6.0556486e-05,1.0,1543.0,0.0
10,hue_0.025,softmax,0.9983258843421936,0.17629533,1.0,1008.0,0.0
11,hue_0.025,softmax,0.9999967813491821,8.117823e-05,1.0,1297.0,14.0
12,hue_0.025,softmax,0.9966568946838379,0.33578235,1.0,526.0,0.0
13,hue_0.025,softmax,0.5277366638183594,0.20056613,1.0,449.0,0.0
14,hue_0.025,softmax,0.6840940713882446,1.9073468e-06,1.0,1107.0,0.0
15,hue_0.025,softmax,0.6047182083129883,0.27024776,1.0,921.0,1.0
16,hue_0.025,softmax,0.9809524416923523,0.00070618483,1.0,158.0,6.0
17,hue_0.025,softmax,1.0,0.0062914644,1.0,1157.0,1.0
18,hue_0.025,softmax,0.9304049015045166,0.03093718,1.0,9.0,5.0
19,hue_0.025,softmax,0.8473125696182251,0.03044412,1.0,917.0,14.0
20,hue_0.025,softmax,0.9999997615814209,0.123935826,1.0,34.0,6.0
21,hue_0.025,softmax,0.9931282997131348,0.0008325686,1.0,1620.0,0.0
22,hue_0.025,softmax,0.9855288863182068,0.28713325,1.0,634.0,0.0
23,hue_0.025,softmax,0.9999998807907104,0.0001314792,1.0,700.0,5.0
24,hue_0.025,softmax,0.8011916279792786,0.03907211,1.0,1305.0,2.0
25,hue_0.025,softmax,1.0,0.0037658743,1.0,1663.0,3.0
26,hue_0.025,softmax,0.9998044371604919,0.0062610195,1.0,403.0,0.0
27,hue_0.025,softmax,0.9826146960258484,0.012510749,1.0,679.0,7.0
28,hue_0.025,softmax,0.7068971991539001,0.30604982,1.0,954.0,7.0
29,hue_0.025,softmax,0.9964421391487122,0.03523022,1.0,691.0,7.0
30,hue_0.025,softmax,0.9998855590820312,-0.0,1.0,661.0,2.0
31,hue_0.025,softmax,0.9999959468841553,0.17996584,1.0,413.0,7.0
32,hue_0.025,softmax,0.9999929666519165,6.198864e-06,1.0,684.0,6.0
33,hue_0.025,softmax,0.9997028708457947,0.11071054,1.0,489.0,6.0
34,hue_0.025,softmax,0.982952356338501,1.5053072,0.0,621.0,5.0
35,hue_0.025,softmax,0.978343665599823,5.036396,0.0,1032.0,3.0
36,hue_0.025,softmax,0.7935863733291626,0.000953339,1.0,665.0,9.0
37,hue_0.025,softmax,1.0,0.0081604635,1.0,892.0,5.0
38,hue_0.025,softmax,0.9653831720352173,9.043544,0.0,334.0,2.0
39,hue_0.025,softmax,0.9999188184738159,3.576278e-07,1.0,1623.0,5.0
40,hue_0.025,softmax,0.9999990463256836,4.3629647e-05,1.0,1053.0,1.0
41,hue_0.025,softmax,0.9759929776191711,7.152555e-07,1.0,1526.0,0.0
42,hue_0.025,softmax,0.9999133348464966,0.015757803,1.0,1469.0,3.0
43,hue_0.025,softmax,0.9815601110458374,0.0023423398,1.0,1159.0,0.0
44,hue_0.025,softmax,0.9992175102233887,-0.0,1.0,557.0,11.0
45,hue_0.025,softmax,0.8324214220046997,2.2847843,0.0,889.0,6.0
46,hue_0.025,softmax,0.9998334646224976,-0.0,1.0,1175.0,11.0
47,hue_0.025,softmax,1.0,1.2281997,0.0,965.0,0.0
48,hue_0.025,softmax,0.995665967464447,2.5748875e-05,1.0,175.0,8.0
49,hue_0.025,softmax,0.5190789103507996,0.007031576,1.0,431.0,6.0
50,hue_0.025,softmax,0.8391204476356506,0.3018602,1.0,1278.0,9.0
51,hue_0.025,softmax,0.8538057208061218,0.02337111,1.0,780.0,4.0
52,hue_0.025,softmax,0.673474907875061,-0.0,1.0,927.0,7.0
53,hue_0.025,softmax,0.9047442078590393,2.2866812,0.0,674.0,6.0
54,hue_0.025,softmax,0.9994656443595886,0.00055154844,1.0,1129.0,7.0
55,hue_0.025,softmax,0.40612754225730896,2.3841855e-07,1.0,473.0,7.0
56,hue_0.025,softmax,0.9801350235939026,0.36284462,1.0,4.0,3.0
57,hue_0.025,softmax,0.9976385831832886,-0.0,1.0,1079.0,8.0
58,hue_0.025,softmax,0.5685333013534546,0.029655064,1.0,758.0,0.0
59,hue_0.025,softmax,0.9995051622390747,4.6491514e-06,1.0,764.0,8.0
60,hue_0.025,softmax,0.9988896250724792,0.05957548,1.0,741.0,9.0
61,hue_0.025,softmax,0.9273519515991211,0.053956676,1.0,1425.0,6.0
62,hue_0.025,softmax,0.9999967813491821,0.00029392692,1.0,1478.0,7.0
63,hue_0.025,softmax,1.0,0.00053308107,1.0,689.0,0.0
64,hue_0.025,softmax,0.6843818426132202,0.0010690932,1.0,518.0,11.0
65,hue_0.025,softmax,0.3881256580352783,9.5367386e-07,1.0,1597.0,14.0
66,hue_0.025,softmax,0.907275378704071,0.015615452,1.0,1220.0,7.0
67,hue_0.025,softmax,0.9896458983421326,0.0005285535,1.0,529.0,0.0
68,hue_0.025,softmax,0.9999979734420776,0.78041744,1.0,137.0,9.0
69,hue_0.025,softmax,0.817996621131897,5.960463e-07,1.0,730.0,8.0
70,hue_0.025,softmax,0.9998704195022583,6.307379,0.0,492.0,3.0
71,hue_0.025,softmax,0.9978723526000977,1.1920928e-07,1.0,369.0,5.0
72,hue_0.025,softmax,1.0,0.00302964,1.0,444.0,5.0
73,hue_0.025,softmax,0.5507166981697083,0.48128623,1.0,220.0,6.0
74,hue_0.025,softmax,0.9997414946556091,0.00038032452,1.0,164.0,0.0
75,hue_0.025,softmax,0.969224750995636,4.19258,0.0,1329.0,8.0
76,hue_0.025,softmax,0.8781012296676636,4.1723165e-06,1.0,176.0,7.0
77,hue_0.025,softmax,0.9196227192878723,0.32764003,1.0,1134.0,1.0
78,hue_0.025,softmax,0.9999217987060547,3.2171516,0.0,1535.0,1.0
79,hue_0.025,softmax,0.8951978087425232,0.16568562,1.0,1513.0,0.0
80,hue_0.025,softmax,0.6289160847663879,7.6291035e-05,1.0,1085.0,0.0
81,hue_0.025,softmax,0.9156989455223083,0.15520887,1.0,456.0,9.0
82,hue_0.025,softmax,0.9992513060569763,0.001074571,1.0,277.0,0.0
83,hue_0.025,softmax,1.0,0.06538032,1.0,761.0,0.0
84,hue_0.025,softmax,0.9995419979095459,0.044301994,1.0,1420.0,11.0
85,hue_0.025,softmax,0.9949969053268433,0.13727753,1.0,1141.0,2.0
86,hue_0.025,softmax,0.998723566532135,1.1920928e-07,1.0,950.0,6.0
87,hue_0.025,softmax,0.9993318915367126,0.056019567,1.0,418.0,7.0
88,hue_0.025,softmax,0.3720647394657135,0.02979728,1.0,890.0,0.0
89,hue_0.025,softmax,0.9951637983322144,0.019476483,1.0,311.0,0.0
90,hue_0.025,softmax,0.6936222314834595,0.7341766,1.0,114.0,9.0
91,hue_0.025,softmax,0.5152748823165894,0.0007583603,1.0,214.0,0.0
92,hue_0.025,softmax,0.9999998807907104,9.42901e-05,1.0,463.0,6.0
93,hue_0.025,softmax,0.9999841451644897,0.0003784179,1.0,344.0,6.0
94,hue_0.025,softmax,0.9999991655349731,7.152555e-07,1.0,1400.0,2.0
95,hue_0.025,softmax,1.0,0.21636297,1.0,522.0,14.0
96,hue_0.025,softmax,0.6727064847946167,0.0077211033,1.0,1548.0,2.0
97,hue_0.025,softmax,0.9999775886535645,4.7683704e-07,1.0,566.0,0.0
98,hue_0.025,softmax,0.9954364895820618,0.0109428065,1.0,1545.0,14.0
99,hue_0.025,softmax,0.9999998807907104,0.55928177,1.0,719.0,11.0
100,hue_0.025,softmax,0.9804007411003113,0.0030212018,1.0,1243.0,2.0
101,hue_0.025,softmax,0.7631083726882935,0.02569391,1.0,317.0,8.0
102,hue_0.025,softmax,0.9999860525131226,0.0014235373,1.0,677.0,7.0
103,hue_0.025,softmax,0.9988265633583069,1.1920928e-07,1.0,1579.0,5.0
104,hue_0.025,softmax,0.9988002777099609,0.0011194637,1.0,1006.0,6.0
105,hue_0.025,softmax,0.9999442100524902,0.00021169329,1.0,937.0,14.0
106,hue_0.025,softmax,1.0,0.03505723,1.0,109.0,6.0
107,hue_0.025,softmax,0.8494914174079895,-0.0,1.0,1561.0,2.0
108,hue_0.025,softmax,0.9995819926261902,-0.0,1.0,1187.0,11.0
109,hue_0.025,softmax,0.9999998807907104,0.056065444,1.0,1352.0,7.0
110,hue_0.025,softmax,0.9998307228088379,0.00016115798,1.0,1198.0,5.0
111,hue_0.025,softmax,0.9873834252357483,0.001856272,1.0,1459.0,3.0
112,hue_0.025,softmax,1.0,-0.0,1.0,957.0,2.0
113,hue_0.025,softmax,0.7877614498138428,0.1987002,1.0,1202.0,1.0
114,hue_0.025,softmax,0.9999995231628418,0.012120171,1.0,1392.0,0.0
115,hue_0.025,softmax,0.9994580149650574,0.0017100249,1.0,533.0,5.0
116,hue_0.025,softmax,0.7157845497131348,0.00183295,1.0,1485.0,0.0
117,hue_0.025,softmax,0.8997243642807007,3.1925623,0.0,83.0,11.0
118,hue_0.025,softmax,1.0,0.002379921,1.0,65.0,3.0
119,hue_0.025,softmax,0.9717298746109009,1.1920928e-07,1.0,1174.0,0.0
120,hue_0.025,softmax,0.956212043762207,0.12060394,1.0,1051.0,5.0
121,hue_0.025,softmax,0.9999185800552368,0.00011038171,1.0,888.0,6.0
122,hue_0.025,softmax,0.9849629998207092,0.013223804,1.0,476.0,3.0
123,hue_0.025,softmax,0.9999970197677612,2.7997494,0.0,1087.0,9.0
124,hue_0.025,softmax,1.0,0.013402252,1.0,1287.0,7.0
