,fold,feature_name,feature,loss,acc,idx,class
0,saltpepper_0.025,typicality,9089.443359375,17.668026,0.0,1639.0,0.0
1,saltpepper_0.025,typicality,9064.84375,0.89485586,0.0,950.0,6.0
2,saltpepper_0.025,typicality,9055.474609375,0.37337393,1.0,1062.0,6.0
3,saltpepper_0.025,typicality,9512.9482421875,15.358895,0.0,275.0,11.0
4,saltpepper_0.025,typicality,9029.3974609375,7.8618784,0.0,1404.0,2.0
5,saltpepper_0.025,typicality,9132.7080078125,1.3900352,0.0,676.0,7.0
6,saltpepper_0.025,typicality,10056.8203125,5.7470446,0.0,38.0,9.0
7,saltpepper_0.025,typicality,9201.4599609375,1.276519,0.0,982.0,8.0
8,saltpepper_0.025,typicality,9031.3662109375,9.087074,0.0,670.0,7.0
9,saltpepper_0.025,typicality,10170.009765625,7.0135684,0.0,282.0,2.0
10,saltpepper_0.025,typicality,10063.2734375,29.529936,0.0,623.0,0.0
11,saltpepper_0.025,typicality,9040.912109375,4.8656716,0.0,1586.0,8.0
12,saltpepper_0.025,typicality,9569.2109375,4.275549,0.0,460.0,9.0
13,saltpepper_0.025,typicality,9532.1826171875,3.9829125,0.0,550.0,0.0
14,saltpepper_0.025,typicality,9363.8046875,0.797159,0.0,229.0,7.0
15,saltpepper_0.025,typicality,9042.10546875,27.141222,0.0,1480.0,0.0
16,saltpepper_0.025,typicality,10027.740234375,10.461442,0.0,967.0,1.0
17,saltpepper_0.025,typicality,9055.193359375,35.91363,0.0,1331.0,0.0
18,saltpepper_0.025,typicality,10231.4609375,18.838495,0.0,1247.0,3.0
19,saltpepper_0.025,typicality,9009.5234375,13.935133,0.0,1387.0,0.0
20,saltpepper_0.025,typicality,9007.134765625,11.233245,0.0,50.0,2.0
21,saltpepper_0.025,typicality,9009.697265625,13.857095,0.0,1139.0,0.0
22,saltpepper_0.025,typicality,10298.021484375,17.622559,0.0,1086.0,1.0
23,saltpepper_0.025,typicality,10074.3759765625,30.914207,0.0,1159.0,0.0
24,saltpepper_0.025,typicality,9181.771484375,10.252648,0.0,1597.0,14.0
25,saltpepper_0.025,typicality,10170.7109375,0.6998886,1.0,369.0,5.0
26,saltpepper_0.025,typicality,9203.6181640625,5.071667,0.0,96.0,5.0
27,saltpepper_0.025,typicality,10084.3828125,7.301415,0.0,1572.0,9.0
28,saltpepper_0.025,typicality,9292.7509765625,4.835416,0.0,1386.0,2.0
29,saltpepper_0.025,typicality,9262.73046875,8.136353,0.0,97.0,7.0
30,saltpepper_0.025,typicality,10072.875,9.801072,0.0,98.0,9.0
31,saltpepper_0.025,typicality,9101.6240234375,11.327481,0.0,484.0,14.0
32,saltpepper_0.025,typicality,10093.3818359375,15.305126,0.0,727.0,8.0
33,saltpepper_0.025,typicality,9040.810546875,5.422589,0.0,664.0,2.0
34,saltpepper_0.025,typicality,10018.015625,2.514136,0.0,1131.0,5.0
35,saltpepper_0.025,typicality,10357.90625,1.2926778,0.0,993.0,5.0
36,saltpepper_0.025,typicality,9016.8564453125,28.743607,0.0,1120.0,0.0
37,saltpepper_0.025,typicality,9059.4931640625,13.146145,0.0,788.0,2.0
38,saltpepper_0.025,typicality,9920.98046875,1.9735724,0.0,1242.0,8.0
39,saltpepper_0.025,typicality,8980.388671875,15.376989,0.0,589.0,9.0
40,saltpepper_0.025,typicality,9792.0302734375,0.35187674,1.0,375.0,5.0
41,saltpepper_0.025,typicality,9299.962890625,12.340796,0.0,955.0,14.0
42,saltpepper_0.025,typicality,10143.2177734375,15.327271,0.0,273.0,0.0
43,saltpepper_0.025,typicality,10076.5458984375,1.4377452,0.0,35.0,7.0
44,saltpepper_0.025,typicality,9250.677734375,17.302721,0.0,932.0,14.0
45,saltpepper_0.025,typicality,9272.83984375,0.25462705,1.0,1189.0,6.0
46,saltpepper_0.025,typicality,10257.015625,28.136862,0.0,1284.0,0.0
47,saltpepper_0.025,typicality,9827.4892578125,22.410051,0.0,1546.0,0.0
48,saltpepper_0.025,typicality,9234.71875,34.179214,0.0,678.0,1.0
49,saltpepper_0.025,typicality,9886.6474609375,16.451548,0.0,289.0,1.0
