,fold,feature_name,feature,loss,acc,idx,class
0,hue_0.025,grad_magnitude,72.82102966308594,0.00024816295,1.0,981.0,41.0
1,hue_0.025,grad_magnitude,81.40332794189453,0.03589414,1.0,57.0,23.0
2,hue_0.025,grad_magnitude,69.8466567993164,3.576278e-07,1.0,476.0,16.0
3,hue_0.025,grad_magnitude,100.17420196533203,2.5987287e-05,1.0,1108.0,7.0
4,hue_0.025,grad_magnitude,58.66289138793945,4.026971,0.0,264.0,15.0
5,hue_0.025,grad_magnitude,51.03384780883789,0.0039107525,1.0,832.0,53.0
6,hue_0.025,grad_magnitude,82.2475357055664,0.00030798936,1.0,2.0,58.0
7,hue_0.025,grad_magnitude,82.00123596191406,7.259414,0.0,845.0,9.0
8,hue_0.025,grad_magnitude,62.978694915771484,0.08859202,1.0,139.0,41.0
9,hue_0.025,grad_magnitude,63.840877532958984,0.1961202,1.0,185.0,48.0
10,hue_0.025,grad_magnitude,96.65803527832031,0.00027080684,1.0,946.0,52.0
11,hue_0.025,grad_magnitude,77.97563934326172,9.298281e-06,1.0,919.0,37.0
12,hue_0.025,grad_magnitude,96.26775360107422,1.7881378e-06,1.0,502.0,53.0
13,hue_0.025,grad_magnitude,81.88309478759766,3.421248e-05,1.0,953.0,43.0
14,hue_0.025,grad_magnitude,40.49382019042969,2.3868778,0.0,1204.0,54.0
15,hue_0.025,grad_magnitude,59.21086502075195,8.344616e-06,1.0,132.0,54.0
16,hue_0.025,grad_magnitude,95.41001892089844,0.015219041,1.0,1000.0,14.0
17,hue_0.025,grad_magnitude,73.22177124023438,7.259582e-05,1.0,868.0,36.0
18,hue_0.025,grad_magnitude,138.51742553710938,4.8030963,0.0,475.0,58.0
19,hue_0.025,grad_magnitude,98.65127563476562,0.074755155,1.0,1061.0,34.0
20,hue_0.025,grad_magnitude,72.81434631347656,7.652944e-05,1.0,969.0,37.0
21,hue_0.025,grad_magnitude,79.22367858886719,0.0010774289,1.0,1095.0,48.0
22,hue_0.025,grad_magnitude,67.54650115966797,1.7068957,0.0,353.0,8.0
23,hue_0.025,grad_magnitude,85.67174530029297,0.0014767466,1.0,337.0,37.0
24,hue_0.025,grad_magnitude,46.25562286376953,8.7972585e-05,1.0,1.0,33.0
25,hue_0.025,grad_magnitude,54.60304641723633,0.010622861,1.0,971.0,27.0
26,hue_0.025,grad_magnitude,132.72926330566406,0.00013290952,1.0,258.0,45.0
27,hue_0.025,grad_magnitude,101.96172332763672,0.0029479878,1.0,547.0,0.0
28,hue_0.025,grad_magnitude,96.4485092163086,0.22841509,1.0,557.0,27.0
29,hue_0.025,grad_magnitude,159.34249877929688,0.023329768,1.0,131.0,40.0
30,hue_0.025,grad_magnitude,139.98324584960938,0.00018654513,1.0,824.0,11.0
31,hue_0.025,grad_magnitude,153.53440856933594,2.3841855e-07,1.0,283.0,34.0
32,hue_0.025,grad_magnitude,112.52381134033203,5.960287e-05,1.0,944.0,42.0
33,hue_0.025,grad_magnitude,55.49057388305664,0.00020930961,1.0,232.0,15.0
34,hue_0.025,grad_magnitude,93.93551635742188,0.00016103878,1.0,69.0,37.0
35,hue_0.025,grad_magnitude,93.92365264892578,8.085969,0.0,554.0,48.0
36,hue_0.025,grad_magnitude,84.45611572265625,1.1920928e-07,1.0,817.0,42.0
37,hue_0.025,grad_magnitude,135.98475646972656,1.5139465e-05,1.0,310.0,8.0
38,hue_0.025,grad_magnitude,44.932899475097656,8.7972585e-05,1.0,342.0,20.0
39,hue_0.025,grad_magnitude,38.467987060546875,0.022115631,1.0,863.0,57.0
40,hue_0.025,grad_magnitude,35.48563766479492,2.3364748e-05,1.0,1227.0,41.0
41,hue_0.025,grad_magnitude,81.67239379882812,0.0009534581,1.0,230.0,5.0
42,hue_0.025,grad_magnitude,119.3110122680664,0.001271512,1.0,600.0,2.0
43,hue_0.025,grad_magnitude,27.386823654174805,0.00012325481,1.0,899.0,39.0
44,hue_0.025,grad_magnitude,66.73705291748047,8.344647e-07,1.0,920.0,14.0
45,hue_0.025,grad_magnitude,53.24906921386719,0.47938323,1.0,965.0,11.0
46,hue_0.025,grad_magnitude,38.47065353393555,1.1920928e-07,1.0,819.0,6.0
47,hue_0.025,grad_magnitude,111.08495330810547,9.894322e-06,1.0,1201.0,33.0
48,hue_0.025,grad_magnitude,70.68505859375,5.090107e-05,1.0,504.0,51.0
49,hue_0.025,grad_magnitude,129.89620971679688,7.259582e-05,1.0,744.0,42.0
50,hue_0.025,grad_magnitude,81.4434585571289,0.00034159547,1.0,514.0,36.0
51,hue_0.025,grad_magnitude,102.3148422241211,1.5020258e-05,1.0,674.0,15.0
52,hue_0.025,grad_magnitude,121.50178527832031,0.177852,1.0,442.0,31.0
53,hue_0.025,grad_magnitude,122.23878479003906,-0.0,1.0,327.0,54.0
54,hue_0.025,grad_magnitude,136.61695861816406,0.00014149141,1.0,462.0,19.0
55,hue_0.025,grad_magnitude,96.39786529541016,2.5391257e-05,1.0,384.0,27.0
56,hue_0.025,grad_magnitude,67.61872100830078,2.7060143e-05,1.0,763.0,48.0
57,hue_0.025,grad_magnitude,98.82246398925781,1.7523613e-05,1.0,739.0,50.0
58,hue_0.025,grad_magnitude,84.43782806396484,1.1920928e-07,1.0,630.0,4.0
59,hue_0.025,grad_magnitude,66.69898223876953,0.00020978635,1.0,496.0,39.0
60,hue_0.025,grad_magnitude,87.86056518554688,0.0006007535,1.0,239.0,8.0
61,hue_0.025,grad_magnitude,56.467227935791016,3.576278e-07,1.0,1220.0,59.0
62,hue_0.025,grad_magnitude,110.00462341308594,0.0011292278,1.0,47.0,20.0
63,hue_0.025,grad_magnitude,103.30615234375,5.960463e-07,1.0,633.0,20.0
64,hue_0.025,grad_magnitude,53.846187591552734,2.0265559e-06,1.0,866.0,12.0
65,hue_0.025,grad_magnitude,76.990966796875,0.00097429956,1.0,8.0,36.0
66,hue_0.025,grad_magnitude,37.258544921875,8.720942,0.0,510.0,8.0
67,hue_0.025,grad_magnitude,54.23683166503906,0.96584404,1.0,885.0,3.0
68,hue_0.025,grad_magnitude,84.68160247802734,2.3841855e-07,1.0,163.0,33.0
69,hue_0.025,grad_magnitude,69.40513610839844,2.423918,0.0,1174.0,24.0
70,hue_0.025,grad_magnitude,80.69116973876953,0.7265933,1.0,308.0,13.0
71,hue_0.025,grad_magnitude,92.3469467163086,0.0003904534,1.0,115.0,39.0
72,hue_0.025,grad_magnitude,72.01068115234375,1.4492067,0.0,1145.0,59.0
73,hue_0.025,grad_magnitude,110.45964813232422,1.8238856e-05,1.0,749.0,13.0
74,hue_0.025,grad_magnitude,87.40998840332031,11.146073,0.0,1182.0,18.0
75,hue_0.025,grad_magnitude,142.92874145507812,7.3909487e-06,1.0,70.0,22.0
76,hue_0.025,grad_magnitude,144.14215087890625,0.0019816777,1.0,1213.0,2.0
77,hue_0.025,grad_magnitude,50.549407958984375,0.002322716,1.0,759.0,54.0
78,hue_0.025,grad_magnitude,91.57157135009766,2.622601e-06,1.0,985.0,20.0
79,hue_0.025,grad_magnitude,102.97274780273438,3.2543605e-05,1.0,742.0,58.0
80,hue_0.025,grad_magnitude,102.7072525024414,0.000102157144,1.0,75.0,23.0
81,hue_0.025,grad_magnitude,86.41498565673828,5.0383196,0.0,1137.0,29.0
82,hue_0.025,grad_magnitude,73.42638397216797,0.00029190094,1.0,474.0,32.0
83,hue_0.025,grad_magnitude,58.375213623046875,1.239769e-05,1.0,448.0,15.0
84,hue_0.025,grad_magnitude,58.0023078918457,1.4988053,0.0,1088.0,35.0
85,hue_0.025,grad_magnitude,46.82112121582031,0.07191764,1.0,1015.0,42.0
86,hue_0.025,grad_magnitude,74.42449951171875,7.986991e-06,1.0,24.0,47.0
87,hue_0.025,grad_magnitude,82.61676788330078,3.6954812e-06,1.0,829.0,37.0
88,hue_0.025,grad_magnitude,75.86943817138672,5.0067774e-06,1.0,572.0,15.0
89,hue_0.025,grad_magnitude,52.21354675292969,0.0023498323,1.0,181.0,49.0
90,hue_0.025,grad_magnitude,58.34569549560547,7.672591,0.0,385.0,37.0
91,hue_0.025,grad_magnitude,91.45440673828125,0.05004262,1.0,285.0,13.0
92,hue_0.025,grad_magnitude,78.83998107910156,0.0006784283,1.0,271.0,36.0
93,hue_0.025,grad_magnitude,101.80905151367188,0.00026615892,1.0,909.0,5.0
94,hue_0.025,grad_magnitude,89.28386688232422,0.00045658654,1.0,1228.0,50.0
95,hue_0.025,grad_magnitude,100.55680084228516,-0.0,1.0,1102.0,41.0
96,hue_0.025,grad_magnitude,120.4744873046875,1.537788e-05,1.0,278.0,0.0
97,hue_0.025,grad_magnitude,54.96417236328125,0.00025853154,1.0,1006.0,26.0
98,hue_0.025,grad_magnitude,136.12557983398438,1.0728779e-05,1.0,206.0,8.0
99,hue_0.025,grad_magnitude,84.52507019042969,-0.0,1.0,1065.0,15.0
100,hue_0.025,grad_magnitude,72.92739868164062,0.0035543381,1.0,860.0,45.0
101,hue_0.025,grad_magnitude,179.97833251953125,9.417091e-05,1.0,1005.0,12.0
102,hue_0.025,grad_magnitude,134.5165252685547,1.4305105e-06,1.0,286.0,1.0
103,hue_0.025,grad_magnitude,120.82579803466797,2.0265559e-06,1.0,12.0,32.0
104,hue_0.025,grad_magnitude,50.839839935302734,0.00036626306,1.0,715.0,35.0
105,hue_0.025,grad_magnitude,145.43923950195312,5.960463e-07,1.0,833.0,12.0
106,hue_0.025,grad_magnitude,72.31449127197266,0.0007138088,1.0,1113.0,22.0
107,hue_0.025,grad_magnitude,49.65605926513672,4.6609744e-05,1.0,236.0,7.0
108,hue_0.025,grad_magnitude,95.53367614746094,4.0172723e-05,1.0,717.0,2.0
109,hue_0.025,grad_magnitude,55.37398147583008,0.0007107116,1.0,325.0,5.0
110,hue_0.025,grad_magnitude,49.318748474121094,5.960463e-07,1.0,691.0,39.0
111,hue_0.025,grad_magnitude,77.05126953125,2.4098275,0.0,700.0,28.0
112,hue_0.025,grad_magnitude,97.88139343261719,0.000936189,1.0,432.0,13.0
113,hue_0.025,grad_magnitude,81.920654296875,0.0020811346,1.0,756.0,39.0
