,fold,feature_name,feature,loss,acc,idx,class
0,saltpepper_0.025,softmax,0.9651879668235779,12.990432,0.0,22.0,50.0
1,saltpepper_0.025,softmax,0.4573673903942108,11.4052515,0.0,301.0,37.0
2,saltpepper_0.025,softmax,0.6401700377464294,19.237644,0.0,287.0,33.0
3,saltpepper_0.025,softmax,0.8807101249694824,16.745708,0.0,613.0,29.0
4,saltpepper_0.025,softmax,0.6892961263656616,18.437407,0.0,149.0,11.0
5,saltpepper_0.025,softmax,0.7532254457473755,1.7366446,0.0,410.0,26.0
6,saltpepper_0.025,softmax,0.6875848174095154,12.087025,0.0,878.0,34.0
7,saltpepper_0.025,softmax,0.8197229504585266,20.066954,0.0,227.0,13.0
8,saltpepper_0.025,softmax,0.8284608721733093,19.40714,0.0,271.0,16.0
9,saltpepper_0.025,softmax,0.49389034509658813,10.079616,0.0,184.0,14.0
10,saltpepper_0.025,softmax,0.5964150428771973,2.6399326,0.0,1227.0,46.0
11,saltpepper_0.025,softmax,0.31152454018592834,12.787008,0.0,331.0,3.0
12,saltpepper_0.025,softmax,0.39118337631225586,22.185526,0.0,831.0,13.0
13,saltpepper_0.025,softmax,0.48810455203056335,10.729947,0.0,952.0,22.0
14,saltpepper_0.025,softmax,0.9268725514411926,18.726816,0.0,217.0,16.0
15,saltpepper_0.025,softmax,0.9974533915519714,10.807686,0.0,584.0,40.0
16,saltpepper_0.025,softmax,0.993100643157959,4.60881,0.0,602.0,54.0
17,saltpepper_0.025,softmax,0.4727843999862671,6.6782174,0.0,75.0,32.0
18,saltpepper_0.025,softmax,0.2562543451786041,6.7569065,0.0,780.0,36.0
19,saltpepper_0.025,softmax,0.740183413028717,14.546313,0.0,278.0,24.0
20,saltpepper_0.025,softmax,0.4167602062225342,16.225185,0.0,113.0,20.0
21,saltpepper_0.025,softmax,0.7508625388145447,17.252964,0.0,1068.0,28.0
22,saltpepper_0.025,softmax,0.25620192289352417,15.807471,0.0,128.0,33.0
23,saltpepper_0.025,softmax,0.636773407459259,19.742422,0.0,165.0,57.0
24,saltpepper_0.025,softmax,0.6687255501747131,26.363508,0.0,249.0,13.0
25,saltpepper_0.025,softmax,0.6144381165504456,19.213362,0.0,1089.0,8.0
26,saltpepper_0.025,softmax,0.9211490750312805,15.731552,0.0,976.0,57.0
27,saltpepper_0.025,softmax,0.307447224855423,11.781152,0.0,451.0,34.0
28,saltpepper_0.025,softmax,0.522452175617218,10.09279,0.0,1117.0,0.0
29,saltpepper_0.025,softmax,0.5373742580413818,15.749768,0.0,164.0,16.0
30,saltpepper_0.025,softmax,0.7244782447814941,6.7875543,0.0,269.0,22.0
31,saltpepper_0.025,softmax,0.3874608278274536,13.587994,0.0,674.0,47.0
32,saltpepper_0.025,softmax,0.858847439289093,4.899826,0.0,221.0,43.0
33,saltpepper_0.025,softmax,0.9999949932098389,0.6198189,1.0,41.0,17.0
34,saltpepper_0.025,softmax,0.7583887577056885,21.340595,0.0,426.0,28.0
35,saltpepper_0.025,softmax,0.6378941535949707,15.362114,0.0,530.0,13.0
36,saltpepper_0.025,softmax,0.2813870310783386,4.2329082,0.0,206.0,5.0
37,saltpepper_0.025,softmax,0.5019452571868896,3.0299253,0.0,212.0,14.0
38,saltpepper_0.025,softmax,0.32109731435775757,12.31331,0.0,501.0,24.0
39,saltpepper_0.025,softmax,0.8163288831710815,10.113987,0.0,476.0,31.0
40,saltpepper_0.025,softmax,0.9975125789642334,6.381305,0.0,754.0,53.0
41,saltpepper_0.025,softmax,0.9995449185371399,17.893154,0.0,421.0,16.0
42,saltpepper_0.025,softmax,0.9065682888031006,13.976947,0.0,1102.0,11.0
43,saltpepper_0.025,softmax,0.600013256072998,13.914588,0.0,980.0,9.0
44,saltpepper_0.025,softmax,0.8708234429359436,8.1522,0.0,775.0,31.0
45,saltpepper_0.025,softmax,0.932087779045105,7.892423,0.0,185.0,7.0
46,saltpepper_0.025,softmax,0.7696731090545654,13.389673,0.0,908.0,37.0
47,saltpepper_0.025,softmax,0.3781488835811615,18.326271,0.0,424.0,16.0
48,saltpepper_0.025,softmax,0.40977683663368225,3.230123,0.0,447.0,56.0
49,saltpepper_0.025,softmax,0.7263439297676086,9.892897,0.0,395.0,24.0
50,saltpepper_0.025,softmax,0.6343207955360413,16.05357,0.0,463.0,57.0
51,saltpepper_0.025,softmax,0.9388153553009033,3.0413346,0.0,905.0,35.0
52,saltpepper_0.025,softmax,0.3984653055667877,24.823053,0.0,904.0,47.0
53,saltpepper_0.025,softmax,0.5743868947029114,17.721624,0.0,145.0,48.0
54,saltpepper_0.025,softmax,0.9451230764389038,15.092558,0.0,581.0,40.0
55,saltpepper_0.025,softmax,0.9743385910987854,15.76046,0.0,1161.0,20.0
56,saltpepper_0.025,softmax,0.5065129995346069,5.561241,0.0,850.0,14.0
57,saltpepper_0.025,softmax,0.6040800213813782,10.400372,0.0,240.0,42.0
58,saltpepper_0.025,softmax,0.5478410720825195,9.195953,0.0,100.0,4.0
59,saltpepper_0.025,softmax,0.4407978951931,10.3839445,0.0,556.0,28.0
60,saltpepper_0.025,softmax,0.9941428303718567,9.343484,0.0,1072.0,26.0
61,saltpepper_0.025,softmax,0.6032201647758484,19.556665,0.0,93.0,13.0
62,saltpepper_0.025,softmax,0.4232257306575775,14.586961,0.0,345.0,33.0
63,saltpepper_0.025,softmax,0.9089811444282532,19.952568,0.0,406.0,13.0
64,saltpepper_0.025,softmax,0.4433233141899109,16.437508,0.0,1218.0,31.0
65,saltpepper_0.025,softmax,0.7994742393493652,16.307093,0.0,348.0,41.0
66,saltpepper_0.025,softmax,0.664455235004425,18.315311,0.0,1142.0,28.0
67,saltpepper_0.025,softmax,0.7822343707084656,5.118556,0.0,987.0,53.0
68,saltpepper_0.025,softmax,0.7273081541061401,2.5373302,0.0,1131.0,16.0
69,saltpepper_0.025,softmax,0.5503926873207092,12.021448,0.0,440.0,3.0
70,saltpepper_0.025,softmax,0.7922802567481995,0.60885984,1.0,29.0,1.0
71,saltpepper_0.025,softmax,0.7387791872024536,13.767623,0.0,311.0,28.0
72,saltpepper_0.025,softmax,0.9576811790466309,7.615769,0.0,499.0,27.0
73,saltpepper_0.025,softmax,0.8956895470619202,16.677652,0.0,144.0,58.0
74,saltpepper_0.025,softmax,0.6708029508590698,12.534441,0.0,366.0,25.0
75,saltpepper_0.025,softmax,0.5127801895141602,5.9872007,0.0,409.0,24.0
76,saltpepper_0.025,softmax,0.7907335758209229,4.081772,0.0,106.0,42.0
77,saltpepper_0.025,softmax,0.3952238857746124,13.53668,0.0,1086.0,30.0
78,saltpepper_0.025,softmax,0.4857918918132782,13.882277,0.0,166.0,8.0
79,saltpepper_0.025,softmax,0.8346539735794067,17.206665,0.0,25.0,8.0
80,saltpepper_0.025,softmax,0.8210507035255432,6.8942666,0.0,187.0,26.0
81,saltpepper_0.025,softmax,0.6867797374725342,19.32413,0.0,997.0,8.0
82,saltpepper_0.025,softmax,0.9485347270965576,11.199431,0.0,262.0,15.0
83,saltpepper_0.025,softmax,0.7515268921852112,8.372394,0.0,591.0,37.0
84,saltpepper_0.025,softmax,0.5944668054580688,9.781327,0.0,782.0,50.0
85,saltpepper_0.025,softmax,0.856437623500824,0.009417514,1.0,1192.0,14.0
86,saltpepper_0.025,softmax,0.784935474395752,12.543896,0.0,316.0,30.0
87,saltpepper_0.025,softmax,0.7251819372177124,10.577477,0.0,585.0,34.0
88,saltpepper_0.025,softmax,0.8115172386169434,13.860111,0.0,216.0,34.0
89,saltpepper_0.025,softmax,0.8947222232818604,23.334742,0.0,943.0,47.0
90,saltpepper_0.025,softmax,0.7701453566551208,8.22501,0.0,826.0,34.0
91,saltpepper_0.025,softmax,0.3685396909713745,34.05762,0.0,314.0,12.0
92,saltpepper_0.025,softmax,0.3389710485935211,9.898703,0.0,526.0,31.0
93,saltpepper_0.025,softmax,0.3059539198875427,6.6772833,0.0,706.0,42.0
94,saltpepper_0.025,softmax,0.39261114597320557,8.280311,0.0,756.0,35.0
95,saltpepper_0.025,softmax,0.8291103839874268,19.095102,0.0,696.0,16.0
96,saltpepper_0.025,softmax,0.8711464405059814,0.6344078,1.0,378.0,14.0
97,saltpepper_0.025,softmax,0.35576868057250977,16.063904,0.0,182.0,30.0
98,saltpepper_0.025,softmax,0.5762936472892761,34.885933,0.0,246.0,55.0
99,saltpepper_0.025,softmax,0.4770756959915161,16.334059,0.0,168.0,16.0
100,saltpepper_0.025,softmax,0.5439707040786743,6.7404313,0.0,183.0,40.0
101,saltpepper_0.025,softmax,0.9944578409194946,22.668983,0.0,1062.0,28.0
102,saltpepper_0.025,softmax,0.4403524100780487,5.2356634,0.0,468.0,27.0
103,saltpepper_0.025,softmax,0.6366000771522522,13.912087,0.0,1146.0,33.0
104,saltpepper_0.025,softmax,0.7982725501060486,20.126348,0.0,248.0,16.0
105,saltpepper_0.025,softmax,0.8363017439842224,16.99853,0.0,494.0,30.0
106,saltpepper_0.025,softmax,0.994821310043335,11.247203,0.0,1085.0,25.0
107,saltpepper_0.025,softmax,0.6889681220054626,22.311335,0.0,549.0,12.0
108,saltpepper_0.025,softmax,0.9464537501335144,12.102971,0.0,160.0,30.0
109,saltpepper_0.025,softmax,0.9651496410369873,17.338497,0.0,430.0,45.0
110,saltpepper_0.025,softmax,0.9748780131340027,13.095932,0.0,1037.0,20.0
111,saltpepper_0.025,softmax,0.7926775813102722,13.2872305,0.0,386.0,27.0
112,saltpepper_0.025,softmax,0.9536788463592529,6.7529798,0.0,509.0,2.0
113,saltpepper_0.025,softmax,0.6029894948005676,9.614799,0.0,1167.0,25.0
114,saltpepper_0.025,softmax,0.9355623722076416,11.295124,0.0,299.0,44.0
115,saltpepper_0.025,softmax,0.994788408279419,22.297115,0.0,337.0,41.0
116,saltpepper_0.025,softmax,0.3060559928417206,12.429422,0.0,188.0,30.0
117,saltpepper_0.025,softmax,0.9412176609039307,6.939762,0.0,1031.0,53.0
118,saltpepper_0.025,softmax,0.9443736672401428,8.403392,0.0,864.0,0.0
