,fold,feature_name,feature,loss,acc,idx,class
0,contrast_0.025,grad_magnitude,83.14541625976562,1.1920922e-06,1.0,237.0,25.0
1,contrast_0.025,grad_magnitude,99.98587036132812,0.00029190094,1.0,500.0,3.0
2,contrast_0.025,grad_magnitude,37.32491683959961,1.1920928e-07,1.0,648.0,16.0
3,contrast_0.025,grad_magnitude,69.76348876953125,0.00011097769,1.0,54.0,54.0
4,contrast_0.025,grad_magnitude,51.03799057006836,5.6758265,0.0,275.0,38.0
5,contrast_0.025,grad_magnitude,55.83047103881836,2.8610189e-06,1.0,1126.0,35.0
6,contrast_0.025,grad_magnitude,71.25231170654297,4.2915253e-06,1.0,841.0,48.0
7,contrast_0.025,grad_magnitude,46.167930603027344,7.748574e-06,1.0,281.0,28.0
8,contrast_0.025,grad_magnitude,103.75035095214844,9.774684e-05,1.0,703.0,38.0
9,contrast_0.025,grad_magnitude,66.72563171386719,7.152555e-07,1.0,426.0,55.0
10,contrast_0.025,grad_magnitude,78.7461929321289,6.9854206e-05,1.0,39.0,12.0
11,contrast_0.025,grad_magnitude,116.87335205078125,0.00032252833,1.0,359.0,41.0
12,contrast_0.025,grad_magnitude,74.92581939697266,2.264974e-06,1.0,1040.0,12.0
13,contrast_0.025,grad_magnitude,120.52933502197266,1.03711545e-05,1.0,1201.0,42.0
14,contrast_0.025,grad_magnitude,109.55789184570312,1.9073468e-06,1.0,437.0,14.0
15,contrast_0.025,grad_magnitude,80.2400131225586,0.00046695294,1.0,174.0,5.0
16,contrast_0.025,grad_magnitude,104.24996948242188,7.6293654e-06,1.0,1196.0,55.0
17,contrast_0.025,grad_magnitude,63.08018493652344,0.00013731967,1.0,928.0,16.0
18,contrast_0.025,grad_magnitude,86.25363159179688,2.741776e-05,1.0,966.0,20.0
19,contrast_0.025,grad_magnitude,77.546875,7.0211805e-05,1.0,675.0,42.0
20,contrast_0.025,grad_magnitude,116.35698699951172,-0.0,1.0,1141.0,49.0
21,contrast_0.025,grad_magnitude,60.124507904052734,2.384183e-06,1.0,1179.0,30.0
22,contrast_0.025,grad_magnitude,139.11656188964844,1.1920928e-07,1.0,271.0,39.0
23,contrast_0.025,grad_magnitude,144.13409423828125,3.9576702e-05,1.0,449.0,58.0
24,contrast_0.025,grad_magnitude,116.91610717773438,5.411955e-05,1.0,584.0,2.0
25,contrast_0.025,grad_magnitude,84.4979476928711,-0.0,1.0,1151.0,54.0
26,contrast_0.025,grad_magnitude,84.4851303100586,2.2768714e-05,1.0,1214.0,10.0
27,contrast_0.025,grad_magnitude,97.71575927734375,0.0002646096,1.0,44.0,7.0
28,contrast_0.025,grad_magnitude,41.51104736328125,2.145765e-06,1.0,363.0,1.0
29,contrast_0.025,grad_magnitude,47.063140869140625,-0.0,1.0,442.0,50.0
30,contrast_0.025,grad_magnitude,29.345901489257812,1.2159274e-05,1.0,595.0,17.0
31,contrast_0.025,grad_magnitude,94.4907455444336,0.000106925014,1.0,515.0,30.0
32,contrast_0.025,grad_magnitude,106.04944610595703,0.000117771844,1.0,1191.0,13.0
33,contrast_0.025,grad_magnitude,44.86160659790039,1.1263115,0.0,183.0,2.0
34,contrast_0.025,grad_magnitude,107.56348419189453,2.9563467e-05,1.0,574.0,58.0
35,contrast_0.025,grad_magnitude,98.59628295898438,0.00013255194,1.0,1056.0,44.0
36,contrast_0.025,grad_magnitude,93.21145629882812,8.344647e-07,1.0,628.0,11.0
37,contrast_0.025,grad_magnitude,69.67131042480469,1.9073468e-06,1.0,52.0,42.0
38,contrast_0.025,grad_magnitude,88.64056396484375,1.3113013e-06,1.0,647.0,48.0
39,contrast_0.025,grad_magnitude,69.96271514892578,2.8729026e-05,1.0,150.0,37.0
40,contrast_0.025,grad_magnitude,81.61959838867188,6.580136e-05,1.0,298.0,0.0
41,contrast_0.025,grad_magnitude,85.35203552246094,0.00016723665,1.0,1156.0,48.0
42,contrast_0.025,grad_magnitude,123.99732971191406,4.9947444e-05,1.0,1178.0,20.0
43,contrast_0.025,grad_magnitude,65.24144744873047,3.6954812e-06,1.0,549.0,38.0
44,contrast_0.025,grad_magnitude,82.4049072265625,1.3351351e-05,1.0,882.0,12.0
45,contrast_0.025,grad_magnitude,70.6413803100586,0.00010168035,1.0,643.0,29.0
46,contrast_0.025,grad_magnitude,112.19369506835938,2.9086643e-05,1.0,436.0,14.0
47,contrast_0.025,grad_magnitude,131.73269653320312,3.3841934,0.0,463.0,52.0
48,contrast_0.025,grad_magnitude,51.784976959228516,3.576278e-07,1.0,261.0,39.0
49,contrast_0.025,grad_magnitude,35.79108428955078,0.00015543684,1.0,63.0,16.0
50,contrast_0.025,grad_magnitude,136.3563232421875,1.1920928e-07,1.0,248.0,58.0
51,contrast_0.025,grad_magnitude,132.40081787109375,0.00028284363,1.0,22.0,10.0
52,contrast_0.025,grad_magnitude,136.861572265625,5.0918784,0.0,1167.0,13.0
53,contrast_0.025,grad_magnitude,57.0045051574707,2.4556812e-05,1.0,914.0,19.0
54,contrast_0.025,grad_magnitude,89.9505386352539,-0.0,1.0,400.0,22.0
55,contrast_0.025,grad_magnitude,90.0670394897461,-0.0,1.0,954.0,12.0
56,contrast_0.025,grad_magnitude,68.50936126708984,0.0002553137,1.0,1111.0,9.0
57,contrast_0.025,grad_magnitude,130.42169189453125,0.0008967669,1.0,33.0,25.0
58,contrast_0.025,grad_magnitude,33.50873565673828,0.5006353,1.0,249.0,24.0
59,contrast_0.025,grad_magnitude,104.16944885253906,0.90219307,1.0,941.0,9.0
60,contrast_0.025,grad_magnitude,71.01837158203125,0.0010328917,1.0,1062.0,37.0
61,contrast_0.025,grad_magnitude,70.95909118652344,0.00010537546,1.0,187.0,3.0
62,contrast_0.025,grad_magnitude,62.36726379394531,0.0031848443,1.0,816.0,57.0
63,contrast_0.025,grad_magnitude,80.86241912841797,1.5139465e-05,1.0,1209.0,12.0
64,contrast_0.025,grad_magnitude,111.94037628173828,0.00021836757,1.0,395.0,35.0
65,contrast_0.025,grad_magnitude,121.37730407714844,0.0020044013,1.0,524.0,14.0
66,contrast_0.025,grad_magnitude,82.56249237060547,3.576278e-07,1.0,245.0,33.0
67,contrast_0.025,grad_magnitude,47.12290573120117,1.9073468e-06,1.0,1244.0,10.0
68,contrast_0.025,grad_magnitude,28.938634872436523,2.0265559e-06,1.0,459.0,50.0
69,contrast_0.025,grad_magnitude,54.6828498840332,8.964137e-05,1.0,942.0,14.0
70,contrast_0.025,grad_magnitude,97.06098175048828,1.1920928e-07,1.0,755.0,6.0
