,fold,feature_name,feature,loss,acc,idx,class
0,hue_0.025,softmax,0.6715386509895325,0.12943596,1.0,154.0,14.0
1,hue_0.025,softmax,0.7065194845199585,0.0019549085,1.0,21.0,16.0
2,hue_0.025,softmax,0.7372559309005737,0.086476035,1.0,192.0,16.0
3,hue_0.025,softmax,0.9359198808670044,1.3502467,0.0,198.0,18.0
4,hue_0.025,softmax,0.6476961970329285,1.0402042,0.0,102.0,25.0
5,hue_0.025,softmax,0.9543327689170837,1.4876788,0.0,203.0,10.0
6,hue_0.025,softmax,0.4701792001724243,0.29410437,1.0,16.0,8.0
7,hue_0.025,softmax,0.4492821991443634,2.2270944,0.0,6.0,14.0
8,hue_0.025,softmax,0.9331519603729248,0.042962454,1.0,153.0,2.0
9,hue_0.025,softmax,0.37226179242134094,0.32778734,1.0,103.0,5.0
10,hue_0.025,softmax,0.9409224987030029,0.5638858,1.0,263.0,5.0
11,hue_0.025,softmax,0.3843784034252167,5.2855263,0.0,61.0,10.0
12,hue_0.025,softmax,0.9947974681854248,4.1085844,0.0,113.0,8.0
13,hue_0.025,softmax,0.9108415246009827,1.5178483,0.0,207.0,22.0
14,hue_0.025,softmax,0.8647032380104065,2.4317527,0.0,137.0,13.0
15,hue_0.025,softmax,0.5490318536758423,0.09462516,1.0,27.0,27.0
16,hue_0.025,softmax,0.3783201277256012,0.027772164,1.0,34.0,9.0
17,hue_0.025,softmax,0.4697432816028595,0.65275216,1.0,187.0,7.0
18,hue_0.025,softmax,0.8406234383583069,7.729931,0.0,4.0,12.0
19,hue_0.025,softmax,0.7508200407028198,2.1376019,0.0,106.0,30.0
20,hue_0.025,softmax,0.21690794825553894,0.016475817,1.0,98.0,14.0
21,hue_0.025,softmax,0.8548320531845093,0.020443212,1.0,73.0,6.0
22,hue_0.025,softmax,0.9783077239990234,5.655453,0.0,30.0,6.0
23,hue_0.025,softmax,0.7371493577957153,0.15094566,1.0,224.0,8.0
24,hue_0.025,softmax,0.5008786916732788,4.9298286,0.0,278.0,17.0
25,hue_0.025,softmax,0.5911998748779297,3.5244236,0.0,189.0,23.0
26,hue_0.025,softmax,0.9358088374137878,8.130122,0.0,275.0,20.0
27,hue_0.025,softmax,0.2650371491909027,1.0675337,0.0,91.0,26.0
28,hue_0.025,softmax,0.4998207688331604,0.46380317,1.0,11.0,25.0
29,hue_0.025,softmax,0.972009003162384,3.5218337,0.0,247.0,18.0
30,hue_0.025,softmax,0.9501198530197144,0.004790733,1.0,25.0,2.0
31,hue_0.025,softmax,0.6814236640930176,4.1167383,0.0,264.0,11.0
32,hue_0.025,softmax,0.9916917085647583,0.09180277,1.0,191.0,27.0
33,hue_0.025,softmax,0.6308882832527161,0.76308864,1.0,175.0,16.0
34,hue_0.025,softmax,0.24213306605815887,0.063946076,1.0,273.0,14.0
35,hue_0.025,softmax,0.45983847975730896,2.9853535,0.0,271.0,25.0
36,hue_0.025,softmax,0.4967588186264038,0.0658021,1.0,82.0,12.0
37,hue_0.025,softmax,0.5206109881401062,1.5139465e-05,1.0,45.0,1.0
38,hue_0.025,softmax,0.987185537815094,0.008573983,1.0,159.0,6.0
39,hue_0.025,softmax,0.23335790634155273,0.009453768,1.0,161.0,11.0
40,hue_0.025,softmax,0.9582788348197937,5.082485,0.0,215.0,7.0
41,hue_0.025,softmax,0.5131320953369141,2.096953,0.0,31.0,30.0
42,hue_0.025,softmax,0.4580884873867035,1.3492137,0.0,164.0,12.0
43,hue_0.025,softmax,0.8472302556037903,0.53647506,1.0,33.0,16.0
44,hue_0.025,softmax,0.4114517867565155,0.12294064,1.0,193.0,27.0
45,hue_0.025,softmax,0.8999959826469421,0.06913357,1.0,67.0,25.0
46,hue_0.025,softmax,0.9996660947799683,0.12138229,1.0,28.0,6.0
47,hue_0.025,softmax,0.806425929069519,1.7380931,0.0,243.0,7.0
48,hue_0.025,softmax,0.9533214569091797,0.012806082,1.0,234.0,25.0
49,hue_0.025,softmax,0.8081045150756836,0.65934986,1.0,84.0,22.0
50,hue_0.025,softmax,0.9914626479148865,0.058218695,1.0,157.0,8.0
51,hue_0.025,softmax,0.9996627569198608,0.29441443,1.0,225.0,5.0
52,hue_0.025,softmax,0.4052802324295044,0.0049817245,1.0,122.0,23.0
53,hue_0.025,softmax,0.3073464334011078,0.31776685,1.0,66.0,22.0
54,hue_0.025,softmax,0.6738476157188416,0.13311453,1.0,201.0,10.0
55,hue_0.025,softmax,0.9675706028938293,1.0271385,0.0,166.0,9.0
56,hue_0.025,softmax,0.7018673419952393,3.332581,0.0,231.0,23.0
57,hue_0.025,softmax,0.994437575340271,0.035869874,1.0,119.0,0.0
58,hue_0.025,softmax,0.9327900409698486,1.6539651,0.0,114.0,9.0
59,hue_0.025,softmax,0.9262138605117798,0.59203583,1.0,152.0,11.0
60,hue_0.025,softmax,0.5272657871246338,0.38002175,1.0,135.0,14.0
61,hue_0.025,softmax,0.34722399711608887,0.2711005,1.0,186.0,16.0
62,hue_0.025,softmax,0.4356338083744049,4.453929,0.0,204.0,13.0
63,hue_0.025,softmax,0.8901947736740112,0.0025416473,1.0,85.0,0.0
64,hue_0.025,softmax,0.9693303108215332,4.623918,0.0,268.0,18.0
65,hue_0.025,softmax,0.777119517326355,0.03680193,1.0,246.0,22.0
66,hue_0.025,softmax,0.9976596832275391,1.9127128,0.0,35.0,15.0
67,hue_0.025,softmax,0.5171874761581421,1.199975,1.0,43.0,22.0
68,hue_0.025,softmax,0.8500056266784668,0.5197251,1.0,217.0,26.0
69,hue_0.025,softmax,0.26767241954803467,12.129921,0.0,276.0,26.0
70,hue_0.025,softmax,0.9123599529266357,5.261818,0.0,218.0,28.0
71,hue_0.025,softmax,0.53895503282547,0.11631499,1.0,160.0,16.0
72,hue_0.025,softmax,0.6213839054107666,6.6873846,0.0,132.0,9.0
73,hue_0.025,softmax,0.8598943948745728,0.25641876,1.0,40.0,12.0
74,hue_0.025,softmax,0.9992857575416565,0.6073184,1.0,202.0,28.0
75,hue_0.025,softmax,0.8258687257766724,3.0473163,0.0,242.0,17.0
76,hue_0.025,softmax,0.1958964318037033,0.32216117,1.0,213.0,3.0
77,hue_0.025,softmax,0.4837988615036011,2.8817987,0.0,205.0,15.0
78,hue_0.025,softmax,0.3095202147960663,0.05230979,1.0,112.0,12.0
79,hue_0.025,softmax,0.17063495516777039,0.07913594,1.0,62.0,29.0
80,hue_0.025,softmax,0.7350999116897583,0.32639483,1.0,195.0,21.0
81,hue_0.025,softmax,0.9910410046577454,10.470496,0.0,228.0,3.0
82,hue_0.025,softmax,0.9545973539352417,5.8806486,0.0,184.0,5.0
83,hue_0.025,softmax,0.9447698593139648,0.9712367,1.0,158.0,7.0
84,hue_0.025,softmax,0.8753648400306702,0.5776751,1.0,12.0,17.0
85,hue_0.025,softmax,0.258258193731308,0.13035762,1.0,100.0,5.0
86,hue_0.025,softmax,0.5361813306808472,0.63012993,1.0,38.0,27.0
87,hue_0.025,softmax,0.984777569770813,0.7158926,1.0,229.0,29.0
88,hue_0.025,softmax,0.3864620625972748,0.17106423,1.0,196.0,8.0
89,hue_0.025,softmax,0.6003930568695068,7.9561453,0.0,60.0,27.0
90,hue_0.025,softmax,0.999984860420227,0.121646106,1.0,262.0,6.0
91,hue_0.025,softmax,0.39918234944343567,0.01800877,1.0,226.0,11.0
92,hue_0.025,softmax,0.8902808427810669,0.69959253,1.0,145.0,11.0
93,hue_0.025,softmax,0.34933483600616455,1.1115725,0.0,126.0,17.0
94,hue_0.025,softmax,0.963801920413971,0.18897493,1.0,52.0,20.0
95,hue_0.025,softmax,0.37682202458381653,0.0025466413,1.0,236.0,2.0
96,hue_0.025,softmax,0.777008056640625,0.008771698,1.0,75.0,5.0
97,hue_0.025,softmax,0.36186158657073975,1.280353,0.0,173.0,20.0
98,hue_0.025,softmax,0.8888950347900391,1.7258837,0.0,194.0,13.0
99,hue_0.025,softmax,0.3039771318435669,0.008489236,1.0,71.0,16.0
100,hue_0.025,softmax,0.4358369708061218,0.042616494,1.0,83.0,0.0
101,hue_0.025,softmax,0.9975696206092834,0.008076627,1.0,117.0,16.0
102,hue_0.025,softmax,0.9914733171463013,0.35278237,1.0,37.0,11.0
103,hue_0.025,softmax,0.141270250082016,0.18168163,1.0,93.0,14.0
104,hue_0.025,softmax,0.5178343653678894,0.05381119,1.0,149.0,19.0
105,hue_0.025,softmax,0.716493546962738,3.9803886,0.0,227.0,7.0
