,fold,feature_name,feature,loss,acc,idx,class
0,noise_0.025,cross_entropy,723.4444580078125,8.347455,0.0,213.0,28.0
1,noise_0.025,cross_entropy,923.9537963867188,8.303371,0.0,114.0,25.0
2,noise_0.025,cross_entropy,759.598876953125,3.4765806,0.0,134.0,28.0
3,noise_0.025,cross_entropy,1422.816650390625,0.062332258,1.0,225.0,55.0
4,noise_0.025,cross_entropy,969.4296875,6.439664,0.0,154.0,42.0
5,noise_0.025,cross_entropy,1374.01025390625,0.017454822,1.0,19.0,28.0
6,noise_0.025,cross_entropy,652.415283203125,6.602052,0.0,147.0,48.0
7,noise_0.025,cross_entropy,1243.5628662109375,0.0014432977,1.0,5.0,51.0
8,noise_0.025,cross_entropy,1225.5213623046875,4.721982,0.0,359.0,48.0
9,noise_0.025,cross_entropy,1222.150146484375,3.5037513,0.0,76.0,21.0
10,noise_0.025,cross_entropy,688.3077392578125,18.535954,0.0,400.0,6.0
11,noise_0.025,cross_entropy,1238.361572265625,12.105388,0.0,314.0,63.0
12,noise_0.025,cross_entropy,1019.1499633789062,7.613172,0.0,311.0,33.0
13,noise_0.025,cross_entropy,1293.6229248046875,1.0818785,0.0,361.0,39.0
14,noise_0.025,cross_entropy,1142.5313720703125,9.560128e-05,1.0,291.0,25.0
15,noise_0.025,cross_entropy,684.301025390625,20.64736,0.0,235.0,25.0
16,noise_0.025,cross_entropy,1255.6070556640625,11.503949,0.0,95.0,15.0
17,noise_0.025,cross_entropy,913.4644165039062,4.6491514e-06,1.0,174.0,38.0
18,noise_0.025,cross_entropy,1444.794189453125,1.8914604,0.0,65.0,1.0
19,noise_0.025,cross_entropy,1247.01025390625,5.503097,0.0,185.0,11.0
20,noise_0.025,cross_entropy,1347.4588623046875,0.00033539868,1.0,425.0,18.0
21,noise_0.025,cross_entropy,823.5125732421875,2.5076885,0.0,371.0,0.0
22,noise_0.025,cross_entropy,875.4453125,22.668356,0.0,62.0,57.0
23,noise_0.025,cross_entropy,836.0026245117188,2.0622994e-05,1.0,348.0,55.0
24,noise_0.025,cross_entropy,1001.1136474609375,0.00038961926,1.0,231.0,48.0
25,noise_0.025,cross_entropy,906.8746337890625,3.5517585,0.0,127.0,49.0
26,noise_0.025,cross_entropy,944.9937744140625,9.322715,0.0,416.0,8.0
27,noise_0.025,cross_entropy,782.1227416992188,6.8052244,0.0,90.0,58.0
28,noise_0.025,cross_entropy,940.2572631835938,29.330605,0.0,31.0,24.0
29,noise_0.025,cross_entropy,941.2413330078125,7.1312675,0.0,342.0,2.0
30,noise_0.025,cross_entropy,1132.49267578125,15.440572,0.0,274.0,15.0
31,noise_0.025,cross_entropy,1878.4661865234375,3.4056137,0.0,20.0,17.0
32,noise_0.025,cross_entropy,867.8204345703125,11.27157,0.0,365.0,6.0
33,noise_0.025,cross_entropy,640.5029296875,2.199763,0.0,165.0,13.0
34,noise_0.025,cross_entropy,868.0640869140625,3.475648,0.0,301.0,7.0
35,noise_0.025,cross_entropy,2380.48681640625,1.2378942,0.0,377.0,43.0
36,noise_0.025,cross_entropy,1059.552978515625,3.4221158,0.0,214.0,26.0
37,noise_0.025,cross_entropy,1005.588134765625,5.717306,0.0,198.0,60.0
38,noise_0.025,cross_entropy,744.7406005859375,2.6535788,0.0,390.0,64.0
39,noise_0.025,cross_entropy,1521.340576171875,-0.0,1.0,211.0,18.0
40,noise_0.025,cross_entropy,877.862060546875,24.113335,0.0,195.0,26.0
41,noise_0.025,cross_entropy,1033.685791015625,0.018253675,1.0,83.0,13.0
42,noise_0.025,cross_entropy,792.5213623046875,0.033296917,1.0,17.0,13.0
43,noise_0.025,cross_entropy,801.50634765625,0.34586364,1.0,48.0,28.0
44,noise_0.025,cross_entropy,974.4462890625,1.0936676,0.0,56.0,26.0
45,noise_0.025,cross_entropy,936.904541015625,0.061304975,1.0,338.0,4.0
46,noise_0.025,cross_entropy,1170.275146484375,9.635267,0.0,18.0,52.0
47,noise_0.025,cross_entropy,1666.99609375,1.9518178,0.0,11.0,47.0
48,noise_0.025,cross_entropy,1336.974853515625,7.525429,0.0,99.0,28.0
49,noise_0.025,cross_entropy,667.0792236328125,16.964005,0.0,262.0,62.0
50,noise_0.025,cross_entropy,962.72705078125,-0.0,1.0,21.0,22.0
51,noise_0.025,cross_entropy,1000.3133544921875,3.4565773,0.0,163.0,64.0
52,noise_0.025,cross_entropy,1244.9730224609375,13.357997,0.0,282.0,56.0
53,noise_0.025,cross_entropy,905.6982421875,13.638807,0.0,341.0,27.0
54,noise_0.025,cross_entropy,1445.438720703125,0.034592457,1.0,233.0,28.0
55,noise_0.025,cross_entropy,1289.7822265625,5.2854486,0.0,426.0,15.0
56,noise_0.025,cross_entropy,1080.706787109375,4.415504,0.0,105.0,28.0
57,noise_0.025,cross_entropy,1262.75927734375,3.4570756,0.0,58.0,6.0
58,noise_0.025,cross_entropy,951.6719360351562,0.10742952,1.0,406.0,56.0
59,noise_0.025,cross_entropy,1787.13671875,0.06795768,1.0,270.0,21.0
60,noise_0.025,cross_entropy,2208.27392578125,0.00035243976,1.0,93.0,4.0
61,noise_0.025,cross_entropy,1464.7789306640625,0.0132023925,1.0,289.0,9.0
62,noise_0.025,cross_entropy,943.0491943359375,3.4329715,0.0,323.0,27.0
63,noise_0.025,cross_entropy,895.2880859375,6.4344306,0.0,220.0,9.0
64,noise_0.025,cross_entropy,926.5517578125,10.419329,0.0,420.0,57.0
65,noise_0.025,cross_entropy,1154.474853515625,5.4000263,0.0,403.0,56.0
66,noise_0.025,cross_entropy,972.58544921875,3.6877298,0.0,106.0,59.0
67,noise_0.025,cross_entropy,951.2431030273438,0.000119082986,1.0,80.0,29.0
68,noise_0.025,cross_entropy,744.7627563476562,36.27181,0.0,319.0,57.0
69,noise_0.025,cross_entropy,941.343017578125,3.8130684,0.0,193.0,32.0
70,noise_0.025,cross_entropy,1899.2171630859375,0.0011026738,1.0,380.0,30.0
71,noise_0.025,cross_entropy,666.689697265625,2.7635257,0.0,131.0,21.0
72,noise_0.025,cross_entropy,767.7644653320312,0.062937915,1.0,306.0,12.0
73,noise_0.025,cross_entropy,1312.69140625,0.27731538,1.0,427.0,62.0
74,noise_0.025,cross_entropy,1593.767578125,0.33995244,1.0,350.0,55.0
