,fold,feature_name,feature,loss,acc,idx,class
0,contrast_0.025,typicality,7706.70361328125,3.1055984,0.0,110.0,20.0
1,contrast_0.025,typicality,11326.859375,10.9404745,0.0,293.0,17.0
2,contrast_0.025,typicality,11367.767578125,3.3645992,0.0,407.0,33.0
3,contrast_0.025,typicality,12638.0029296875,4.497357,0.0,220.0,9.0
4,contrast_0.025,typicality,12855.486328125,9.3256645,0.0,228.0,3.0
5,contrast_0.025,typicality,9958.92578125,2.4318399e-05,1.0,392.0,48.0
6,contrast_0.025,typicality,11150.55078125,0.4527463,1.0,32.0,20.0
7,contrast_0.025,typicality,10791.908203125,14.804955,0.0,417.0,57.0
8,contrast_0.025,typicality,11205.53125,5.6341047,0.0,223.0,54.0
9,contrast_0.025,typicality,7978.56640625,26.089762,0.0,149.0,50.0
10,contrast_0.025,typicality,10701.8564453125,7.4997096,0.0,260.0,32.0
11,contrast_0.025,typicality,8644.23046875,8.490253,0.0,192.0,58.0
12,contrast_0.025,typicality,12111.8271484375,9.58128,0.0,39.0,60.0
13,contrast_0.025,typicality,11328.701171875,0.060884323,1.0,217.0,9.0
14,contrast_0.025,typicality,9805.849609375,1.0565963,0.0,65.0,1.0
15,contrast_0.025,typicality,11800.2646484375,2.9304771,0.0,68.0,61.0
16,contrast_0.025,typicality,10774.263671875,3.4771695,0.0,137.0,3.0
17,contrast_0.025,typicality,10652.185546875,0.3364989,1.0,8.0,47.0
18,contrast_0.025,typicality,7111.09521484375,0.03610113,1.0,406.0,56.0
19,contrast_0.025,typicality,12774.1201171875,0.059644885,1.0,242.0,1.0
20,contrast_0.025,typicality,9223.580078125,0.003121506,1.0,236.0,18.0
21,contrast_0.025,typicality,11211.1259765625,1.0721056,0.0,57.0,29.0
22,contrast_0.025,typicality,10704.2353515625,0.05230583,1.0,123.0,57.0
23,contrast_0.025,typicality,10837.486328125,10.02445,0.0,365.0,6.0
24,contrast_0.025,typicality,9298.53515625,7.947644,0.0,300.0,49.0
25,contrast_0.025,typicality,11055.974609375,1.7491431,0.0,126.0,48.0
26,contrast_0.025,typicality,11108.767578125,9.504443,0.0,12.0,30.0
27,contrast_0.025,typicality,10111.6748046875,0.0638981,1.0,253.0,11.0
28,contrast_0.025,typicality,8219.716796875,1.0469878,1.0,212.0,31.0
29,contrast_0.025,typicality,8969.404296875,0.22842789,1.0,73.0,54.0
30,contrast_0.025,typicality,7704.92724609375,5.015625,0.0,198.0,60.0
31,contrast_0.025,typicality,9463.5693359375,3.5488033,0.0,246.0,21.0
32,contrast_0.025,typicality,8141.90283203125,-0.0,1.0,79.0,22.0
33,contrast_0.025,typicality,8019.248046875,4.295128,0.0,135.0,1.0
34,contrast_0.025,typicality,11792.15625,6.395437,0.0,397.0,36.0
35,contrast_0.025,typicality,10916.232421875,0.3710654,1.0,239.0,20.0
36,contrast_0.025,typicality,11488.189453125,1.7517619,0.0,51.0,30.0
37,contrast_0.025,typicality,11639.4443359375,0.19060956,1.0,328.0,8.0
38,contrast_0.025,typicality,10247.8271484375,6.4746065,0.0,232.0,51.0
39,contrast_0.025,typicality,12115.849609375,12.032498,0.0,76.0,21.0
40,contrast_0.025,typicality,9355.67578125,8.06593,0.0,124.0,5.0
41,contrast_0.025,typicality,11228.7880859375,4.5355215,0.0,377.0,43.0
42,contrast_0.025,typicality,8852.86328125,0.0002495931,1.0,81.0,29.0
43,contrast_0.025,typicality,11556.2685546875,7.19974,0.0,302.0,14.0
44,contrast_0.025,typicality,11148.962890625,0.17952691,1.0,265.0,53.0
45,contrast_0.025,typicality,12316.5751953125,2.4601555,0.0,290.0,62.0
46,contrast_0.025,typicality,11385.388671875,0.5019982,1.0,350.0,55.0
47,contrast_0.025,typicality,9466.0439453125,13.895394,0.0,278.0,46.0
48,contrast_0.025,typicality,11073.8505859375,0.20404544,1.0,249.0,3.0
49,contrast_0.025,typicality,9383.8125,4.977828,0.0,158.0,38.0
50,contrast_0.025,typicality,11347.564453125,4.6462803,0.0,105.0,28.0
51,contrast_0.025,typicality,10125.0556640625,8.85808,0.0,44.0,17.0
52,contrast_0.025,typicality,8876.6435546875,9.431248,0.0,86.0,36.0
53,contrast_0.025,typicality,8398.6484375,4.3202724,0.0,42.0,58.0
54,contrast_0.025,typicality,8560.515625,0.00065853365,1.0,55.0,22.0
55,contrast_0.025,typicality,7402.2177734375,4.155135,0.0,20.0,17.0
56,contrast_0.025,typicality,11193.439453125,21.801447,0.0,47.0,61.0
57,contrast_0.025,typicality,11078.029296875,0.36502,1.0,229.0,60.0
58,contrast_0.025,typicality,10867.6474609375,0.0044393796,1.0,161.0,44.0
59,contrast_0.025,typicality,8980.740234375,0.005855431,1.0,261.0,11.0
60,contrast_0.025,typicality,9512.38671875,3.7427511,0.0,399.0,31.0
61,contrast_0.025,typicality,10582.36328125,11.158226,0.0,15.0,17.0
62,contrast_0.025,typicality,10300.150390625,0.49948242,1.0,245.0,4.0
63,contrast_0.025,typicality,10141.11328125,0.4620273,1.0,353.0,21.0
64,contrast_0.025,typicality,10919.1123046875,7.722689,0.0,10.0,37.0
65,contrast_0.025,typicality,9481.796875,4.456462,0.0,360.0,58.0
66,contrast_0.025,typicality,11347.953125,4.0457525,0.0,403.0,56.0
67,contrast_0.025,typicality,11538.7548828125,13.224796,0.0,122.0,6.0
68,contrast_0.025,typicality,10925.9970703125,17.649624,0.0,170.0,36.0
69,contrast_0.025,typicality,10766.4111328125,2.8544428,0.0,424.0,27.0
70,contrast_0.025,typicality,9599.115234375,0.002848736,1.0,88.0,44.0
71,contrast_0.025,typicality,10149.169921875,5.477257,0.0,263.0,35.0
72,contrast_0.025,typicality,11215.740234375,6.985669,0.0,176.0,58.0
73,contrast_0.025,typicality,11031.02734375,3.7466397,0.0,172.0,48.0
74,contrast_0.025,typicality,9075.6328125,0.09999476,1.0,226.0,47.0
75,contrast_0.025,typicality,9972.158203125,6.361107,0.0,96.0,40.0
76,contrast_0.025,typicality,11092.8828125,0.33311176,1.0,1.0,9.0
77,contrast_0.025,typicality,11210.5048828125,12.521086,0.0,314.0,63.0
78,contrast_0.025,typicality,10200.818359375,24.570053,0.0,87.0,42.0
79,contrast_0.025,typicality,11789.4736328125,-0.0,1.0,33.0,8.0
80,contrast_0.025,typicality,12304.4404296875,19.128578,0.0,254.0,31.0
81,contrast_0.025,typicality,10288.3271484375,3.3359854,0.0,310.0,51.0
82,contrast_0.025,typicality,11344.830078125,0.05701851,1.0,196.0,12.0
83,contrast_0.025,typicality,8777.376953125,0.10349974,1.0,138.0,23.0
84,contrast_0.025,typicality,10456.46484375,0.0052767997,1.0,4.0,17.0
85,contrast_0.025,typicality,10618.4228515625,0.000304295,1.0,372.0,30.0
86,contrast_0.025,typicality,10922.21875,4.8916693,0.0,342.0,2.0
87,contrast_0.025,typicality,8636.0322265625,3.247993,0.0,134.0,28.0
88,contrast_0.025,typicality,7932.5693359375,13.134719,0.0,248.0,30.0
89,contrast_0.025,typicality,9555.5810546875,8.7607,0.0,72.0,43.0
90,contrast_0.025,typicality,11775.73828125,2.908434,0.0,131.0,21.0
91,contrast_0.025,typicality,9466.13671875,0.012770421,1.0,24.0,22.0
92,contrast_0.025,typicality,10647.62890625,3.376707,0.0,301.0,7.0
93,contrast_0.025,typicality,9129.94921875,4.2511773,0.0,11.0,47.0
94,contrast_0.025,typicality,9245.1396484375,0.0015403085,1.0,325.0,4.0
95,contrast_0.025,typicality,11544.3505859375,1.2164924,0.0,327.0,49.0
96,contrast_0.025,typicality,8861.80859375,9.510789,0.0,366.0,35.0
97,contrast_0.025,typicality,8543.369140625,1.5315588,0.0,94.0,34.0
98,contrast_0.025,typicality,9899.87890625,7.51138,0.0,50.0,38.0
99,contrast_0.025,typicality,8086.41357421875,10.208069,0.0,330.0,43.0
100,contrast_0.025,typicality,7908.62109375,5.0227327,0.0,426.0,15.0
101,contrast_0.025,typicality,12574.146484375,61.330814,0.0,395.0,21.0
102,contrast_0.025,typicality,8336.853515625,0.27965567,1.0,23.0,61.0
103,contrast_0.025,typicality,9423.03515625,3.0355616,0.0,285.0,37.0
104,contrast_0.025,typicality,10966.5263671875,0.043238774,1.0,171.0,21.0
105,contrast_0.025,typicality,8410.814453125,0.5458466,1.0,167.0,18.0
106,contrast_0.025,typicality,9267.34765625,10.936147,0.0,18.0,52.0
107,contrast_0.025,typicality,9664.93359375,1.73197,0.0,7.0,63.0
108,contrast_0.025,typicality,8837.1875,5.0067774e-06,1.0,307.0,8.0
109,contrast_0.025,typicality,8814.5947265625,0.11294917,1.0,258.0,32.0
110,contrast_0.025,typicality,7580.81982421875,0.08586413,1.0,408.0,37.0
111,contrast_0.025,typicality,10566.443359375,19.201033,0.0,422.0,26.0
112,contrast_0.025,typicality,11253.072265625,0.27286053,1.0,279.0,5.0
113,contrast_0.025,typicality,11574.556640625,0.98171353,0.0,251.0,62.0
114,contrast_0.025,typicality,11530.658203125,11.740441,0.0,120.0,19.0
115,contrast_0.025,typicality,9240.0859375,-0.0,1.0,320.0,18.0
116,contrast_0.025,typicality,9577.125,9.474499,0.0,95.0,15.0
117,contrast_0.025,typicality,9001.0078125,0.00819357,1.0,98.0,6.0
118,contrast_0.025,typicality,11362.533203125,0.30851683,1.0,36.0,51.0
119,contrast_0.025,typicality,10156.435546875,7.4927998,0.0,240.0,32.0
120,contrast_0.025,typicality,9242.8427734375,21.498304,0.0,313.0,14.0
121,contrast_0.025,typicality,8519.505859375,0.85996646,0.0,77.0,48.0
122,contrast_0.025,typicality,11836.904296875,0.006753003,1.0,428.0,7.0
123,contrast_0.025,typicality,9852.515625,2.7762287,0.0,111.0,11.0
124,contrast_0.025,typicality,11551.3505859375,3.381704,0.0,427.0,62.0
125,contrast_0.025,typicality,10104.154296875,8.29286,0.0,70.0,8.0
126,contrast_0.025,typicality,7542.8310546875,3.4860802,0.0,152.0,52.0
127,contrast_0.025,typicality,8127.755859375,0.54559726,1.0,335.0,26.0
128,contrast_0.025,typicality,11827.7236328125,1.2551877,0.0,234.0,54.0
129,contrast_0.025,typicality,7118.7958984375,10.588209,0.0,356.0,50.0
130,contrast_0.025,typicality,10017.5244140625,1.072883e-06,1.0,113.0,22.0
131,contrast_0.025,typicality,7762.8486328125,0.011188033,1.0,339.0,11.0
132,contrast_0.025,typicality,10709.6181640625,8.344647e-07,1.0,43.0,29.0
133,contrast_0.025,typicality,10905.205078125,0.49028975,1.0,333.0,30.0
134,contrast_0.025,typicality,10400.1787109375,0.55975515,1.0,315.0,6.0
135,contrast_0.025,typicality,9031.041015625,0.29386592,1.0,270.0,21.0
136,contrast_0.025,typicality,8577.3603515625,5.356541,0.0,92.0,4.0
137,contrast_0.025,typicality,12403.849609375,6.362591,0.0,185.0,11.0
138,contrast_0.025,typicality,11796.818359375,8.34027,0.0,114.0,25.0
139,contrast_0.025,typicality,11091.765625,3.3854863e-05,1.0,429.0,34.0
140,contrast_0.025,typicality,10641.2919921875,1.3025724,0.0,259.0,64.0
141,contrast_0.025,typicality,7637.986328125,1.1427212,0.0,385.0,3.0
142,contrast_0.025,typicality,8585.013671875,1.8203008,0.0,303.0,38.0
143,contrast_0.025,typicality,10077.09375,2.764948,0.0,191.0,24.0
144,contrast_0.025,typicality,11796.625,7.0622654,0.0,178.0,12.0
145,contrast_0.025,typicality,10263.9091796875,2.4548922,0.0,361.0,39.0
146,contrast_0.025,typicality,9926.75,4.3153677,0.0,127.0,49.0
147,contrast_0.025,typicality,8563.6552734375,0.018250983,1.0,103.0,17.0
148,contrast_0.025,typicality,11183.302734375,3.0746083,0.0,30.0,8.0
149,contrast_0.025,typicality,10391.18359375,5.926903,0.0,90.0,58.0
150,contrast_0.025,typicality,11297.3720703125,2.7948265,0.0,165.0,13.0
151,contrast_0.025,typicality,9791.5625,5.1299987,0.0,22.0,16.0
152,contrast_0.025,typicality,9846.046875,4.838382,0.0,378.0,11.0
153,contrast_0.025,typicality,8944.0625,0.10546227,1.0,355.0,31.0
154,contrast_0.025,typicality,10259.0263671875,0.00017820201,1.0,2.0,7.0
155,contrast_0.025,typicality,6947.42041015625,5.970395,0.0,63.0,62.0
156,contrast_0.025,typicality,9005.607421875,1.306712,0.0,316.0,41.0
157,contrast_0.025,typicality,9057.884765625,0.95732605,1.0,160.0,54.0
158,contrast_0.025,typicality,10653.27734375,-0.0,1.0,257.0,8.0
159,contrast_0.025,typicality,10958.939453125,5.1690173,0.0,393.0,20.0
160,contrast_0.025,typicality,9377.408203125,0.10249411,1.0,41.0,58.0
161,contrast_0.025,typicality,6530.4306640625,0.35768425,1.0,391.0,26.0
162,contrast_0.025,typicality,8390.6875,6.5984063,0.0,97.0,0.0
163,contrast_0.025,typicality,11394.47265625,1.1219316,1.0,147.0,48.0
164,contrast_0.025,typicality,9539.689453125,1.8617283,0.0,66.0,60.0
165,contrast_0.025,typicality,10422.4921875,1.5413127,0.0,142.0,41.0
166,contrast_0.025,typicality,9436.2978515625,10.800425,0.0,433.0,46.0
167,contrast_0.025,typicality,8927.908203125,-0.0,1.0,211.0,18.0
168,contrast_0.025,typicality,9474.3759765625,15.999323,0.0,204.0,34.0
169,contrast_0.025,typicality,9367.8095703125,1.8882474,0.0,379.0,3.0
170,contrast_0.025,typicality,7833.64697265625,14.822205,0.0,224.0,20.0
171,contrast_0.025,typicality,11058.3525390625,5.9388404,0.0,419.0,39.0
172,contrast_0.025,typicality,11731.818359375,1.7012672,0.0,119.0,46.0
173,contrast_0.025,typicality,10293.0400390625,5.7030215,0.0,193.0,32.0
174,contrast_0.025,typicality,9778.8564453125,1.4133062,1.0,199.0,2.0
175,contrast_0.025,typicality,8594.478515625,4.2906713,0.0,359.0,48.0
