,fold,feature_name,feature,loss,acc,idx,class
0,smear_0.025,softmax,0.5989459156990051,8.114032,0.0,275.0,10.0
1,smear_0.025,softmax,0.9038630127906799,0.059698008,1.0,107.0,5.0
2,smear_0.025,softmax,0.49744901061058044,0.06834252,1.0,409.0,15.0
3,smear_0.025,softmax,0.9999996423721313,0.018950483,1.0,103.0,17.0
4,smear_0.025,softmax,0.6176910996437073,5.3115306,0.0,263.0,35.0
5,smear_0.025,softmax,0.4675292372703552,12.684867,0.0,205.0,3.0
6,smear_0.025,softmax,0.823333203792572,0.31213033,1.0,256.0,7.0
7,smear_0.025,softmax,0.44885018467903137,4.023979,0.0,20.0,17.0
8,smear_0.025,softmax,0.9556451439857483,0.0638981,1.0,253.0,11.0
9,smear_0.025,softmax,0.7298048734664917,-0.0,1.0,6.0,22.0
10,smear_0.025,softmax,0.5110074877738953,9.646499,0.0,227.0,5.0
11,smear_0.025,softmax,0.520907461643219,0.07834923,1.0,270.0,21.0
12,smear_0.025,softmax,0.7957836985588074,0.043238774,1.0,171.0,21.0
13,smear_0.025,softmax,0.9684265851974487,0.15644327,1.0,352.0,43.0
14,smear_0.025,softmax,0.7870070934295654,2.4744923,0.0,301.0,7.0
15,smear_0.025,softmax,0.2799994647502899,6.922527,0.0,396.0,33.0
16,smear_0.025,softmax,0.8755209445953369,1.9895186,0.0,197.0,52.0
17,smear_0.025,softmax,0.8117813467979431,0.0031600085,1.0,332.0,37.0
18,smear_0.025,softmax,0.6026401519775391,54.76916,0.0,297.0,21.0
19,smear_0.025,softmax,0.9999779462814331,7.116964,0.0,250.0,31.0
20,smear_0.025,softmax,0.7271956205368042,2.622601e-06,1.0,307.0,8.0
21,smear_0.025,softmax,0.4142126739025116,0.1840997,1.0,322.0,47.0
22,smear_0.025,softmax,0.6910139918327332,1.3025724,0.0,259.0,64.0
23,smear_0.025,softmax,0.7932937145233154,9.394979,0.0,228.0,3.0
24,smear_0.025,softmax,0.9989506006240845,1.6320796,0.0,290.0,62.0
25,smear_0.025,softmax,0.5837792754173279,3.8580453,0.0,3.0,10.0
26,smear_0.025,softmax,0.6635599136352539,13.660348,0.0,115.0,24.0
27,smear_0.025,softmax,0.6154407858848572,0.27025804,1.0,177.0,45.0
28,smear_0.025,softmax,1.0,10.887248,0.0,132.0,57.0
29,smear_0.025,softmax,0.9748721122741699,3.3144555,0.0,100.0,64.0
30,smear_0.025,softmax,0.8560897707939148,0.00065853365,1.0,55.0,22.0
31,smear_0.025,softmax,0.40303516387939453,2.2963848,0.0,268.0,60.0
32,smear_0.025,softmax,0.9990554451942444,19.009079,0.0,422.0,26.0
33,smear_0.025,softmax,0.9999030828475952,0.6973081,1.0,126.0,48.0
34,smear_0.025,softmax,0.9968833327293396,0.39533588,1.0,8.0,47.0
35,smear_0.025,softmax,0.9616713523864746,3.8545616,0.0,323.0,27.0
36,smear_0.025,softmax,0.9466167688369751,8.102791,0.0,403.0,56.0
37,smear_0.025,softmax,0.9752840995788574,5.749414,0.0,223.0,54.0
38,smear_0.025,softmax,0.721105694770813,8.779628,0.0,144.0,45.0
39,smear_0.025,softmax,0.9710248708724976,3.0035791,0.0,357.0,33.0
40,smear_0.025,softmax,0.9971920847892761,0.005758245,1.0,289.0,9.0
41,smear_0.025,softmax,0.9837843179702759,13.831263,0.0,402.0,23.0
42,smear_0.025,softmax,0.9995136260986328,2.01087,0.0,430.0,45.0
43,smear_0.025,softmax,0.41279536485671997,14.561933,0.0,346.0,43.0
44,smear_0.025,softmax,0.9348461031913757,4.3202724,0.0,42.0,58.0
45,smear_0.025,softmax,0.5244928002357483,1.7524346,0.0,94.0,34.0
46,smear_0.025,softmax,1.0,5.966496,0.0,419.0,39.0
47,smear_0.025,softmax,0.8564705848693848,-0.0,1.0,21.0,22.0
48,smear_0.025,softmax,0.5660644769668579,6.8605433,0.0,380.0,30.0
49,smear_0.025,softmax,0.7471597194671631,1.210757,0.0,38.0,56.0
50,smear_0.025,softmax,0.9672880172729492,3.8839161,0.0,373.0,19.0
51,smear_0.025,softmax,0.3433005213737488,2.774167,0.0,85.0,42.0
52,smear_0.025,softmax,0.8758273720741272,0.6725557,1.0,335.0,26.0
53,smear_0.025,softmax,0.3865491449832916,0.05742819,1.0,370.0,24.0
54,smear_0.025,softmax,0.9714590311050415,8.194904,0.0,190.0,31.0
55,smear_0.025,softmax,0.25394558906555176,0.034172278,1.0,188.0,42.0
56,smear_0.025,softmax,0.8543902039527893,3.9890072,0.0,130.0,54.0
57,smear_0.025,softmax,0.9055325388908386,5.8849964,0.0,358.0,37.0
58,smear_0.025,softmax,0.9730711579322815,10.308162,0.0,117.0,59.0
59,smear_0.025,softmax,0.3192673623561859,1.0428178,0.0,251.0,62.0
60,smear_0.025,softmax,0.5174881219863892,8.846269,0.0,241.0,10.0
61,smear_0.025,softmax,0.8551580309867859,31.447662,0.0,31.0,24.0
62,smear_0.025,softmax,0.899739146232605,0.0085363975,1.0,121.0,1.0
63,smear_0.025,softmax,0.9741553068161011,3.3359854,0.0,310.0,51.0
64,smear_0.025,softmax,0.8938847780227661,0.4864159,1.0,413.0,60.0
65,smear_0.025,softmax,0.9934759736061096,7.189369,0.0,232.0,51.0
66,smear_0.025,softmax,0.4657849371433258,7.8480635,0.0,423.0,28.0
67,smear_0.025,softmax,0.8119357824325562,0.98610216,1.0,385.0,3.0
68,smear_0.025,softmax,0.5412351489067078,0.9317413,1.0,147.0,48.0
69,smear_0.025,softmax,0.9042426943778992,2.3003838,0.0,383.0,52.0
70,smear_0.025,softmax,0.9870955944061279,1.5413127,0.0,142.0,41.0
71,smear_0.025,softmax,0.9841685891151428,9.882323,0.0,67.0,53.0
72,smear_0.025,softmax,0.9951412677764893,0.004060596,1.0,261.0,11.0
73,smear_0.025,softmax,0.7847391963005066,1.8247149,0.0,303.0,38.0
74,smear_0.025,softmax,0.7618070840835571,25.74208,0.0,149.0,50.0
75,smear_0.025,softmax,0.7520205974578857,6.7334967,0.0,292.0,15.0
76,smear_0.025,softmax,0.942048966884613,9.278368,0.0,371.0,0.0
77,smear_0.025,softmax,0.997368574142456,0.0070131095,1.0,75.0,7.0
78,smear_0.025,softmax,1.0,0.0015403085,1.0,325.0,4.0
