,Tree,t,Risk Estimate,True Risk,E[f(x)=y],Accuracy,ood_pred,is_ood,Estimated Rate,ind_acc,ood_val_acc,ood_test_acc,Rate Error,Accuracy Error,dsd,ba,tpr,tnr,rate,test_set,val_set
0,Base Tree,350.5,665.2180852130327,650.1353383458646,0.9950462155388471,0.9975187969924811,0.0006265664160401002,0.0,0.00268671679197995,0.996,0.6409999999999999,0.6409999999999999,0.00268671679197995,0.005450025062656642,energy,1.0,1.0,1.0,0.0,Art,Art
1,Detector Tree,350.5,650.7397493734336,650.9793233082706,0.9970757694235589,0.9975187969924811,0.0006265664160401002,0.0,0.00268671679197995,0.996,0.6409999999999999,0.6409999999999999,0.00268671679197995,0.00441295238095238,energy,1.0,1.0,1.0,0.0,Art,Art
0,Base Tree,350.5,954.5153169172931,1008.4912280701755,0.9476204398496241,0.9387719298245614,0.13328320802005011,0.13328320802005011,0.13628045112781956,0.996,0.6409999999999999,0.6409999999999999,0.03742781954887218,0.016765597744360875,energy,1.0,1.0,1.0,0.1,Art,Art
1,Detector Tree,350.5,826.7494943609022,826.7304761904762,0.95111952481203,0.9387719298245614,0.13328320802005011,0.13328320802005011,0.13628045112781956,0.996,0.6409999999999999,0.6409999999999999,0.03742781954887218,0.017419137844611507,energy,1.0,1.0,1.0,0.1,Art,Art
0,Base Tree,350.5,1165.988060651629,1332.6015037593984,0.912952776942356,0.8856390977443609,0.23619047619047617,0.23619047619047617,0.2339358395989975,0.996,0.6409999999999999,0.6409999999999999,0.033935839598997486,0.02963778696741855,energy,1.0,1.0,1.0,0.2,Art,Art
1,Detector Tree,350.5,955.4104686716792,962.68992481203,0.9175260711779449,0.8856390977443609,0.23619047619047617,0.23619047619047617,0.2339358395989975,0.996,0.6409999999999999,0.6409999999999999,0.033935839598997486,0.03342565213032583,energy,1.0,1.0,1.0,0.2,Art,Art
0,Base Tree,350.5,1423.5989799498748,1633.015037593985,0.8707214786967419,0.8363909774436089,0.3606516290726817,0.3606516290726817,0.35289724310776943,0.996,0.6409999999999999,0.6409999999999999,0.05289724310776938,0.03632412781954887,energy,1.0,1.0,1.0,0.30000000000000004,Art,Art
1,Detector Tree,350.5,1112.1421177944862,1127.8766917293233,0.8766033483709272,0.8363909774436089,0.3606516290726817,0.3606516290726817,0.35289724310776943,0.996,0.6409999999999999,0.6409999999999999,0.05289724310776938,0.04138679097744361,energy,1.0,1.0,1.0,0.30000000000000004,Art,Art
0,Base Tree,350.5,1584.1911573934838,1861.7268170426066,0.8443948922305765,0.7988972431077694,0.4361654135338346,0.4361654135338346,0.42705664160401,0.996,0.6409999999999999,0.6409999999999999,0.029548370927318282,0.04820599248120305,energy,1.0,1.0,1.0,0.4,Art,Art
1,Detector Tree,350.5,1209.8471253132832,1227.7190726817043,0.8510925152882206,0.7988972431077694,0.4361654135338346,0.4361654135338346,0.42705664160401,0.996,0.6409999999999999,0.6409999999999999,0.029548370927318282,0.05391355588972435,energy,1.0,1.0,1.0,0.4,Art,Art
